config,body,rate,role,layer,site,samples,cores,share
grpc-dpumesh,48,8000,client,grpc,grpc-code,1081,0.13969,0.49977
grpc-dpumesh,48,8000,client,transport,kernel-sched,194,0.02507,0.08969
grpc-dpumesh,48,8000,client,grpc,libc,130,0.0168,0.0601
grpc-dpumesh,48,8000,client,grpc,kernel-sched,127,0.01641,0.05871
grpc-dpumesh,48,8000,client,transport,kernel-syscall,122,0.01576,0.0564
grpc-dpumesh,48,8000,client,transport,transport-code,77,0.00995,0.0356
grpc-dpumesh,48,8000,client,transport,kernel-poll,67,0.00866,0.03098
grpc-dpumesh,48,8000,client,app,kernel-sched,63,0.00814,0.02913
grpc-dpumesh,48,8000,client,transport,driver-code,60,0.00775,0.02774
grpc-dpumesh,48,8000,client,transport,libc,51,0.00659,0.02358
grpc-dpumesh,48,8000,client,grpc,kernel-other,30,0.00388,0.01387
grpc-dpumesh,48,8000,client,grpc,kernel-syscall,24,0.0031,0.0111
grpc-dpumesh,48,8000,client,grpc,vdso,21,0.00271,0.00971
grpc-dpumesh,48,8000,client,app,libc,19,0.00246,0.00878
grpc-dpumesh,48,8000,client,grpc,kernel-poll,18,0.00233,0.00832
grpc-dpumesh,48,8000,client,app,app-code,15,0.00194,0.00693
grpc-dpumesh,48,8000,client,transport,kernel-other,15,0.00194,0.00693
grpc-dpumesh,48,8000,client,kernel-only,kernel-syscall,11,0.00142,0.00509
grpc-dpumesh,48,8000,client,app,kernel-other,9,0.00116,0.00416
grpc-dpumesh,48,8000,client,app,vdso,9,0.00116,0.00416
grpc-dpumesh,48,8000,client,app,kernel-syscall,9,0.00116,0.00416
grpc-dpumesh,48,8000,client,kernel-only,kernel-sched,8,0.00103,0.0037
grpc-dpumesh,48,8000,client,noise,libc,1,0.00013,0.00046
grpc-dpumesh,48,8000,client,transport,vdso,1,0.00013,0.00046
grpc-dpumesh,48,8000,client,kernel-only,kernel-other,1,0.00013,0.00046
grpc-dpumesh,48,8000,server,grpc,grpc-code,963,0.11939,0.48222
grpc-dpumesh,48,8000,server,transport,kernel-sched,212,0.02628,0.10616
grpc-dpumesh,48,8000,server,grpc,libc,128,0.01587,0.0641
grpc-dpumesh,48,8000,server,transport,kernel-syscall,119,0.01475,0.05959
grpc-dpumesh,48,8000,server,grpc,kernel-sched,118,0.01463,0.05909
grpc-dpumesh,48,8000,server,transport,kernel-poll,111,0.01376,0.05558
grpc-dpumesh,48,8000,server,transport,transport-code,84,0.01041,0.04206
grpc-dpumesh,48,8000,server,transport,driver-code,68,0.00843,0.03405
grpc-dpumesh,48,8000,server,transport,libc,49,0.00607,0.02454
grpc-dpumesh,48,8000,server,grpc,kernel-syscall,30,0.00372,0.01502
grpc-dpumesh,48,8000,server,grpc,vdso,26,0.00322,0.01302
grpc-dpumesh,48,8000,server,transport,kernel-other,21,0.0026,0.01052
grpc-dpumesh,48,8000,server,grpc,kernel-other,18,0.00223,0.00901
grpc-dpumesh,48,8000,server,kernel-only,kernel-syscall,16,0.00198,0.00801
grpc-dpumesh,48,8000,server,grpc,kernel-poll,15,0.00186,0.00751
grpc-dpumesh,48,8000,server,kernel-only,kernel-sched,7,0.00087,0.00351
grpc-dpumesh,48,8000,server,kernel-only,kernel-other,7,0.00087,0.00351
grpc-dpumesh,48,8000,server,app,app-code,3,0.00037,0.0015
grpc-dpumesh,48,8000,server,transport,vdso,2,0.00025,0.001
grpc-dpumesh,48,16000,client,grpc,grpc-code,2034,0.25208,0.51455
grpc-dpumesh,48,16000,client,grpc,kernel-sched,370,0.04586,0.0936
grpc-dpumesh,48,16000,client,transport,kernel-sched,334,0.04139,0.08449
grpc-dpumesh,48,16000,client,grpc,libc,251,0.03111,0.0635
grpc-dpumesh,48,16000,client,transport,transport-code,148,0.01834,0.03744
grpc-dpumesh,48,16000,client,transport,kernel-syscall,148,0.01834,0.03744
grpc-dpumesh,48,16000,client,transport,kernel-poll,96,0.0119,0.02429
grpc-dpumesh,48,16000,client,app,kernel-sched,88,0.01091,0.02226
grpc-dpumesh,48,16000,client,transport,libc,68,0.00843,0.0172
grpc-dpumesh,48,16000,client,transport,driver-code,67,0.0083,0.01695
grpc-dpumesh,48,16000,client,grpc,kernel-poll,59,0.00731,0.01493
grpc-dpumesh,48,16000,client,grpc,kernel-other,53,0.00657,0.01341
grpc-dpumesh,48,16000,client,grpc,kernel-syscall,53,0.00657,0.01341
grpc-dpumesh,48,16000,client,app,libc,31,0.00384,0.00784
grpc-dpumesh,48,16000,client,app,app-code,26,0.00322,0.00658
grpc-dpumesh,48,16000,client,grpc,vdso,25,0.0031,0.00632
grpc-dpumesh,48,16000,client,transport,kernel-other,24,0.00297,0.00607
grpc-dpumesh,48,16000,client,kernel-only,kernel-syscall,21,0.0026,0.00531
grpc-dpumesh,48,16000,client,app,kernel-syscall,17,0.00211,0.0043
grpc-dpumesh,48,16000,client,app,kernel-other,9,0.00112,0.00228
grpc-dpumesh,48,16000,client,grpc,driver-code,7,0.00087,0.00177
grpc-dpumesh,48,16000,client,kernel-only,kernel-other,7,0.00087,0.00177
grpc-dpumesh,48,16000,client,app,vdso,5,0.00062,0.00126
grpc-dpumesh,48,16000,client,transport,vdso,4,0.0005,0.00101
grpc-dpumesh,48,16000,client,kernel-only,kernel-sched,4,0.0005,0.00101
grpc-dpumesh,48,16000,client,noise,libc,3,0.00037,0.00076
grpc-dpumesh,48,16000,client,app,kernel-poll,1,0.00012,0.00025
grpc-dpumesh,48,16000,server,grpc,grpc-code,2031,0.25005,0.53546
grpc-dpumesh,48,16000,server,grpc,kernel-sched,391,0.04814,0.10308
grpc-dpumesh,48,16000,server,transport,kernel-sched,317,0.03903,0.08358
grpc-dpumesh,48,16000,server,grpc,libc,237,0.02918,0.06248
grpc-dpumesh,48,16000,server,transport,kernel-syscall,156,0.01921,0.04113
grpc-dpumesh,48,16000,server,transport,transport-code,138,0.01699,0.03638
grpc-dpumesh,48,16000,server,transport,kernel-poll,129,0.01588,0.03401
grpc-dpumesh,48,16000,server,grpc,kernel-syscall,94,0.01157,0.02478
grpc-dpumesh,48,16000,server,transport,libc,61,0.00751,0.01608
grpc-dpumesh,48,16000,server,transport,driver-code,51,0.00628,0.01345
grpc-dpumesh,48,16000,server,grpc,kernel-poll,42,0.00517,0.01107
grpc-dpumesh,48,16000,server,grpc,vdso,41,0.00505,0.01081
grpc-dpumesh,48,16000,server,grpc,kernel-other,37,0.00456,0.00975
grpc-dpumesh,48,16000,server,transport,kernel-other,26,0.0032,0.00685
grpc-dpumesh,48,16000,server,kernel-only,kernel-syscall,17,0.00209,0.00448
grpc-dpumesh,48,16000,server,kernel-only,kernel-sched,9,0.00111,0.00237
grpc-dpumesh,48,16000,server,transport,vdso,5,0.00062,0.00132
grpc-dpumesh,48,16000,server,kernel-only,kernel-other,4,0.00049,0.00105
grpc-dpumesh,48,16000,server,app,app-code,3,0.00037,0.00079
grpc-dpumesh,48,16000,server,noise,libc,2,0.00025,0.00053
grpc-dpumesh,48,16000,server,app,libc,2,0.00025,0.00053
grpc-dpumesh,48,24000,client,grpc,grpc-code,2840,0.34783,0.52505
grpc-dpumesh,48,24000,client,grpc,kernel-sched,499,0.06112,0.09225
grpc-dpumesh,48,24000,client,transport,kernel-sched,467,0.0572,0.08634
grpc-dpumesh,48,24000,client,grpc,libc,372,0.04556,0.06877
grpc-dpumesh,48,24000,client,transport,kernel-syscall,209,0.0256,0.03864
grpc-dpumesh,48,24000,client,transport,transport-code,170,0.02082,0.03143
grpc-dpumesh,48,24000,client,transport,kernel-poll,124,0.01519,0.02292
grpc-dpumesh,48,24000,client,transport,libc,96,0.01176,0.01775
grpc-dpumesh,48,24000,client,grpc,kernel-other,88,0.01078,0.01627
grpc-dpumesh,48,24000,client,app,kernel-sched,82,0.01004,0.01516
grpc-dpumesh,48,24000,client,grpc,kernel-syscall,82,0.01004,0.01516
grpc-dpumesh,48,24000,client,grpc,kernel-poll,68,0.00833,0.01257
grpc-dpumesh,48,24000,client,transport,driver-code,64,0.00784,0.01183
grpc-dpumesh,48,24000,client,grpc,vdso,60,0.00735,0.01109
grpc-dpumesh,48,24000,client,app,libc,51,0.00625,0.00943
grpc-dpumesh,48,24000,client,transport,kernel-other,37,0.00453,0.00684
grpc-dpumesh,48,24000,client,app,app-code,26,0.00318,0.00481
grpc-dpumesh,48,24000,client,kernel-only,kernel-syscall,24,0.00294,0.00444
grpc-dpumesh,48,24000,client,app,kernel-syscall,16,0.00196,0.00296
grpc-dpumesh,48,24000,client,transport,vdso,7,0.00086,0.00129
grpc-dpumesh,48,24000,client,app,vdso,6,0.00073,0.00111
grpc-dpumesh,48,24000,client,app,kernel-other,6,0.00073,0.00111
grpc-dpumesh,48,24000,client,kernel-only,kernel-other,6,0.00073,0.00111
grpc-dpumesh,48,24000,client,grpc,driver-code,5,0.00061,0.00092
grpc-dpumesh,48,24000,client,kernel-only,kernel-sched,3,0.00037,0.00055
grpc-dpumesh,48,24000,client,noise,libc,1,0.00012,0.00018
grpc-dpumesh,48,24000,server,grpc,grpc-code,2954,0.35778,0.56917
grpc-dpumesh,48,24000,server,transport,kernel-sched,439,0.05317,0.08459
grpc-dpumesh,48,24000,server,grpc,libc,396,0.04796,0.0763
grpc-dpumesh,48,24000,server,grpc,kernel-sched,368,0.04457,0.07091
grpc-dpumesh,48,24000,server,transport,kernel-syscall,218,0.0264,0.042
grpc-dpumesh,48,24000,server,transport,transport-code,189,0.02289,0.03642
grpc-dpumesh,48,24000,server,transport,kernel-poll,141,0.01708,0.02717
grpc-dpumesh,48,24000,server,transport,libc,97,0.01175,0.01869
grpc-dpumesh,48,24000,server,grpc,kernel-syscall,93,0.01126,0.01792
grpc-dpumesh,48,24000,server,grpc,vdso,77,0.00933,0.01484
grpc-dpumesh,48,24000,server,transport,driver-code,59,0.00715,0.01137
grpc-dpumesh,48,24000,server,grpc,kernel-poll,47,0.00569,0.00906
grpc-dpumesh,48,24000,server,kernel-only,kernel-syscall,34,0.00412,0.00655
grpc-dpumesh,48,24000,server,grpc,kernel-other,32,0.00388,0.00617
grpc-dpumesh,48,24000,server,transport,kernel-other,20,0.00242,0.00385
grpc-dpumesh,48,24000,server,kernel-only,kernel-other,9,0.00109,0.00173
grpc-dpumesh,48,24000,server,noise,libc,5,0.00061,0.00096
grpc-dpumesh,48,24000,server,kernel-only,kernel-sched,5,0.00061,0.00096
grpc-dpumesh,48,24000,server,transport,vdso,5,0.00061,0.00096
grpc-dpumesh,48,24000,server,app,app-code,2,0.00024,0.00039
grpc-dpumesh,1008,20000,client,grpc,grpc-code,2439,0.30022,0.52976
grpc-dpumesh,1008,20000,client,grpc,kernel-sched,371,0.04567,0.08058
grpc-dpumesh,1008,20000,client,grpc,libc,358,0.04407,0.07776
grpc-dpumesh,1008,20000,client,transport,kernel-sched,347,0.04271,0.07537
grpc-dpumesh,1008,20000,client,transport,kernel-syscall,180,0.02216,0.0391
grpc-dpumesh,1008,20000,client,transport,transport-code,180,0.02216,0.0391
grpc-dpumesh,1008,20000,client,transport,libc,89,0.01096,0.01933
grpc-dpumesh,1008,20000,client,app,kernel-sched,86,0.01059,0.01868
grpc-dpumesh,1008,20000,client,transport,kernel-poll,80,0.00985,0.01738
grpc-dpumesh,1008,20000,client,grpc,kernel-syscall,78,0.0096,0.01694
grpc-dpumesh,1008,20000,client,transport,driver-code,57,0.00702,0.01238
grpc-dpumesh,1008,20000,client,app,libc,51,0.00628,0.01108
grpc-dpumesh,1008,20000,client,grpc,kernel-poll,50,0.00615,0.01086
grpc-dpumesh,1008,20000,client,grpc,kernel-other,47,0.00579,0.01021
grpc-dpumesh,1008,20000,client,grpc,vdso,45,0.00554,0.00977
grpc-dpumesh,1008,20000,client,transport,kernel-other,35,0.00431,0.0076
grpc-dpumesh,1008,20000,client,app,app-code,27,0.00332,0.00586
grpc-dpumesh,1008,20000,client,kernel-only,kernel-syscall,25,0.00308,0.00543
grpc-dpumesh,1008,20000,client,app,kernel-other,16,0.00197,0.00348
grpc-dpumesh,1008,20000,client,app,kernel-syscall,16,0.00197,0.00348
grpc-dpumesh,1008,20000,client,app,vdso,9,0.00111,0.00195
grpc-dpumesh,1008,20000,client,kernel-only,kernel-sched,7,0.00086,0.00152
grpc-dpumesh,1008,20000,client,transport,vdso,3,0.00037,0.00065
grpc-dpumesh,1008,20000,client,grpc,driver-code,3,0.00037,0.00065
grpc-dpumesh,1008,20000,client,kernel-only,kernel-other,3,0.00037,0.00065
grpc-dpumesh,1008,20000,client,noise,libc,2,0.00025,0.00043
grpc-dpumesh,1008,20000,server,grpc,grpc-code,2465,0.30041,0.55506
grpc-dpumesh,1008,20000,server,grpc,kernel-sched,404,0.04924,0.09097
grpc-dpumesh,1008,20000,server,transport,kernel-sched,351,0.04278,0.07904
grpc-dpumesh,1008,20000,server,grpc,libc,340,0.04144,0.07656
grpc-dpumesh,1008,20000,server,transport,kernel-syscall,170,0.02072,0.03828
grpc-dpumesh,1008,20000,server,transport,transport-code,148,0.01804,0.03333
grpc-dpumesh,1008,20000,server,transport,kernel-poll,125,0.01523,0.02815
grpc-dpumesh,1008,20000,server,grpc,kernel-syscall,97,0.01182,0.02184
grpc-dpumesh,1008,20000,server,transport,libc,77,0.00938,0.01734
grpc-dpumesh,1008,20000,server,grpc,vdso,67,0.00817,0.01509
grpc-dpumesh,1008,20000,server,grpc,kernel-poll,50,0.00609,0.01126
grpc-dpumesh,1008,20000,server,transport,driver-code,46,0.00561,0.01036
grpc-dpumesh,1008,20000,server,grpc,kernel-other,31,0.00378,0.00698
grpc-dpumesh,1008,20000,server,transport,kernel-other,22,0.00268,0.00495
grpc-dpumesh,1008,20000,server,kernel-only,kernel-syscall,22,0.00268,0.00495
grpc-dpumesh,1008,20000,server,app,libc,6,0.00073,0.00135
grpc-dpumesh,1008,20000,server,app,app-code,6,0.00073,0.00135
grpc-dpumesh,1008,20000,server,kernel-only,kernel-other,5,0.00061,0.00113
grpc-dpumesh,1008,20000,server,transport,vdso,4,0.00049,0.0009
grpc-dpumesh,1008,20000,server,kernel-only,kernel-sched,3,0.00037,0.00068
grpc-dpumesh,1008,20000,server,noise,unresolved,1,0.00012,0.00023
grpc-dpumesh,1008,20000,server,noise,libc,1,0.00012,0.00023
grpc-envoy-permissive,48,8000,client,grpc,grpc-code,982,0.15852,0.29921
grpc-envoy-permissive,48,8000,client,grpc,kernel-sched,436,0.07038,0.13285
grpc-envoy-permissive,48,8000,client,envoy,kernel-net,373,0.06021,0.11365
grpc-envoy-permissive,48,8000,client,envoy,envoy-code,224,0.03616,0.06825
grpc-envoy-permissive,48,8000,client,envoy,kernel-sched,212,0.03422,0.06459
grpc-envoy-permissive,48,8000,client,envoy,kernel-other,183,0.02954,0.05576
grpc-envoy-permissive,48,8000,client,grpc,kernel-other,137,0.02212,0.04174
grpc-envoy-permissive,48,8000,client,grpc,libc,130,0.02099,0.03961
grpc-envoy-permissive,48,8000,client,grpc,kernel-net,114,0.0184,0.03473
grpc-envoy-permissive,48,8000,client,grpc,kernel-syscall,98,0.01582,0.02986
grpc-envoy-permissive,48,8000,client,envoy,kernel-syscall,91,0.01469,0.02773
grpc-envoy-permissive,48,8000,client,envoy,libc,66,0.01065,0.02011
grpc-envoy-permissive,48,8000,client,app,kernel-sched,44,0.0071,0.01341
grpc-envoy-permissive,48,8000,client,kernel-only,kernel-syscall,42,0.00678,0.0128
grpc-envoy-permissive,48,8000,client,grpc,kernel-poll,31,0.005,0.00945
grpc-envoy-permissive,48,8000,client,envoy,kernel-poll,29,0.00468,0.00884
grpc-envoy-permissive,48,8000,client,kernel-only,kernel-sched,15,0.00242,0.00457
