config,body,rate,role,core,layer,samples,cores,share
grpc-dpumesh,48,8000,client,18,grpc,1431,0.18491,0.66158
grpc-dpumesh,48,8000,client,18,transport,587,0.07585,0.27138
grpc-dpumesh,48,8000,client,18,app,124,0.01602,0.05733
grpc-dpumesh,48,8000,client,18,kernel-only,20,0.00258,0.00925
grpc-dpumesh,48,8000,client,18,noise,1,0.00013,0.00046
grpc-dpumesh,48,8000,client,18,idle,0,0.7205,0.0
grpc-dpumesh,48,8000,server,19,grpc,1298,0.16092,0.64997
grpc-dpumesh,48,8000,server,19,transport,666,0.08257,0.3335
grpc-dpumesh,48,8000,server,19,kernel-only,30,0.00372,0.01502
grpc-dpumesh,48,8000,server,19,app,3,0.00037,0.0015
grpc-dpumesh,48,8000,server,19,idle,0,0.75242,0.0
grpc-dpumesh,48,16000,client,18,grpc,2852,0.35346,0.72148
grpc-dpumesh,48,16000,client,18,transport,889,0.11018,0.22489
grpc-dpumesh,48,16000,client,18,app,177,0.02194,0.04478
grpc-dpumesh,48,16000,client,18,kernel-only,32,0.00397,0.0081
grpc-dpumesh,48,16000,client,18,noise,3,0.00037,0.00076
grpc-dpumesh,48,16000,client,18,idle,0,0.51009,0.0
grpc-dpumesh,48,16000,server,19,grpc,2873,0.35372,0.75745
grpc-dpumesh,48,16000,server,19,transport,883,0.10871,0.2328
grpc-dpumesh,48,16000,server,19,kernel-only,30,0.00369,0.00791
grpc-dpumesh,48,16000,server,19,app,5,0.00062,0.00132
grpc-dpumesh,48,16000,server,19,noise,2,0.00025,0.00053
grpc-dpumesh,48,16000,server,19,idle,0,0.53301,0.0
grpc-dpumesh,48,24000,client,18,grpc,4014,0.49162,0.7421
grpc-dpumesh,48,24000,client,18,transport,1174,0.14379,0.21705
grpc-dpumesh,48,24000,client,18,app,187,0.0229,0.03457
grpc-dpumesh,48,24000,client,18,kernel-only,33,0.00404,0.0061
grpc-dpumesh,48,24000,client,18,noise,1,0.00012,0.00018
grpc-dpumesh,48,24000,client,18,idle,0,0.33753,0.0
grpc-dpumesh,48,24000,server,19,grpc,3967,0.48047,0.76435
grpc-dpumesh,48,24000,server,19,transport,1168,0.14147,0.22505
grpc-dpumesh,48,24000,server,19,kernel-only,48,0.00581,0.00925
grpc-dpumesh,48,24000,server,19,noise,5,0.00061,0.00096
grpc-dpumesh,48,24000,server,19,app,2,0.00024,0.00039
grpc-dpumesh,48,24000,server,19,idle,0,0.3714,0.0
grpc-dpumesh,1008,20000,client,18,grpc,3391,0.41741,0.73653
grpc-dpumesh,1008,20000,client,18,transport,971,0.11952,0.2109
grpc-dpumesh,1008,20000,client,18,app,205,0.02523,0.04453
grpc-dpumesh,1008,20000,client,18,kernel-only,35,0.00431,0.0076
grpc-dpumesh,1008,20000,client,18,noise,2,0.00025,0.00043
grpc-dpumesh,1008,20000,client,18,idle,0,0.43328,0.0
grpc-dpumesh,1008,20000,server,19,grpc,3454,0.42094,0.77775
grpc-dpumesh,1008,20000,server,19,transport,943,0.11492,0.21234
grpc-dpumesh,1008,20000,server,19,kernel-only,30,0.00366,0.00676
grpc-dpumesh,1008,20000,server,19,app,12,0.00146,0.0027
grpc-dpumesh,1008,20000,server,19,noise,2,0.00024,0.00045
grpc-dpumesh,1008,20000,server,19,idle,0,0.45878,0.0
grpc-envoy-permissive,48,8000,client,20,grpc,1937,0.31268,0.59019
grpc-envoy-permissive,48,8000,client,20,envoy,1182,0.19081,0.36015
grpc-envoy-permissive,48,8000,client,20,app,95,0.01534,0.02895
grpc-envoy-permissive,48,8000,client,20,kernel-only,67,0.01082,0.02041
grpc-envoy-permissive,48,8000,client,20,softirq,1,0.00016,0.0003
grpc-envoy-permissive,48,8000,client,20,idle,0,0.4702,0.0
grpc-envoy-permissive,48,8000,server,21,grpc,1855,0.29949,0.59819
grpc-envoy-permissive,48,8000,server,21,envoy,1179,0.19035,0.3802
grpc-envoy-permissive,48,8000,server,21,kernel-only,64,0.01033,0.02064
grpc-envoy-permissive,48,8000,server,21,app,3,0.00048,0.00097
grpc-envoy-permissive,48,8000,server,21,idle,0,0.49934,0.0
grpc-envoy-permissive,48,16000,client,20,grpc,3615,0.58156,0.59321
grpc-envoy-permissive,48,16000,client,20,envoy,2236,0.35971,0.36692
grpc-envoy-permissive,48,16000,client,20,app,147,0.02365,0.02412
grpc-envoy-permissive,48,16000,client,20,kernel-only,94,0.01512,0.01543
grpc-envoy-permissive,48,16000,client,20,noise,1,0.00016,0.00016
grpc-envoy-permissive,48,16000,client,20,softirq,1,0.00016,0.00016
grpc-envoy-permissive,48,16000,client,20,idle,0,0.01964,0.0
grpc-envoy-permissive,48,16000,server,21,grpc,3765,0.60735,0.62918
grpc-envoy-permissive,48,16000,server,21,envoy,2141,0.34537,0.35779
grpc-envoy-permissive,48,16000,server,21,kernel-only,67,0.01081,0.0112
grpc-envoy-permissive,48,16000,server,21,app,9,0.00145,0.0015
grpc-envoy-permissive,48,16000,server,21,softirq,1,0.00016,0.00017
grpc-envoy-permissive,48,16000,server,21,noise,1,0.00016,0.00017
grpc-envoy-permissive,48,16000,server,21,idle,0,0.0347,0.0
grpc-envoy-permissive,48,24000,client,20,grpc,4114,0.66117,0.66131
grpc-envoy-permissive,48,24000,client,20,envoy,1964,0.31564,0.3157
grpc-envoy-permissive,48,24000,client,20,app,90,0.01446,0.01447
grpc-envoy-permissive,48,24000,client,20,kernel-only,51,0.0082,0.0082
grpc-envoy-permissive,48,24000,client,20,noise,2,0.00032,0.00032
grpc-envoy-permissive,48,24000,client,20,idle,0,0.00021,0.0
grpc-envoy-permissive,48,24000,server,21,grpc,4060,0.65259,0.65336
grpc-envoy-permissive,48,24000,server,21,envoy,2076,0.33369,0.33408
grpc-envoy-permissive,48,24000,server,21,kernel-only,72,0.01157,0.01159
