config,body,rate,role,core,reps,cores,cores_min,cores_max,core_busy,softirq,csw_per_s,dpu_cores,achieved_rps,p50_us,p99_us,samples
grpc-dpumesh,48,8000,client,18,3,0.2795,0.2787,0.28283,0.054,0.0,59775,0.7611,8000,235.00,403.00,2163
grpc-dpumesh,48,8000,server,19,3,0.24758,0.2454,0.24828,0.2923,0.0,59887,0.7611,8000,234.00,405.00,1997
grpc-dpumesh,48,16000,client,18,3,0.48991,0.47869,0.49074,0.7769,0.0,91235,1.3152,16000,226.00,372.00,3953
grpc-dpumesh,48,16000,server,19,3,0.46699,0.46495,0.46823,0.4799,0.0,88234,1.3152,16000,224.00,337.00,3793
grpc-dpumesh,48,24000,client,18,3,0.66247,0.66006,0.66401,0.628,0.0,111292,1.8312,24000,277.00,9094.00,5409
grpc-dpumesh,48,24000,server,19,3,0.6286,0.62627,0.63104,0.5974,0.0,111292,1.8312,24000,277.00,9094.00,5190
grpc-dpumesh,1008,20000,client,18,3,0.56672,0.5645,0.56977,0.4999,0.0,111653,1.5171,20000,266.00,376.00,4604
grpc-dpumesh,1008,20000,server,19,3,0.54122,0.54015,0.54151,0.5033,0.0,94852,1.5171,20000,265.00,341.00,4441
grpc-envoy-permissive,48,8000,client,20,3,0.5298,0.52744,0.53309,0.8195,0.1983,106916,0.1073,8000,204.00,655.00,3282
grpc-envoy-permissive,48,8000,server,21,3,0.50066,0.48196,0.50846,0.007,0.0018,106160,0.1073,8000,205.00,587.00,3101
grpc-envoy-permissive,48,16000,client,20,3,0.98036,0.98007,0.98285,0.9919,0.0664,204815,0.1083,16000,265.00,432.00,6094
grpc-envoy-permissive,48,16000,server,21,3,0.9653,0.95142,0.96879,0.9845,0.1746,206645,0.1083,16000,286.00,479.00,5984
grpc-envoy-permissive,48,24000,client,20,3,0.99979,0.99968,0.9998,0.9998,0.143,131861,0.1095,24000,1013.00,1428.00,6221
grpc-envoy-permissive,48,24000,server,21,3,0.99882,0.99876,0.99924,1.0003,0.1271,131011,0.1095,24000,1037.00,1519.00,6214
grpc-envoy-permissive,1008,20000,client,20,3,0.99976,0.99963,0.99979,0.9981,0.1596,144231,0.1077,20000,951.00,1281.00,6219
grpc-envoy-permissive,1008,20000,server,21,3,0.99832,0.99807,0.99935,0.9988,0.1531,141913,0.1077,20000,989.00,1281.00,6217
grpc-envoy-strict,48,8000,client,24,3,0.56574,0.56088,0.56713,0.3587,0.0044,106453,0.1057,8000,204.00,650.00,3479
grpc-envoy-strict,48,8000,server,25,3,0.52882,0.50739,0.57721,0.5349,0.2701,106453,0.1057,8000,204.00,650.00,3299
grpc-envoy-strict,48,16000,client,24,3,0.99861,0.99845,0.99861,0.9984,0.1581,163960,0.1076,16000,427.00,684.00,6212
grpc-envoy-strict,48,16000,server,25,3,0.9781,0.97576,0.97963,0.9894,0.1482,163213,0.1076,16000,412.00,650.00,6077
grpc-envoy-strict,48,24000,client,24,3,0.99981,0.99973,0.99983,0.9998,0.1359,119633,0.1093,24000,1114.00,1647.00,6218
grpc-envoy-strict,48,24000,server,25,3,0.99382,0.99342,0.99688,0.993,0.1201,121502,0.1093,24000,1149.00,1494.00,6180
grpc-envoy-strict,1008,20000,client,24,3,0.99977,0.99975,0.99983,1.0001,0.1386,134271,0.1084,20000,1096.00,1404.00,6218
grpc-envoy-strict,1008,20000,server,25,3,0.99822,0.99807,0.99925,0.9983,0.1342,134271,0.1084,20000,1096.00,1404.00,6207
grpc-tcp,48,8000,client,22,3,0.35368,0.35038,0.35599,0.0088,0.0,65809,0.1077,8000,133.00,141.00,2454
grpc-tcp,48,8000,server,23,3,0.33475,0.32417,0.45733,0.0018,0.0,66307,0.1077,8000,133.00,351.00,2361
grpc-tcp,48,16000,client,22,3,0.67753,0.67089,0.67786,0.7153,0.0764,133981,0.1074,16000,160.00,280.00,4814
grpc-tcp,48,16000,server,23,3,0.66423,0.66192,0.66659,0.5854,0.0404,133981,0.1074,16000,160.00,280.00,4690
grpc-tcp,48,24000,client,22,3,0.86343,0.86104,0.86507,0.8731,0.136,128707,0.1084,24000,883.00,1577.00,6125
grpc-tcp,48,24000,server,23,3,0.83371,0.82469,0.83733,0.8276,0.122,132445,0.1084,24002,886.00,1602.00,5925
grpc-tcp,1008,20000,client,22,3,0.79468,0.79088,0.79752,0.7877,0.1184,135367,0.1084,20000,288.00,534.00,5644
grpc-tcp,1008,20000,server,23,3,0.751,0.74916,0.75151,0.7542,0.0921,141494,0.1084,20000,292.00,501.00,5339
