config,body,rate,role,core,site,samples,cores,share
grpc-dpumesh,48,8000,client,18,grpc-code,1081,0.13969,0.49977
grpc-dpumesh,48,8000,client,18,kernel-sched,392,0.05065,0.18123
grpc-dpumesh,48,8000,client,18,libc,201,0.02597,0.09293
grpc-dpumesh,48,8000,client,18,kernel-syscall,166,0.02145,0.07675
grpc-dpumesh,48,8000,client,18,kernel-poll,85,0.01098,0.0393
grpc-dpumesh,48,8000,client,18,transport-code,77,0.00995,0.0356
grpc-dpumesh,48,8000,client,18,driver-code,60,0.00775,0.02774
grpc-dpumesh,48,8000,client,18,kernel-other,55,0.00711,0.02543
grpc-dpumesh,48,8000,client,18,vdso,31,0.00401,0.01433
grpc-dpumesh,48,8000,client,18,app-code,15,0.00194,0.00693
grpc-dpumesh,48,8000,server,19,grpc-code,963,0.11939,0.48222
grpc-dpumesh,48,8000,server,19,kernel-sched,337,0.04178,0.16875
grpc-dpumesh,48,8000,server,19,libc,177,0.02194,0.08863
grpc-dpumesh,48,8000,server,19,kernel-syscall,165,0.02046,0.08262
grpc-dpumesh,48,8000,server,19,kernel-poll,126,0.01562,0.06309
grpc-dpumesh,48,8000,server,19,transport-code,84,0.01041,0.04206
grpc-dpumesh,48,8000,server,19,driver-code,68,0.00843,0.03405
grpc-dpumesh,48,8000,server,19,kernel-other,46,0.0057,0.02303
grpc-dpumesh,48,8000,server,19,vdso,28,0.00347,0.01402
grpc-dpumesh,48,8000,server,19,app-code,3,0.00037,0.0015
grpc-dpumesh,48,16000,client,18,grpc-code,2034,0.25208,0.51455
grpc-dpumesh,48,16000,client,18,kernel-sched,796,0.09865,0.20137
grpc-dpumesh,48,16000,client,18,libc,353,0.04375,0.0893
grpc-dpumesh,48,16000,client,18,kernel-syscall,239,0.02962,0.06046
grpc-dpumesh,48,16000,client,18,kernel-poll,156,0.01933,0.03946
grpc-dpumesh,48,16000,client,18,transport-code,148,0.01834,0.03744
grpc-dpumesh,48,16000,client,18,kernel-other,93,0.01153,0.02353
grpc-dpumesh,48,16000,client,18,driver-code,74,0.00917,0.01872
grpc-dpumesh,48,16000,client,18,vdso,34,0.00421,0.0086
grpc-dpumesh,48,16000,client,18,app-code,26,0.00322,0.00658
grpc-dpumesh,48,16000,server,19,grpc-code,2031,0.25005,0.53546
grpc-dpumesh,48,16000,server,19,kernel-sched,717,0.08828,0.18903
grpc-dpumesh,48,16000,server,19,libc,302,0.03718,0.07962
grpc-dpumesh,48,16000,server,19,kernel-syscall,267,0.03287,0.07039
grpc-dpumesh,48,16000,server,19,kernel-poll,171,0.02105,0.04508
grpc-dpumesh,48,16000,server,19,transport-code,138,0.01699,0.03638
grpc-dpumesh,48,16000,server,19,kernel-other,67,0.00825,0.01766
grpc-dpumesh,48,16000,server,19,driver-code,51,0.00628,0.01345
grpc-dpumesh,48,16000,server,19,vdso,46,0.00566,0.01213
grpc-dpumesh,48,16000,server,19,app-code,3,0.00037,0.00079
grpc-dpumesh,48,24000,client,18,grpc-code,2840,0.34783,0.52505
grpc-dpumesh,48,24000,client,18,kernel-sched,1051,0.12872,0.19431
grpc-dpumesh,48,24000,client,18,libc,520,0.06369,0.09614
grpc-dpumesh,48,24000,client,18,kernel-syscall,331,0.04054,0.06119
grpc-dpumesh,48,24000,client,18,kernel-poll,192,0.02352,0.0355
grpc-dpumesh,48,24000,client,18,transport-code,170,0.02082,0.03143
grpc-dpumesh,48,24000,client,18,kernel-other,137,0.01678,0.02533
grpc-dpumesh,48,24000,client,18,vdso,73,0.00894,0.0135
grpc-dpumesh,48,24000,client,18,driver-code,69,0.00845,0.01276
grpc-dpumesh,48,24000,client,18,app-code,26,0.00318,0.00481
