config,body,role,layer,dso,symbol,samples,cores
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],psi_group_change,57,0.00737
grpc-dpumesh,48,client,runtime,libc.so.6,malloc,43,0.00556
grpc-dpumesh,48,client,runtime,libc.so.6,_int_free,37,0.00478
grpc-dpumesh,48,client,grpc,bench_grpc,grpc_core::promise_filter_detail::BaseCallData::Flusher::~Flusher,36,0.00465
grpc-dpumesh,48,client,vdso,[vdso],[unknown],31,0.00401
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],__calc_delta,30,0.00388
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],update_cfs_group,30,0.00388
grpc-dpumesh,48,client,grpc,bench_grpc,_ZN9grpc_core5TableIJNS_15metadata_detail5ValueINS_17LbCostBinMetadataEvEENS2_INS_17GrpcStatusContextEvEENS2_INS_22W3CTraceParentMetadataEvEENS2_INS_22XForwardedHostMetadataEvEENS2_INS_21XForwardedForMetadataEvEENS2_INS_18XEnvoyPeerMetadataEvEENS2_INS_15LbTokenMetadataEvEENS2_INS_10PeerStringEvEENS2_INS_19GrpcTagsBinMetadataEvEENS2_INS_20GrpcTraceBinMetadataEvEENS2_INS_26GrpcServerStatsBinMetadataEvEENS2_INS_30EndpointLoadMetricsBinMetadataEvEENS2_INS_12HostMetadataEvEENS2_INS_19GrpcMessageMetadataEvEENS2_INS_17UserAgentMetadataEvEENS2_INS_21HttpAuthorityMetadataEvEENS2_INS_16HttpPathMetadataEvEENS2_INS_27GrpcRetryPushbackMsMetadataEvEENS2_INS_19GrpcTimeoutMetadataEvEENS2_INS_25GrpcLbClientStatsMetadataEvEENS2_INS_20GrpcRegisteredMethodEvEENS2_INS_27GrpcInternalEncodingRequestEvEENS2_INS_20GrpcEncodingMetadataEvEENS2_INS_18HttpStatusMetadataEvEENS2_INS_31GrpcPreviousRpcAttemptsMetadataEvEENS2_INS_18GrpcStatusMetadataEvEENS2_INS_12WaitForReadyEvEENS2_INS_22GrpcStreamNetworkStateEvEENS2_INS_26GrpcAcceptEncodingMetadataEvEENS2_INS_10GrpcTarPitEvEENS2_INS_20GrpcCallWasCancelledEvEENS2_INS_10TeMetadataEvEENS2_INS_19ContentTypeMetadataEvEENS2_INS_18HttpSchemeMetadataEvEENS2_INS_18GrpcStatusFromWireEvEENS2_INS_18HttpMethodMetadataEvEENS2_INS_16GrpcTrailersOnlyEvEENS2_INS_18IsTransparentRetryEvEEEE4MoveILb1EJLm0ELm1ELm2ELm3ELm4ELm5ELm6ELm7ELm8ELm9ELm10ELm11ELm12ELm13ELm14ELm15ELm16ELm17ELm18ELm19ELm20ELm21ELm22ELm23ELm24ELm25ELm26ELm27ELm28ELm29ELm30ELm31ELm32ELm33ELm34ELm35ELm36ELm37EEEEvSt16integer_sequenceImJXspT0_EEEOS27_.isra.0,30,0.00388
grpc-dpumesh,48,client,grpc,bench_grpc,grpc_core::promise_filter_detail::ClientCallData::PollContext::Run,28,0.00362
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],entry_SYSCALL_64,27,0.00349
grpc-dpumesh,48,client,transport,libdpumesh.so.4,drain_rev_rings.part.0.constprop.0,26,0.00336
grpc-dpumesh,48,client,runtime,libc.so.6,_int_malloc,25,0.00323
grpc-dpumesh,48,client,grpc,bench_grpc,grpc_core::MultiProducerSingleConsumerQueue::Push,24,0.0031
grpc-dpumesh,48,client,driver,libdoca_comch.so.3.1.0105,[unknown],23,0.00297
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],_raw_spin_lock_irq,23,0.00297
grpc-dpumesh,48,client,grpc,bench_grpc,grpc_core::promise_filter_detail::BaseCallData::Flusher::Flusher,20,0.00258
grpc-dpumesh,48,client,grpc,bench_grpc,_ZN9grpc_core5TableIJNS_15metadata_detail5ValueINS_17LbCostBinMetadataEvEENS2_INS_17GrpcStatusContextEvEENS2_INS_22W3CTraceParentMetadataEvEENS2_INS_22XForwardedHostMetadataEvEENS2_INS_21XForwardedForMetadataEvEENS2_INS_18XEnvoyPeerMetadataEvEENS2_INS_15LbTokenMetadataEvEENS2_INS_10PeerStringEvEENS2_INS_19GrpcTagsBinMetadataEvEENS2_INS_20GrpcTraceBinMetadataEvEENS2_INS_26GrpcServerStatsBinMetadataEvEENS2_INS_30EndpointLoadMetricsBinMetadataEvEENS2_INS_12HostMetadataEvEENS2_INS_19GrpcMessageMetadataEvEENS2_INS_17UserAgentMetadataEvEENS2_INS_21HttpAuthorityMetadataEvEENS2_INS_16HttpPathMetadataEvEENS2_INS_27GrpcRetryPushbackMsMetadataEvEENS2_INS_19GrpcTimeoutMetadataEvEENS2_INS_25GrpcLbClientStatsMetadataEvEENS2_INS_20GrpcRegisteredMethodEvEENS2_INS_27GrpcInternalEncodingRequestEvEENS2_INS_20GrpcEncodingMetadataEvEENS2_INS_18HttpStatusMetadataEvEENS2_INS_31GrpcPreviousRpcAttemptsMetadataEvEENS2_INS_18GrpcStatusMetadataEvEENS2_INS_12WaitForReadyEvEENS2_INS_22GrpcStreamNetworkStateEvEENS2_INS_26GrpcAcceptEncodingMetadataEvEENS2_INS_10GrpcTarPitEvEENS2_INS_20GrpcCallWasCancelledEvEENS2_INS_10TeMetadataEvEENS2_INS_19ContentTypeMetadataEvEENS2_INS_18HttpSchemeMetadataEvEENS2_INS_18GrpcStatusFromWireEvEENS2_INS_18HttpMethodMetadataEvEENS2_INS_16GrpcTrailersOnlyEvEENS2_INS_18IsTransparentRetryEvEEEE8DestructIJLm0ELm1ELm2ELm3ELm4ELm5ELm6ELm7ELm8ELm9ELm10ELm11ELm12ELm13ELm14ELm15ELm16ELm17ELm18ELm19ELm20ELm21ELm22ELm23ELm24ELm25ELm26ELm27ELm28ELm29ELm30ELm31ELm32ELm33ELm34ELm35ELm36ELm37EEEEvSt16integer_sequenceImJXspT_EEE.isra.0,19,0.00246
grpc-dpumesh,48,client,grpc,bench_grpc,grpc_core::promise_filter_detail::BaseCallData::BaseCallData,18,0.00233
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],arch_exit_to_user_mode_prepare.constprop.0,18,0.00233
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],__fget_files,17,0.0022
grpc-dpumesh,48,client,grpc,bench_grpc,grpc_core::FilterStackCall::Create,16,0.00207
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],restore_fpregs_from_fpstate,15,0.00194
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],_raw_spin_lock_irqsave,15,0.00194
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],__switch_to,15,0.00194
grpc-dpumesh,48,client,grpc,bench_grpc,grpc_core::CallCombiner::Stop,15,0.00194
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],save_fpregs_to_fpstate,14,0.00181
grpc-dpumesh,48,client,runtime,libc.so.6,read,14,0.00181
grpc-dpumesh,48,client,grpc,bench_grpc,grpc_core::promise_filter_detail::ClientCallData::WakeInsideCombiner,13,0.00168
grpc-dpumesh,48,client,grpc,bench_grpc,grpc_core::ExecCtx::Run,13,0.00168
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],update_load_avg,13,0.00168
grpc-dpumesh,48,client,grpc,bench_grpc,grpc_chttp2_begin_write,13,0.00168
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],update_curr,13,0.00168
grpc-dpumesh,48,client,driver,libdoca_common.so.3.1.0105,[unknown],12,0.00155
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],__update_load_avg_se,12,0.00155
grpc-dpumesh,48,client,runtime,libc.so.6,__memmove_avx512_unaligned_erms,12,0.00155
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],fput_many,12,0.00155
grpc-dpumesh,48,client,kernel,[kernel.kallsyms],__put_user_nocheck_8,11,0.00142
