config,body,rate,role,layer,site,samples,cores,share
dpumesh-native,48,120000,client,app,kernel-sched,3470,0.14549,0.41832
dpumesh-native,48,120000,client,transport,kernel-sched,1041,0.04365,0.1255
dpumesh-native,48,120000,client,app,kernel-syscall,886,0.03715,0.10681
dpumesh-native,48,120000,client,transport,transport-code,520,0.0218,0.06269
dpumesh-native,48,120000,client,app,vdso,407,0.01706,0.04907
dpumesh-native,48,120000,client,app,app-code,379,0.01589,0.04569
dpumesh-native,48,120000,client,app,kernel-poll,345,0.01447,0.04159
dpumesh-native,48,120000,client,transport,kernel-syscall,335,0.01405,0.04039
dpumesh-native,48,120000,client,app,libc,207,0.00868,0.02495
dpumesh-native,48,120000,client,transport,kernel-poll,175,0.00734,0.0211
dpumesh-native,48,120000,client,app,kernel-other,153,0.00641,0.01844
dpumesh-native,48,120000,client,transport,libc,112,0.0047,0.0135
dpumesh-native,48,120000,client,transport,driver-code,107,0.00449,0.0129
dpumesh-native,48,120000,client,transport,kernel-other,71,0.00298,0.00856
dpumesh-native,48,120000,client,kernel-only,kernel-syscall,49,0.00205,0.00591
dpumesh-native,48,120000,client,transport,vdso,20,0.00084,0.00241
dpumesh-native,48,120000,client,kernel-only,kernel-sched,16,0.00067,0.00193
dpumesh-native,48,120000,client,kernel-only,kernel-other,2,8e-05,0.00024
dpumesh-native,48,120000,server,transport,kernel-sched,596,0.02662,0.27352
dpumesh-native,48,120000,server,transport,transport-code,369,0.01648,0.16934
dpumesh-native,48,120000,server,transport,kernel-syscall,231,0.01032,0.10601
dpumesh-native,48,120000,server,app,kernel-sched,230,0.01027,0.10555
dpumesh-native,48,120000,server,transport,kernel-poll,164,0.00732,0.07526
dpumesh-native,48,120000,server,app,kernel-syscall,112,0.005,0.0514
dpumesh-native,48,120000,server,transport,libc,101,0.00451,0.04635
dpumesh-native,48,120000,server,app,app-code,89,0.00397,0.04084
dpumesh-native,48,120000,server,transport,driver-code,81,0.00362,0.03717
dpumesh-native,48,120000,server,app,kernel-poll,70,0.00313,0.03212
dpumesh-native,48,120000,server,app,libc,39,0.00174,0.0179
dpumesh-native,48,120000,server,transport,kernel-other,33,0.00147,0.01514
dpumesh-native,48,120000,server,app,kernel-other,19,0.00085,0.00872
