config,body,rate,role,core,layer,samples,cores,share
dpumesh-native,48,120000,client,24,app,5847,0.24515,0.70488
dpumesh-native,48,120000,client,24,transport,2381,0.09983,0.28704
dpumesh-native,48,120000,client,24,kernel-only,67,0.00281,0.00808
dpumesh-native,48,120000,client,24,idle,0,0.65221,0.0
dpumesh-native,48,120000,server,25,transport,1588,0.07092,0.72877
dpumesh-native,48,120000,server,25,app,565,0.02523,0.25929
dpumesh-native,48,120000,server,25,kernel-only,26,0.00116,0.01193
dpumesh-native,48,120000,server,25,idle,0,0.90268,0.0
dpumesh-native,48,260000,client,24,app,6617,0.27564,0.7152
dpumesh-native,48,260000,client,24,transport,2567,0.10693,0.27745
dpumesh-native,48,260000,client,24,kernel-only,68,0.00283,0.00735
dpumesh-native,48,260000,client,24,idle,0,0.6146,0.0
dpumesh-native,48,260000,server,25,transport,1576,0.06914,0.72227
dpumesh-native,48,260000,server,25,app,555,0.02435,0.25435
dpumesh-native,48,260000,server,25,kernel-only,51,0.00224,0.02337
dpumesh-native,48,260000,server,25,idle,0,0.90427,0.0
dpumesh-native,48,400000,client,24,app,6953,0.28678,0.7194
dpumesh-native,48,400000,client,24,transport,2616,0.1079,0.27067
dpumesh-native,48,400000,client,24,kernel-only,96,0.00396,0.00993
dpumesh-native,48,400000,client,24,idle,0,0.60136,0.0
dpumesh-native,48,400000,server,25,transport,1646,0.07136,0.71628
dpumesh-native,48,400000,server,25,app,603,0.02614,0.2624
dpumesh-native,48,400000,server,25,kernel-only,49,0.00212,0.02132
dpumesh-native,48,400000,server,25,idle,0,0.90038,0.0
dpumesh-native,1008,300000,client,24,app,7258,0.29977,0.70962
dpumesh-native,1008,300000,client,24,transport,2900,0.11978,0.28354
dpumesh-native,1008,300000,client,24,kernel-only,70,0.00289,0.00684
dpumesh-native,1008,300000,client,24,idle,0,0.57756,0.0
dpumesh-native,1008,300000,server,25,transport,2855,0.12269,0.63122
dpumesh-native,1008,300000,server,25,app,1620,0.06962,0.35817
dpumesh-native,1008,300000,server,25,kernel-only,48,0.00206,0.01061
dpumesh-native,1008,300000,server,25,idle,0,0.80563,0.0
dpumesh-preload,48,120000,client,18,transport,1533,0.25354,0.53676
dpumesh-preload,48,120000,client,18,app,1288,0.21302,0.45098
dpumesh-preload,48,120000,client,18,kernel-only,35,0.00579,0.01225
dpumesh-preload,48,120000,client,18,idle,0,0.52765,0.0
dpumesh-preload,48,120000,server,19,transport,1110,0.1894,0.95938
dpumesh-preload,48,120000,server,19,kernel-only,27,0.00461,0.02334
dpumesh-preload,48,120000,server,19,app,20,0.00341,0.01729
dpumesh-preload,48,120000,server,19,idle,0,0.80258,0.0
dpumesh-preload,48,260000,client,18,app,1505,0.24667,0.51138
dpumesh-preload,48,260000,client,18,transport,1408,0.23077,0.47842
dpumesh-preload,48,260000,client,18,kernel-only,30,0.00492,0.01019
dpumesh-preload,48,260000,client,18,idle,0,0.51764,0.0
dpumesh-preload,48,260000,server,19,transport,1209,0.20559,0.95724
dpumesh-preload,48,260000,server,19,app,41,0.00697,0.03246
dpumesh-preload,48,260000,server,19,kernel-only,13,0.00221,0.01029
