config,body,rate,role,core,reps,cores,cores_min,cores_max,core_busy,softirq,csw_per_s,dpu_cores,achieved_rps,p50_us,p99_us,samples
dpumesh-native,48,120000,client,24,3,0.34779,0.34601,0.34869,0.1569,0.0,190327,1.1253,119999,1025.00,7936.00,8295
dpumesh-native,48,120000,server,25,3,0.09732,0.09394,0.11757,0.0757,0.0,192177,1.1253,119999,992.00,1540.00,2179
dpumesh-native,48,260000,client,24,3,0.3854,0.25567,0.39341,0.2622,0.0,198106,1.1533,260001,1010.00,1875.00,9252
dpumesh-native,48,260000,server,25,3,0.09573,0.07031,0.10353,0.0798,0.0,198106,1.1533,260001,1010.00,1875.00,2182
dpumesh-native,48,400000,client,24,3,0.39864,0.39709,0.39901,0.2619,0.0,198855,1.1392,400008,1015.00,1601.00,9665
dpumesh-native,48,400000,server,25,3,0.09962,0.098,0.10382,0.0814,0.0,198855,1.1392,400008,1015.00,1601.00,2298
dpumesh-native,1008,300000,client,24,3,0.42244,0.41938,0.42326,0.3306,0.0,249933,2.3404,300000,407.00,776.00,10228
dpumesh-native,1008,300000,server,25,3,0.19437,0.18367,0.20227,0.1157,0.0,246559,2.3404,299996,428.00,829.00,4523
dpumesh-preload,48,120000,client,18,3,0.47235,0.4625,0.47355,0.3359,0.0,235864,1.1667,120000,510.00,1007.00,2856
dpumesh-preload,48,120000,server,19,3,0.19742,0.19434,0.19813,0.1314,0.0,230522,1.1667,119999,516.00,1017.00,1157
dpumesh-preload,48,260000,client,18,3,0.48236,0.47965,0.48283,0.3903,0.0,233118,1.1436,259993,521.00,929.00,2943
dpumesh-preload,48,260000,server,19,3,0.21477,0.21222,0.21505,0.1536,0.0,232411,1.1436,259993,522.00,937.00,1263
dpumesh-preload,48,400000,client,18,3,0.48881,0.48859,0.48954,0.3932,0.0,232234,1.1507,399971,526.00,947.00,2973
dpumesh-preload,48,400000,server,19,3,0.2187,0.21813,0.21897,0.1683,0.0,232096,1.1507,399985,527.00,929.00,1285
dpumesh-preload,1008,300000,client,18,3,0.71761,0.71222,0.71916,0.6176,0.0,360000,3.0953,299936,296.00,516.00,4371
dpumesh-preload,1008,300000,server,19,3,0.44929,0.44648,0.45803,0.4342,0.0,360000,3.0953,299936,296.00,516.00,2689
envoy-permissive,48,120000,client,20,3,0.9998,0.99967,0.99983,0.9996,0.3179,199114,0.1304,119999,461.00,653.00,6235
envoy-permissive,48,120000,server,21,3,0.97968,0.97631,0.99176,0.9821,0.3029,201815,0.1304,119999,456.00,646.00,6080
envoy-permissive,48,260000,client,20,3,0.99984,0.99979,0.99984,0.9999,0.314,198042,0.1336,260000,463.00,672.00,6228
envoy-permissive,48,260000,server,21,3,0.96488,0.95207,0.96776,0.9679,0.294,197172,0.1336,260001,491.00,691.00,5998
envoy-permissive,48,400000,client,20,3,0.99985,0.99977,0.99986,0.9993,0.3178,191097,0.1315,400009,493.00,706.00,6227
envoy-permissive,48,400000,server,21,3,0.93973,0.91334,0.95226,0.9481,0.3029,193217,0.1315,399998,502.00,731.00,5825
envoy-permissive,1008,300000,client,20,3,0.9998,0.99967,0.99981,0.9993,0.3046,159963,0.1303,300005,613.00,940.00,6224
envoy-permissive,1008,300000,server,21,3,0.97448,0.97071,0.9877,0.9735,0.3429,160086,0.1303,299998,617.00,968.00,6059
envoy-strict,48,120000,client,22,3,0.99983,0.99982,0.99983,0.9994,0.2958,186913,0.1302,119999,490.00,707.00,6228
envoy-strict,48,120000,server,23,3,0.9564,0.95465,0.99489,0.9623,0.2885,186913,0.1302,119999,490.00,707.00,5915
envoy-strict,48,260000,client,22,3,0.99981,0.99975,0.99989,0.9998,0.2951,184256,0.1287,259998,508.00,731.00,6227
envoy-strict,48,260000,server,23,3,0.94772,0.94603,0.95112,0.9579,0.2781,183625,0.1287,260000,510.00,735.00,5863
envoy-strict,48,400000,client,22,3,0.99977,0.99976,1.00008,1.0006,0.2886,179696,0.1317,400002,525.00,774.00,6228
envoy-strict,48,400000,server,23,3,0.93158,0.92176,0.94834,0.9337,0.2709,179696,0.1317,400002,525.00,774.00,5783
envoy-strict,1008,300000,client,22,3,0.9998,0.99979,0.99981,0.9999,0.2333,121846,0.1341,300018,824.00,1450.00,6223
envoy-strict,1008,300000,server,23,3,0.97588,0.97451,0.97813,0.9744,0.2587,121846,0.1341,300018,824.00,1450.00,6064
