config,body,rate,role,core,site,samples,cores,share
dpumesh-native,48,120000,client,24,kernel-sched,4527,0.18981,0.54575
dpumesh-native,48,120000,client,24,kernel-syscall,1270,0.05325,0.1531
dpumesh-native,48,120000,client,24,transport-code,520,0.0218,0.06269
dpumesh-native,48,120000,client,24,kernel-poll,520,0.0218,0.06269
dpumesh-native,48,120000,client,24,vdso,427,0.0179,0.05148
dpumesh-native,48,120000,client,24,app-code,379,0.01589,0.04569
dpumesh-native,48,120000,client,24,libc,319,0.01337,0.03846
dpumesh-native,48,120000,client,24,kernel-other,226,0.00948,0.02725
dpumesh-native,48,120000,client,24,driver-code,107,0.00449,0.0129
dpumesh-native,48,120000,server,25,kernel-sched,834,0.03725,0.38274
dpumesh-native,48,120000,server,25,transport-code,369,0.01648,0.16934
dpumesh-native,48,120000,server,25,kernel-syscall,361,0.01612,0.16567
dpumesh-native,48,120000,server,25,kernel-poll,234,0.01045,0.10739
dpumesh-native,48,120000,server,25,libc,140,0.00625,0.06425
dpumesh-native,48,120000,server,25,app-code,89,0.00397,0.04084
dpumesh-native,48,120000,server,25,driver-code,81,0.00362,0.03717
dpumesh-native,48,120000,server,25,kernel-other,52,0.00232,0.02386
dpumesh-native,48,120000,server,25,vdso,19,0.00085,0.00872
dpumesh-native,48,260000,client,24,kernel-sched,4867,0.20274,0.52605
dpumesh-native,48,260000,client,24,kernel-syscall,1323,0.05511,0.143
dpumesh-native,48,260000,client,24,transport-code,676,0.02816,0.07307
dpumesh-native,48,260000,client,24,app-code,575,0.02395,0.06215
dpumesh-native,48,260000,client,24,kernel-poll,547,0.02279,0.05912
dpumesh-native,48,260000,client,24,vdso,522,0.02174,0.05642
dpumesh-native,48,260000,client,24,libc,399,0.01662,0.04313
dpumesh-native,48,260000,client,24,kernel-other,251,0.01046,0.02713
dpumesh-native,48,260000,client,24,driver-code,92,0.00383,0.00994
dpumesh-native,48,260000,server,25,kernel-sched,732,0.03211,0.33547
dpumesh-native,48,260000,server,25,transport-code,434,0.01904,0.1989
dpumesh-native,48,260000,server,25,kernel-syscall,353,0.01549,0.16178
dpumesh-native,48,260000,server,25,kernel-poll,233,0.01022,0.10678
dpumesh-native,48,260000,server,25,app-code,152,0.00667,0.06966
dpumesh-native,48,260000,server,25,libc,124,0.00544,0.05683
dpumesh-native,48,260000,server,25,driver-code,83,0.00364,0.03804
dpumesh-native,48,260000,server,25,kernel-other,55,0.00241,0.02521
dpumesh-native,48,260000,server,25,vdso,16,0.0007,0.00733
dpumesh-native,48,400000,client,24,kernel-sched,4961,0.20462,0.5133
dpumesh-native,48,400000,client,24,kernel-syscall,1454,0.05997,0.15044
dpumesh-native,48,400000,client,24,transport-code,754,0.0311,0.07801
dpumesh-native,48,400000,client,24,app-code,703,0.029,0.07274
dpumesh-native,48,400000,client,24,vdso,583,0.02405,0.06032
dpumesh-native,48,400000,client,24,kernel-poll,531,0.0219,0.05494
dpumesh-native,48,400000,client,24,libc,318,0.01312,0.0329
dpumesh-native,48,400000,client,24,kernel-other,275,0.01134,0.02845
dpumesh-native,48,400000,client,24,driver-code,86,0.00355,0.0089
dpumesh-native,48,400000,server,25,kernel-sched,727,0.03152,0.31636
dpumesh-native,48,400000,server,25,transport-code,547,0.02371,0.23803
dpumesh-native,48,400000,server,25,kernel-syscall,333,0.01444,0.14491
dpumesh-native,48,400000,server,25,app-code,210,0.0091,0.09138
dpumesh-native,48,400000,server,25,kernel-poll,197,0.00854,0.08573
dpumesh-native,48,400000,server,25,libc,124,0.00538,0.05396
dpumesh-native,48,400000,server,25,driver-code,91,0.00394,0.0396
dpumesh-native,48,400000,server,25,kernel-other,54,0.00234,0.0235
dpumesh-native,48,400000,server,25,vdso,15,0.00065,0.00653
dpumesh-native,1008,300000,client,24,kernel-sched,5399,0.22299,0.52786
dpumesh-native,1008,300000,client,24,kernel-syscall,1387,0.05729,0.13561
dpumesh-native,1008,300000,client,24,transport-code,944,0.03899,0.0923
dpumesh-native,1008,300000,client,24,app-code,681,0.02813,0.06658
dpumesh-native,1008,300000,client,24,kernel-poll,585,0.02416,0.0572
dpumesh-native,1008,300000,client,24,vdso,532,0.02197,0.05201
dpumesh-native,1008,300000,client,24,libc,310,0.0128,0.03031
dpumesh-native,1008,300000,client,24,kernel-other,292,0.01206,0.02855
dpumesh-native,1008,300000,client,24,driver-code,98,0.00405,0.00958
dpumesh-native,1008,300000,server,25,kernel-sched,1568,0.06738,0.34667
dpumesh-native,1008,300000,server,25,transport-code,853,0.03666,0.18859
dpumesh-native,1008,300000,server,25,kernel-syscall,702,0.03017,0.15521
dpumesh-native,1008,300000,server,25,app-code,406,0.01745,0.08976
dpumesh-native,1008,300000,server,25,kernel-poll,374,0.01607,0.08269
dpumesh-native,1008,300000,server,25,libc,243,0.01044,0.05373
dpumesh-native,1008,300000,server,25,driver-code,225,0.00967,0.04975
dpumesh-native,1008,300000,server,25,kernel-other,130,0.00559,0.02874
dpumesh-native,1008,300000,server,25,vdso,22,0.00095,0.00486
dpumesh-preload,48,120000,client,18,kernel-sched,1296,0.21434,0.45378
dpumesh-preload,48,120000,client,18,kernel-syscall,465,0.07691,0.16282
dpumesh-preload,48,120000,client,18,libc,303,0.05011,0.10609
dpumesh-preload,48,120000,client,18,transport-code,188,0.03109,0.06583
dpumesh-preload,48,120000,client,18,kernel-poll,182,0.0301,0.06373
dpumesh-preload,48,120000,client,18,kernel-other,147,0.02431,0.05147
dpumesh-preload,48,120000,client,18,app-code,97,0.01604,0.03396
dpumesh-preload,48,120000,client,18,kernel-net,92,0.01522,0.03221
dpumesh-preload,48,120000,client,18,vdso,54,0.00893,0.01891
dpumesh-preload,48,120000,client,18,driver-code,32,0.00529,0.0112
dpumesh-preload,48,120000,server,19,kernel-sched,440,0.07508,0.38029
dpumesh-preload,48,120000,server,19,kernel-syscall,192,0.03276,0.16595
dpumesh-preload,48,120000,server,19,kernel-poll,113,0.01928,0.09767
dpumesh-preload,48,120000,server,19,libc,106,0.01809,0.09162
dpumesh-preload,48,120000,server,19,kernel-other,87,0.01484,0.07519
