config,body,role,layer,dso,symbol,samples,cores
dpumesh-native,48,client,kernel,[kernel.kallsyms],psi_group_change,591,0.02478
dpumesh-native,48,client,vdso,[vdso],[unknown],419,0.01757
dpumesh-native,48,client,kernel,[kernel.kallsyms],entry_SYSCALL_64,241,0.0101
dpumesh-native,48,client,kernel,[kernel.kallsyms],update_cfs_group,235,0.00985
dpumesh-native,48,client,kernel,[kernel.kallsyms],restore_fpregs_from_fpstate,225,0.00943
dpumesh-native,48,client,kernel,[kernel.kallsyms],__calc_delta,183,0.00767
dpumesh-native,48,client,app,bench_dpumesh,worker_fn,174,0.0073
dpumesh-native,48,client,kernel,[kernel.kallsyms],__schedule,167,0.007
dpumesh-native,48,client,kernel,[kernel.kallsyms],__switch_to,162,0.00679
dpumesh-native,48,client,kernel,[kernel.kallsyms],save_fpregs_to_fpstate,160,0.00671
dpumesh-native,48,client,kernel,[kernel.kallsyms],native_queued_spin_lock_slowpath.part.0,143,0.006
dpumesh-native,48,client,kernel,[kernel.kallsyms],update_load_avg,140,0.00587
dpumesh-native,48,client,kernel,[kernel.kallsyms],native_sched_clock,133,0.00558
dpumesh-native,48,client,kernel,[kernel.kallsyms],_raw_spin_lock_irqsave,126,0.00528
dpumesh-native,48,client,kernel,[kernel.kallsyms],_raw_spin_lock_irq,125,0.00524
dpumesh-native,48,client,kernel,[kernel.kallsyms],__update_load_avg_cfs_rq,117,0.00491
dpumesh-native,48,client,kernel,[kernel.kallsyms],timerqueue_add,111,0.00465
dpumesh-native,48,client,kernel,[kernel.kallsyms],update_curr,111,0.00465
dpumesh-native,48,client,kernel,[kernel.kallsyms],pick_next_task_fair,111,0.00465
dpumesh-native,48,client,kernel,[kernel.kallsyms],__update_load_avg_se,105,0.0044
dpumesh-native,48,client,transport,libdpumesh.so.4,drain_rev_rings.part.0.constprop.0,105,0.0044
dpumesh-native,48,client,kernel,[kernel.kallsyms],__fget_files,101,0.00423
dpumesh-native,48,client,kernel,[kernel.kallsyms],read_tsc,98,0.00411
dpumesh-native,48,client,runtime,libc.so.6,epoll_pwait2,92,0.00386
dpumesh-native,48,client,kernel,[kernel.kallsyms],prepare_task_switch,90,0.00377
dpumesh-native,48,client,kernel,[kernel.kallsyms],update_min_vruntime,88,0.00369
dpumesh-native,48,client,kernel,[kernel.kallsyms],__rseq_handle_notify_resume,83,0.00348
dpumesh-native,48,client,kernel,[kernel.kallsyms],fput_many,83,0.00348
dpumesh-native,48,client,kernel,[kernel.kallsyms],arch_exit_to_user_mode_prepare.constprop.0,81,0.0034
dpumesh-native,48,client,kernel,[kernel.kallsyms],exit_to_user_mode_loop,81,0.0034
dpumesh-native,48,client,kernel,[kernel.kallsyms],__put_user_nocheck_8,80,0.00335
dpumesh-native,48,client,kernel,[kernel.kallsyms],rb_erase,78,0.00327
dpumesh-native,48,client,kernel,[kernel.kallsyms],reweight_entity,77,0.00323
dpumesh-native,48,client,kernel,[kernel.kallsyms],ep_poll,76,0.00319
dpumesh-native,48,client,kernel,[kernel.kallsyms],__get_user_8,72,0.00302
dpumesh-native,48,client,app,bench_dpumesh,on_reply,72,0.00302
dpumesh-native,48,client,kernel,[kernel.kallsyms],_raw_spin_lock,69,0.00289
dpumesh-native,48,client,kernel,[kernel.kallsyms],ktime_get_ts64,69,0.00289
dpumesh-native,48,client,transport,libdpumesh.so.4,dmesh_tx_qp_valid,63,0.00264
dpumesh-native,48,client,kernel,[kernel.kallsyms],__wrgsbase_inactive,61,0.00256
dpumesh-native,48,server,kernel,[kernel.kallsyms],psi_group_change,90,0.00402
dpumesh-native,48,server,transport,libdpumesh.so.4,drain_rev_rings.part.0.constprop.0,89,0.00397
dpumesh-native,48,server,transport,libdpumesh.so.4,dpumesh_publish_due_tails,66,0.00295
dpumesh-native,48,server,kernel,[kernel.kallsyms],entry_SYSCALL_64,64,0.00286
dpumesh-native,48,server,kernel,[kernel.kallsyms],_raw_spin_lock_irq,56,0.0025
dpumesh-native,48,server,kernel,[kernel.kallsyms],__calc_delta,51,0.00228
dpumesh-native,48,server,app,echo_dpumesh,reply_pump,48,0.00214
dpumesh-native,48,server,kernel,[kernel.kallsyms],ep_item_poll.isra.0,42,0.00188
dpumesh-native,48,server,kernel,[kernel.kallsyms],restore_fpregs_from_fpstate,40,0.00179
dpumesh-native,48,server,kernel,[kernel.kallsyms],_raw_spin_lock_irqsave,38,0.0017
dpumesh-native,48,server,kernel,[kernel.kallsyms],update_cfs_group,36,0.00161
dpumesh-native,48,server,kernel,[kernel.kallsyms],__switch_to,35,0.00156
dpumesh-native,48,server,transport,libdpumesh.so.4,dmesh_tx_qp_valid,35,0.00156
dpumesh-native,48,server,kernel,[kernel.kallsyms],reweight_entity,30,0.00134
dpumesh-native,48,server,kernel,[kernel.kallsyms],mutex_lock,30,0.00134
dpumesh-native,48,server,kernel,[kernel.kallsyms],__fget_files,30,0.00134
dpumesh-native,48,server,kernel,[kernel.kallsyms],arch_exit_to_user_mode_prepare.constprop.0,27,0.00121
dpumesh-native,48,server,kernel,[kernel.kallsyms],native_sched_clock,27,0.00121
dpumesh-native,48,server,kernel,[kernel.kallsyms],iterate_groups,27,0.00121
dpumesh-native,48,server,kernel,[kernel.kallsyms],save_fpregs_to_fpstate,27,0.00121
dpumesh-native,48,server,kernel,[kernel.kallsyms],syscall_return_via_sysret,26,0.00116
dpumesh-native,48,server,transport,libdpumesh.so.4,dpumesh_tx_reserve,25,0.00112
dpumesh-native,48,server,app,echo_dpumesh,main,25,0.00112
dpumesh-native,48,server,kernel,[kernel.kallsyms],fput_many,23,0.00103
dpumesh-native,48,server,kernel,[kernel.kallsyms],__update_load_avg_se,21,0.00094
dpumesh-native,48,server,kernel,[kernel.kallsyms],__put_user_nocheck_8,20,0.00089
dpumesh-native,48,server,kernel,[kernel.kallsyms],ep_send_events,19,0.00085
dpumesh-native,48,server,kernel,[kernel.kallsyms],update_curr,19,0.00085
dpumesh-native,48,server,driver,libdoca_comch.so.3.1.0105,[unknown],19,0.00085
dpumesh-native,48,server,vdso,[vdso],[unknown],19,0.00085
dpumesh-native,48,server,transport,libdpumesh.so.4,dpumesh_enqueue,18,0.0008
dpumesh-native,48,server,kernel,[kernel.kallsyms],__update_load_avg_cfs_rq,18,0.0008
dpumesh-native,48,server,kernel,[kernel.kallsyms],update_load_avg,18,0.0008
dpumesh-native,48,server,kernel,[kernel.kallsyms],exit_to_user_mode_loop,18,0.0008
dpumesh-native,48,server,kernel,[kernel.kallsyms],prepare_task_switch,17,0.00076
dpumesh-native,48,server,runtime,libc.so.6,__GI___pthread_disable_asynccancel,17,0.00076
dpumesh-native,48,server,kernel,[kernel.kallsyms],__schedule,17,0.00076
dpumesh-native,48,server,kernel,[kernel.kallsyms],__wrgsbase_inactive,17,0.00076
dpumesh-native,48,server,kernel,[kernel.kallsyms],enqueue_task_fair,17,0.00076
dpumesh-native,48,server,transport,libdpumesh.so.4,dpumesh_rx_free,16,0.00071
dpumesh-native,48,client,kernel,[kernel.kallsyms],psi_group_change,627,0.02612
dpumesh-native,48,client,vdso,[vdso],[unknown],514,0.02141
dpumesh-native,48,client,kernel,[kernel.kallsyms],restore_fpregs_from_fpstate,247,0.01029
dpumesh-native,48,client,kernel,[kernel.kallsyms],entry_SYSCALL_64,231,0.00962
dpumesh-native,48,client,app,bench_dpumesh,worker_fn,225,0.00937
dpumesh-native,48,client,kernel,[kernel.kallsyms],update_cfs_group,222,0.00925
dpumesh-native,48,client,kernel,[kernel.kallsyms],__switch_to,207,0.00862
dpumesh-native,48,client,kernel,[kernel.kallsyms],__calc_delta,202,0.00841
dpumesh-native,48,client,kernel,[kernel.kallsyms],native_queued_spin_lock_slowpath.part.0,180,0.0075
dpumesh-native,48,client,kernel,[kernel.kallsyms],__schedule,169,0.00704
dpumesh-native,48,client,kernel,[kernel.kallsyms],_raw_spin_lock_irq,153,0.00637
dpumesh-native,48,client,kernel,[kernel.kallsyms],save_fpregs_to_fpstate,141,0.00587
dpumesh-native,48,client,kernel,[kernel.kallsyms],native_sched_clock,132,0.0055
dpumesh-native,48,client,kernel,[kernel.kallsyms],update_load_avg,129,0.00537
dpumesh-native,48,client,app,bench_dpumesh,on_reply,126,0.00525
dpumesh-native,48,client,runtime,libc.so.6,epoll_pwait2,121,0.00504
dpumesh-native,48,client,kernel,[kernel.kallsyms],__update_load_avg_se,120,0.005
dpumesh-native,48,client,kernel,[kernel.kallsyms],pick_next_task_fair,116,0.00483
dpumesh-native,48,client,kernel,[kernel.kallsyms],timerqueue_add,115,0.00479
dpumesh-native,48,client,kernel,[kernel.kallsyms],update_curr,115,0.00479
dpumesh-native,48,client,kernel,[kernel.kallsyms],__update_load_avg_cfs_rq,114,0.00475
dpumesh-native,48,client,kernel,[kernel.kallsyms],__fget_files,111,0.00462
dpumesh-native,48,client,kernel,[kernel.kallsyms],arch_exit_to_user_mode_prepare.constprop.0,109,0.00454
dpumesh-native,48,client,kernel,[kernel.kallsyms],_raw_spin_lock_irqsave,109,0.00454
dpumesh-native,48,client,transport,libdpumesh.so.4,drain_rev_rings.part.0.constprop.0,104,0.00433
dpumesh-native,48,client,kernel,[kernel.kallsyms],update_min_vruntime,103,0.00429
dpumesh-native,48,client,kernel,[kernel.kallsyms],read_tsc,101,0.00421
dpumesh-native,48,client,kernel,[kernel.kallsyms],__rseq_handle_notify_resume,94,0.00392
dpumesh-native,48,client,transport,libdpumesh.so.4,dmesh_tx_qp_valid,94,0.00392
dpumesh-native,48,client,kernel,[kernel.kallsyms],exit_to_user_mode_loop,93,0.00387
dpumesh-native,48,client,kernel,[kernel.kallsyms],rb_erase,93,0.00387
dpumesh-native,48,client,kernel,[kernel.kallsyms],__put_user_nocheck_8,93,0.00387
dpumesh-native,48,client,kernel,[kernel.kallsyms],prepare_task_switch,90,0.00375
dpumesh-native,48,client,app,bench_dpumesh,bench_epoll_wait_until,89,0.00371
dpumesh-native,48,client,kernel,[kernel.kallsyms],reweight_entity,89,0.00371
dpumesh-native,48,client,kernel,[kernel.kallsyms],__get_user_8,88,0.00367
dpumesh-native,48,client,kernel,[kernel.kallsyms],ep_poll,84,0.0035
dpumesh-native,48,client,kernel,[kernel.kallsyms],__wrgsbase_inactive,79,0.00329
dpumesh-native,48,client,kernel,[kernel.kallsyms],fput_many,77,0.00321
dpumesh-native,48,client,kernel,[kernel.kallsyms],iterate_groups,71,0.00296
dpumesh-native,48,server,kernel,[kernel.kallsyms],entry_SYSCALL_64,92,0.00404
dpumesh-native,48,server,kernel,[kernel.kallsyms],psi_group_change,82,0.0036
dpumesh-native,48,server,transport,libdpumesh.so.4,dpumesh_publish_due_tails,75,0.00329
dpumesh-native,48,server,app,echo_dpumesh,reply_pump,73,0.0032
dpumesh-native,48,server,transport,libdpumesh.so.4,drain_rev_rings.part.0.constprop.0,68,0.00298
dpumesh-native,48,server,transport,libdpumesh.so.4,dmesh_tx_qp_valid,64,0.00281
dpumesh-native,48,server,kernel,[kernel.kallsyms],_raw_spin_lock_irq,59,0.00259
dpumesh-native,48,server,kernel,[kernel.kallsyms],__calc_delta,55,0.00241
dpumesh-native,48,server,kernel,[kernel.kallsyms],ep_item_poll.isra.0,41,0.0018
dpumesh-native,48,server,kernel,[kernel.kallsyms],_raw_spin_lock_irqsave,40,0.00175
dpumesh-native,48,server,transport,libdpumesh.so.4,dpumesh_tx_reserve,40,0.00175
dpumesh-native,48,server,app,echo_dpumesh,main,39,0.00171
dpumesh-native,48,server,kernel,[kernel.kallsyms],__fget_files,38,0.00167
dpumesh-native,48,server,kernel,[kernel.kallsyms],save_fpregs_to_fpstate,32,0.0014
dpumesh-native,48,server,kernel,[kernel.kallsyms],fput_many,28,0.00123
dpumesh-native,48,server,transport,libdpumesh.so.4,dpumesh_tx_commit,27,0.00118
dpumesh-native,48,server,kernel,[kernel.kallsyms],arch_exit_to_user_mode_prepare.constprop.0,27,0.00118
dpumesh-native,48,server,kernel,[kernel.kallsyms],__update_load_avg_cfs_rq,26,0.00114
dpumesh-native,48,server,transport,libdpumesh.so.4,[unknown],26,0.00114
dpumesh-native,48,server,kernel,[kernel.kallsyms],reweight_entity,24,0.00105
dpumesh-native,48,server,kernel,[kernel.kallsyms],mutex_lock,24,0.00105
dpumesh-native,48,server,app,echo_dpumesh,on_request,23,0.00101
dpumesh-native,48,server,kernel,[kernel.kallsyms],update_cfs_group,23,0.00101
dpumesh-native,48,server,kernel,[kernel.kallsyms],restore_fpregs_from_fpstate,22,0.00097
dpumesh-native,48,server,kernel,[kernel.kallsyms],__switch_to,22,0.00097
dpumesh-native,48,server,kernel,[kernel.kallsyms],__schedule,21,0.00092
dpumesh-native,48,server,kernel,[kernel.kallsyms],__update_load_avg_se,21,0.00092
dpumesh-native,48,server,transport,libdpumesh.so.4,dpumesh_enqueue,20,0.00088
dpumesh-native,48,server,kernel,[kernel.kallsyms],update_curr,20,0.00088
dpumesh-native,48,server,transport,libdpumesh.so.4,dmesh_tx_after_commit,19,0.00083
dpumesh-native,48,server,kernel,[kernel.kallsyms],x64_sys_call,18,0.00079
dpumesh-native,48,server,kernel,[kernel.kallsyms],native_sched_clock,18,0.00079
dpumesh-native,48,server,app,echo_dpumesh,[unknown],17,0.00075
dpumesh-native,48,server,kernel,[kernel.kallsyms],mutex_unlock,16,0.0007
dpumesh-native,48,server,kernel,[kernel.kallsyms],ep_poll,16,0.0007
dpumesh-native,48,server,kernel,[kernel.kallsyms],update_load_avg,16,0.0007
dpumesh-native,48,server,transport,libdpumesh.so.4,dpumesh_tx_next_send_upto.constprop.0,15,0.00066
dpumesh-native,48,server,driver,libdoca_common.so.3.1.0105,priv_doca_cq_poll_one,15,0.00066
dpumesh-native,48,server,kernel,[kernel.kallsyms],update_min_vruntime,15,0.00066
dpumesh-native,48,server,driver,libdoca_comch.so.3.1.0105,[unknown],15,0.00066
dpumesh-native,48,client,kernel,[kernel.kallsyms],psi_group_change,638,0.02631
dpumesh-native,48,client,vdso,[vdso],[unknown],568,0.02343
dpumesh-native,48,client,app,bench_dpumesh,worker_fn,270,0.01114
dpumesh-native,48,client,kernel,[kernel.kallsyms],entry_SYSCALL_64,255,0.01052
dpumesh-native,48,client,kernel,[kernel.kallsyms],restore_fpregs_from_fpstate,222,0.00916
dpumesh-native,48,client,kernel,[kernel.kallsyms],__calc_delta,215,0.00887
dpumesh-native,48,client,kernel,[kernel.kallsyms],update_cfs_group,207,0.00854
dpumesh-native,48,client,app,bench_dpumesh,on_reply,204,0.00841
dpumesh-native,48,client,kernel,[kernel.kallsyms],native_queued_spin_lock_slowpath.part.0,178,0.00734
dpumesh-native,48,client,kernel,[kernel.kallsyms],__schedule,177,0.0073
dpumesh-native,48,client,kernel,[kernel.kallsyms],__switch_to,165,0.00681
dpumesh-native,48,client,kernel,[kernel.kallsyms],save_fpregs_to_fpstate,160,0.0066
dpumesh-native,48,client,transport,libdpumesh.so.4,dmesh_tx_qp_valid,158,0.00652
dpumesh-native,48,client,kernel,[kernel.kallsyms],native_sched_clock,153,0.00631
dpumesh-native,48,client,kernel,[kernel.kallsyms],update_curr,152,0.00627
dpumesh-native,48,client,kernel,[kernel.kallsyms],update_load_avg,140,0.00577
dpumesh-native,48,client,kernel,[kernel.kallsyms],_raw_spin_lock_irq,135,0.00557
dpumesh-native,48,client,kernel,[kernel.kallsyms],pick_next_task_fair,131,0.0054
dpumesh-native,48,client,kernel,[kernel.kallsyms],__update_load_avg_se,129,0.00532
dpumesh-native,48,client,kernel,[kernel.kallsyms],__fget_files,128,0.00528
dpumesh-native,48,client,kernel,[kernel.kallsyms],_raw_spin_lock_irqsave,121,0.00499
