=== l7 sessions phaseA-before ===
WORKER       OPENED     CLOSED   ACTIVE  PENDING    TASKS   ORPHANED
0                 0          0        0        0        0          0
1                 3          3        0        0        0          0
2                 3          3        0        0        0          0
3                 3          3        0        0        0          0
4                 3          3        0        0        0          0
5                 0          0        0        0        0          0
6                 0          0        0        0        0          0
7                 0          0        0        0        0          0
=== l7 sessions phaseA-after ===
WORKER       OPENED     CLOSED   ACTIVE  PENDING    TASKS   ORPHANED
0                 6          6        0        0        0          0
1                 9          9        0        0        0          0
2                 9          9        0        0        0          0
3                 9          9        0        0        0          0
4                 9          9        0        0        0          0
5                 9          9        0        0        0          0
6                 9          9        0        0        0          0
7                 6          6        0        0        0          0
=== l7 sessions phaseB-dpumesh ===
WORKER       OPENED     CLOSED   ACTIVE  PENDING    TASKS   ORPHANED
0                11         11        0        0        0          0
1                14         14        0        0        0          0
2                14         14        0        0        0          0
3                14         14        0        0        0          0
4                14         14        0        0        0          0
5                14         14        0        0        0          0
6                13         13        0        0        0          0
7                11         11        0        0        0          0
=== l7 sessions phaseB-preload ===
WORKER       OPENED     CLOSED   ACTIVE  PENDING    TASKS   ORPHANED
0                16         16        0        0        0          0
1                19         19        0        0        0          0
2                19         19        0        0        0          0
3                19         19        0        0        0          0
4                19         19        0        0        0          0
5                19         19        0        0        0          0
6                17         17        0        0        0          0
7                16         16        0        0        0          0
=== l7 sessions phaseB-grpc-dpumesh ===
WORKER       OPENED     CLOSED   ACTIVE  PENDING    TASKS   ORPHANED
0                21         21        0        0        0          0
1                24         24        0        0        0          0
2                24         24        0        0        0          0
3                24         24        0        0        0          0
4                24         24        0        0        0          0
5                24         24        0        0        0          0
6                21         21        0        0        0          0
7                21         21        0        0        0          0
=== l7 sessions phaseC ===
WORKER       OPENED     CLOSED   ACTIVE  PENDING    TASKS   ORPHANED
0                25         25        0        0        0          0
1                28         28        0        0        0          0
2                28         28        0        0        0          0
3                28         28        0        0        0          0
4                27         27        0        0        0          0
5                27         27        0        0        0          0
6                25         25        0        0        0          0
7                25         25        0        0        0          0
