phase,arm,rep,req,reply,conc,threads,mrps,gbps,p50,p95,p99,p999,avg,rcnt,fail,drops,overflow,worker_fail,reorder,dist
A-lat,dpumesh,1,64,8,1,1,0.002853,0.0024,346.00,603.00,687.00,810.00,350.26,27421,0,0,0,0,0,0:28421
A-lat,preload,1,64,8,1,1,0.004461,0.0037,150.00,469.00,570.00,711.00,222.42,43402,0,0,0,0,0,
A-lat,grpc-dpumesh,1,64,8,1,1,0.000797,0.0007,1244.00,1442.00,1514.00,2337.00,1253.71,7228,0,0,0,0,0,NA
A-lat,dpumesh,1,1024,8,1,1,0.002863,0.0244,338.00,603.00,697.00,840.00,349.06,27536,0,0,0,0,0,0:28536
A-lat,preload,1,1024,8,1,1,0.004478,0.0381,154.00,468.00,569.00,680.00,221.54,43644,0,0,0,0,0,
A-lat,grpc-dpumesh,1,1024,8,1,1,0.000775,0.0066,1284.00,1481.00,1547.00,1709.00,1290.35,6995,0,0,0,0,0,NA
A-lat,dpumesh,1,8192,8,1,1,0.000996,0.0656,1003.00,1177.00,1279.00,1463.00,1003.28,8904,0,0,0,0,0,2:9904
A-lat,preload,1,8192,8,1,1,0.001141,0.0751,909.00,1043.00,1105.00,1392.00,875.36,10294,0,0,0,0,0,
A-lat,grpc-dpumesh,1,8192,8,1,1,0.000800,0.0527,1258.00,1513.00,1587.00,2331.00,1249.82,7219,0,0,0,0,0,NA
A-tput,dpumesh,1,64,8,32,1,0.034619,0.0288,1031.00,1286.00,1398.00,5437.00,920.96,344261,0,0,0,0,0,1:345261
A-tput,preload,1,64,8,32,1,0.077112,0.0642,436.00,456.00,468.00,647.00,413.59,768612,0,0,0,0,0,
A-tput,grpc-dpumesh,1,64,8,32,1,0.002242,0.0019,14267.00,14605.00,14885.00,15657.00,14274.82,22052,0,0,0,0,0,NA
A-tput,dpumesh,1,1024,8,32,1,0.045087,0.3838,705.00,1096.00,1263.00,1514.00,703.38,447475,0,0,0,0,0,1:448475
A-tput,preload,1,1024,8,32,1,0.087073,0.7412,334.00,505.00,522.00,548.00,366.09,867508,0,0,0,0,0,
A-tput,grpc-dpumesh,1,1024,8,32,1,0.002072,0.0176,15441.00,15811.00,16094.00,17750.00,15441.95,20349,0,0,0,0,0,NA
A-tput,dpumesh,1,8192,8,32,1,0.048370,3.1855,642.00,877.00,977.00,1205.00,655.32,479513,0,0,0,0,0,0:480513
A-tput,preload,1,8192,8,32,1,0.065908,4.3404,480.00,538.00,757.00,957.00,484.01,654824,0,0,0,0,0,
A-tput,grpc-dpumesh,1,8192,8,32,1,0.001879,0.1237,17050.00,18147.00,19127.00,19541.00,17043.67,18360,0,0,0,0,0,NA
A-lat,dpumesh,2,64,8,1,1,0.003106,0.0026,317.00,592.00,685.00,790.00,321.73,29963,0,0,0,0,0,2:30963
A-lat,preload,2,64,8,1,1,0.004899,0.0041,143.00,448.00,568.00,670.00,202.54,47615,0,0,0,0,0,
A-lat,grpc-dpumesh,2,64,8,1,1,0.000790,0.0007,1258.00,1459.00,1525.00,1997.00,1265.36,7163,0,0,0,0,0,NA
A-lat,dpumesh,2,1024,8,1,1,0.002915,0.0248,337.00,603.00,695.00,807.00,342.75,28055,0,0,0,0,0,2:29055
A-lat,preload,2,1024,8,1,1,0.004619,0.0393,151.00,456.00,567.00,681.00,214.78,45007,0,0,0,0,0,
A-lat,grpc-dpumesh,2,1024,8,1,1,0.000795,0.0068,1249.00,1453.00,1516.00,1933.00,1257.38,7208,0,0,0,0,0,NA
A-lat,dpumesh,2,8192,8,1,1,0.000996,0.0656,1003.00,1172.00,1268.00,2150.00,1003.39,8938,0,0,0,0,0,2:9938
A-lat,preload,2,8192,8,1,1,0.001140,0.0751,907.00,1043.00,1117.00,1422.00,875.44,10377,0,0,0,0,0,
A-lat,grpc-dpumesh,2,8192,8,1,1,0.000784,0.0516,1258.00,1504.00,1578.00,2631.00,1275.92,7076,0,0,0,0,0,NA
A-tput,dpumesh,2,64,8,32,1,0.034955,0.0291,1034.00,1278.00,1379.00,1554.00,912.14,347722,0,0,0,0,0,0:348722
A-tput,preload,2,64,8,32,1,0.076573,0.0637,439.00,457.00,470.00,649.00,416.52,762351,0,0,0,0,0,
A-tput,grpc-dpumesh,2,64,8,32,1,0.002121,0.0018,15071.00,15441.00,15763.00,17436.00,15075.48,20868,0,0,0,0,0,NA
A-tput,dpumesh,2,1024,8,32,1,0.043270,0.3683,730.00,1140.00,1280.00,1415.00,733.02,430631,0,0,0,0,0,1:431631
A-tput,preload,2,1024,8,32,1,0.086858,0.7393,334.00,506.00,524.00,594.00,366.98,862859,0,0,0,0,0,
A-tput,grpc-dpumesh,2,1024,8,32,1,0.002107,0.0179,15201.00,15576.00,16057.00,22351.00,15191.41,20690,0,0,0,0,0,NA
A-tput,dpumesh,2,8192,8,32,1,0.049898,3.2860,627.00,845.00,955.00,1135.00,635.33,496427,0,0,0,0,0,0:497427
A-tput,preload,2,8192,8,32,1,0.065366,4.3047,478.00,745.00,758.00,957.00,488.02,649098,0,0,0,0,0,
A-tput,grpc-dpumesh,2,8192,8,32,1,0.001902,0.1252,16810.00,17969.00,18953.00,23090.00,16829.37,18576,0,0,0,0,0,NA
A-lat,dpumesh,3,64,8,1,1,0.002925,0.0024,337.00,595.00,687.00,800.00,341.70,28104,0,0,0,0,0,1:29104
A-lat,preload,3,64,8,1,1,0.004637,0.0039,148.00,459.00,568.00,691.00,213.97,45073,0,0,0,0,0,
A-lat,grpc-dpumesh,3,64,8,1,1,0.000795,0.0007,1253.00,1479.00,1555.00,2906.00,1257.09,7171,0,0,0,0,0,NA
A-lat,dpumesh,3,1024,8,1,1,0.002900,0.0247,337.00,604.00,689.00,810.00,344.54,27829,0,0,0,0,0,2:28829
A-lat,preload,3,1024,8,1,1,0.004542,0.0387,150.00,466.00,571.00,691.00,218.47,44348,0,0,0,0,0,
A-lat,grpc-dpumesh,3,1024,8,1,1,0.000767,0.0065,1293.00,1499.00,1565.00,1735.00,1302.96,6914,0,0,0,0,0,NA
A-lat,dpumesh,3,8192,8,1,1,0.000996,0.0656,1003.00,1166.00,1262.00,1413.00,1003.58,8930,0,0,0,0,0,1:9930
A-lat,preload,3,8192,8,1,1,0.001170,0.0771,873.00,1033.00,1086.00,1286.00,853.30,10632,0,0,0,0,0,
A-lat,grpc-dpumesh,3,8192,8,1,1,0.000781,0.0514,1261.00,1514.00,1577.00,3060.00,1280.84,7057,0,0,0,0,0,NA
A-tput,dpumesh,3,64,8,32,1,0.033453,0.0278,1051.00,1278.00,1379.00,1506.00,952.94,332817,0,0,0,0,0,1:333817
A-tput,preload,3,64,8,32,1,0.076586,0.0637,439.00,456.00,468.00,600.00,416.45,763683,0,0,0,0,0,
A-tput,grpc-dpumesh,3,64,8,32,1,0.002194,0.0018,14574.00,14936.00,15225.00,16434.00,14581.94,21565,0,0,0,0,0,NA
A-tput,dpumesh,3,1024,8,32,1,0.045042,0.3834,718.00,1134.00,1273.00,1424.00,704.46,446968,0,0,0,0,0,1:447968
A-tput,preload,3,1024,8,32,1,0.089248,0.7597,324.00,490.00,507.00,545.00,357.14,889995,0,0,0,0,0,
A-tput,grpc-dpumesh,3,1024,8,32,1,0.002186,0.0186,14649.00,15073.00,15418.00,16725.00,14650.66,21496,0,0,0,0,0,NA
A-tput,dpumesh,3,8192,8,32,1,0.050256,3.3097,629.00,851.00,958.00,1127.00,630.55,499237,0,0,0,0,0,1:500237
A-tput,preload,3,8192,8,32,1,0.065079,4.2859,488.00,536.00,754.00,921.00,490.18,647123,0,0,0,0,0,
A-tput,grpc-dpumesh,3,8192,8,32,1,0.001818,0.1198,17575.00,18799.00,19791.00,21138.00,17595.81,17707,0,0,0,0,0,NA
B-scale,dpumesh,1,1024,8,32,1,0.039255,0.3341,829.00,1342.00,1535.00,1693.00,810.35,390323,0,0,0,0,0,2:391323
B-scale,dpumesh,1,1024,8,32,2,0.077168,0.6569,847.00,1379.00,1591.00,1774.00,826.21,768118,0,0,0,0,0,1:387225,2:382893
B-scale,dpumesh,1,1024,8,32,4,0.263705,2.2447,367.00,1061.00,1457.00,1869.00,482.83,2627196,0,0,0,0,0,0:462486,1:1453325,2:715385
B-scale,dpumesh,1,1024,8,32,6,0.300627,2.5589,573.00,1247.00,1530.00,1760.00,635.96,2993397,0,0,0,0,0,1:2011870,2:987527
B-scale,dpumesh,2,1024,8,32,1,0.038799,0.3303,836.00,1352.00,1547.00,1723.00,819.79,385004,0,0,0,0,0,1:386004
B-scale,dpumesh,2,1024,8,32,2,0.086113,0.7330,691.00,1452.00,1811.00,2075.00,740.19,857788,0,0,0,0,0,0:354014,1:505774
B-scale,dpumesh,2,1024,8,32,4,0.192361,1.6374,561.00,1386.00,1739.00,2055.00,662.72,1915221,0,0,0,0,0,0:773303,2:1145918
B-scale,dpumesh,2,1024,8,32,6,0.434135,3.6954,320.00,961.00,1343.00,1746.00,439.72,4325696,0,0,0,0,0,0:528185,1:2307279,2:1496232
B-scale,dpumesh,3,1024,8,32,1,0.037308,0.3176,831.00,1608.00,1919.00,2856.00,852.94,371434,0,0,0,0,0,0:372434
B-scale,dpumesh,3,1024,8,32,2,0.086727,0.7382,678.00,1453.00,1809.00,2100.00,735.00,862850,0,0,0,0,0,0:360965,1:503885
B-scale,dpumesh,3,1024,8,32,4,0.191979,1.6341,554.00,1402.00,1756.00,2076.00,664.02,1909611,0,0,0,0,0,0:768289,1:565080,2:580242
B-scale,dpumesh,3,1024,8,32,6,0.303217,2.5810,569.00,1235.00,1514.00,1723.00,630.53,3020586,0,0,0,0,0,1:2035316,2:991270
B-scale,preload,1,1024,8,32,1,0.026859,0.2286,1229.00,1994.00,2250.00,2488.00,1184.46,267186,0,0,0,0,0,
B-scale,preload,1,1024,8,32,2,0.055434,0.4719,1183.00,1952.00,2273.00,2559.00,1147.57,550605,0,0,0,0,0,
