arm,protocol,size,mode,rep,event,length,count
batch,grpc,1024,capacity,1,commit,13,1338
batch,grpc,1024,capacity,1,commit,17,117
batch,grpc,1024,capacity,1,commit,30,2
batch,grpc,1024,capacity,1,commit,1047,57
batch,grpc,1024,capacity,1,commit,1054,34
batch,grpc,1024,capacity,1,commit,1067,27661
batch,grpc,1024,capacity,1,commit,1090,13
batch,grpc,1024,capacity,1,commit,1094,28045
batch,grpc,1024,capacity,1,commit,2134,18362
batch,grpc,1024,capacity,1,commit,2157,17
batch,grpc,1024,capacity,1,commit,2188,16122
batch,grpc,1024,capacity,1,commit,3201,14700
batch,grpc,1024,capacity,1,commit,3224,15
batch,grpc,1024,capacity,1,commit,3282,13963
batch,grpc,1024,capacity,1,commit,4268,11158
batch,grpc,1024,capacity,1,commit,4291,3
batch,grpc,1024,capacity,1,commit,4376,11323
batch,grpc,1024,capacity,1,commit,5335,7671
batch,grpc,1024,capacity,1,commit,5358,4
batch,grpc,1024,capacity,1,commit,5470,7778
batch,grpc,1024,capacity,1,commit,6402,4173
batch,grpc,1024,capacity,1,commit,6425,4
batch,grpc,1024,capacity,1,commit,6564,4204
batch,grpc,1024,capacity,1,commit,7469,1341
batch,grpc,1024,capacity,1,commit,7482,34
batch,grpc,1024,capacity,1,commit,7658,2041
batch,grpc,1024,capacity,1,commit,7705,57
batch,grpc,64,capacity,1,commit,13,109
batch,grpc,64,capacity,1,commit,17,133
batch,grpc,64,capacity,1,commit,105,31610
batch,grpc,64,capacity,1,commit,128,33
batch,grpc,64,capacity,1,commit,131,31687
batch,grpc,64,capacity,1,commit,210,20149
batch,grpc,64,capacity,1,commit,233,15
batch,grpc,64,capacity,1,commit,262,17913
batch,grpc,64,capacity,1,commit,315,16546
batch,grpc,64,capacity,1,commit,338,2
batch,grpc,64,capacity,1,commit,393,15860
batch,grpc,64,capacity,1,commit,420,12509
batch,grpc,64,capacity,1,commit,443,8
batch,grpc,64,capacity,1,commit,524,12831
batch,grpc,64,capacity,1,commit,525,8886
batch,grpc,64,capacity,1,commit,548,6
batch,grpc,64,capacity,1,commit,630,5406
batch,grpc,64,capacity,1,commit,655,9140
batch,grpc,64,capacity,1,commit,735,2371
batch,grpc,64,capacity,1,commit,786,5335
batch,grpc,64,capacity,1,commit,840,223
batch,grpc,64,capacity,1,commit,917,3044
batch,grpc,64,capacity,1,commit,1048,193
batch,grpc,65536,capacity,1,commit,13,277383
batch,grpc,65536,capacity,1,commit,17,119
batch,grpc,65536,capacity,1,commit,26,12083
batch,grpc,65536,capacity,1,commit,27,12809
batch,grpc,65536,capacity,1,commit,30,32
batch,grpc,65536,capacity,1,commit,33,8715
batch,grpc,65536,capacity,1,commit,36,47
batch,grpc,65536,capacity,1,commit,43,1
batch,grpc,65536,capacity,1,commit,46,1858
batch,grpc,65536,capacity,1,commit,47,23769
batch,grpc,65536,capacity,1,commit,54,8149
batch,grpc,65536,capacity,1,commit,66,7101
batch,grpc,65536,capacity,1,commit,69,1
batch,grpc,65536,capacity,1,commit,74,1437
batch,grpc,65536,capacity,1,commit,79,513
batch,grpc,65536,capacity,1,commit,81,5026
batch,grpc,65536,capacity,1,commit,99,7594
batch,grpc,65536,capacity,1,commit,101,518
batch,grpc,65536,capacity,1,commit,108,2277
batch,grpc,65536,capacity,1,commit,112,91
batch,grpc,65536,capacity,1,commit,128,112
batch,grpc,65536,capacity,1,commit,132,2145
batch,grpc,65536,capacity,1,commit,135,607
batch,grpc,65536,capacity,1,commit,145,4
batch,grpc,65536,capacity,1,commit,155,14
batch,grpc,65536,capacity,1,commit,162,47
batch,grpc,65536,capacity,1,commit,165,106
batch,grpc,65536,capacity,1,commit,178,3
batch,grpc,65536,capacity,1,commit,182,3
batch,grpc,65536,capacity,1,commit,189,57
batch,grpc,65536,capacity,1,commit,195,1
batch,grpc,65536,capacity,1,commit,198,22
batch,grpc,65536,capacity,1,commit,209,7
batch,grpc,65536,capacity,1,commit,211,1
batch,grpc,65536,capacity,1,commit,216,21
batch,grpc,65536,capacity,1,commit,231,12
batch,grpc,65536,capacity,1,commit,236,4
