protocol,size,mode,direct_rps,direct_rps_min,direct_rps_max,batch_rps,batch_rps_min,batch_rps_max,rps_change_percent,direct_cpu_seconds,direct_cpu_seconds_min,direct_cpu_seconds_max,batch_cpu_seconds,batch_cpu_seconds_min,batch_cpu_seconds_max,cpu_seconds_change_percent,direct_cpu_us_per_scheduled_rpc,direct_cpu_us_per_scheduled_rpc_min,direct_cpu_us_per_scheduled_rpc_max,batch_cpu_us_per_scheduled_rpc,batch_cpu_us_per_scheduled_rpc_min,batch_cpu_us_per_scheduled_rpc_max,cpu_us_per_scheduled_rpc_change_percent,direct_p50_us,direct_p50_us_min,direct_p50_us_max,batch_p50_us,batch_p50_us_min,batch_p50_us_max,p50_us_change_percent,direct_p99_us,direct_p99_us_min,direct_p99_us_max,batch_p99_us,batch_p99_us_min,batch_p99_us_max,p99_us_change_percent,direct_dmesh_tx_budget_wait_total,direct_dmesh_tx_budget_wait_total_min,direct_dmesh_tx_budget_wait_total_max,batch_dmesh_tx_budget_wait_total,batch_dmesh_tx_budget_wait_total_min,batch_dmesh_tx_budget_wait_total_max,direct_dmesh_tx_retries_total,direct_dmesh_tx_retries_total_min,direct_dmesh_tx_retries_total_max,batch_dmesh_tx_retries_total,batch_dmesh_tx_retries_total_min,batch_dmesh_tx_retries_total_max,direct_dmesh_tx_accepted_bytes_total,direct_dmesh_tx_accepted_bytes_total_min,direct_dmesh_tx_accepted_bytes_total_max,batch_dmesh_tx_accepted_bytes_total,batch_dmesh_tx_accepted_bytes_total_min,batch_dmesh_tx_accepted_bytes_total_max,dmesh_tx_accepted_bytes_total_change_percent,direct_dmesh_tx_arena_copy_bytes_total,direct_dmesh_tx_arena_copy_bytes_total_min,direct_dmesh_tx_arena_copy_bytes_total_max,batch_dmesh_tx_arena_copy_bytes_total,batch_dmesh_tx_arena_copy_bytes_total_min,batch_dmesh_tx_arena_copy_bytes_total_max,dmesh_tx_arena_copy_bytes_total_change_percent,batch_dmesh_tx_publications_total,batch_dmesh_tx_publications_total_min,batch_dmesh_tx_publications_total_max,batch_dmesh_tx_reserve_attempts_total,batch_dmesh_tx_reserve_attempts_total_min,batch_dmesh_tx_reserve_attempts_total_max,batch_bytes_per_publication,dmesh_tx_budget_wait_total_change_percent
grpc,64,capacity,36134.0,35482.0,36924.0,36163.0,35937.0,36275.0,0.08025682182986049,53.3,52.81,53.51,52.85,52.52,53.03,-0.8442776735459567,178.0929023462821,174.73737146141312,179.4128738334426,176.30313935064586,175.93911873976325,176.7590071096919,-1.0049603168105103,1785.0,1767.0,1810.0,1777.0,1772.0,1787.0,-0.4481792717086819,2676.0,2578.0,2717.0,2699.0,2628.0,3224.0,0.8594917787742906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70639163.0,69474811.0,72279348.0,70811748.0,70312397.0,70899939.0,0.2443191463069816,70639163.0,69474811.0,72279348.0,70811748.0,70312397.0,70899939.0,0.2443191463069816,219776.0,218687.0,220693.0,219776.0,218687.0,220693.0,321.52069853260593,
grpc,64,matched,19999.0,19999.0,20000.0,20000.0,19999.0,20000.0,0.0050002500125101434,52.6,52.56,52.72,52.35,52.3,52.56,-0.47528517110265733,328.7520547003419,328.5020531378321,329.50205938787116,327.1895449346558,326.87908598857484,328.5020531378321,-0.47528517110266844,968.0,966.0,972.0,970.0,955.0,970.0,0.20661157024792765,1968.0,1940.0,1998.0,2038.0,1917.0,2231.0,3.556910569105698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37768223.0,37768073.0,37768291.0,37768148.0,37768130.0,37768238.0,-0.0001985796366454906,37768223.0,37768073.0,37768291.0,37768148.0,37768130.0,37768238.0,-0.0001985796366454906,261569.0,261183.0,263934.0,261569.0,261183.0,263934.0,144.3907649606796,
grpc,1024,capacity,34104.0,33524.0,34188.0,34632.0,34245.0,35046.0,1.5482054890921804,53.85,53.01,54.0,52.78,52.23,53.35,-1.9870009285051116,190.5525340503467,189.90087068755753,190.82822985613672,183.64776372834885,183.59137068938819,183.81718935317326,-3.6235520857327064,1868.0,1864.0,1875.0,1831.0,1830.0,1838.0,-1.9807280513918668,3752.0,3223.0,5344.0,4443.0,3216.0,5167.0,18.41684434968016,46021.0,45690.0,48015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611531288.0,601185272.0,612811586.0,621077976.0,614045579.0,627984459.0,1.5611119475541946,611531288.0,601185272.0,612811586.0,621077976.0,614045579.0,627984459.0,1.5611119475541946,216231.0,213487.0,218207.0,216231.0,213487.0,218207.0,2876.2668406038774,-100.0
grpc,1024,matched,20000.0,19999.0,20000.0,19999.0,19999.0,20000.0,-0.004999999999999449,53.2,53.16,53.35,52.97,52.74,53.03,-0.4323308270676729,332.50207813798835,332.2520765754786,333.4375,331.0645691535572,329.6270601691261,331.4395714973219,-0.4323308270676618,1022.0,1019.0,1026.0,991.0,987.0,1003.0,-3.033268101761255,2006.0,2000.0,2086.0,2019.0,2008.0,2095.0,0.6480558325024921,200.0,176.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345776776.0,345774651.0,345776812.0,345775683.0,345774675.0,345775761.0,-0.0003160998875206822,345776776.0,345774651.0,345776812.0,345775683.0,345774675.0,345775761.0,-0.0003160998875206822,257753.0,257562.0,257843.0,257753.0,257562.0,257843.0,1341.4962192486605,-100.0
grpc,8192,capacity,22436.0,22196.0,22499.0,21949.0,21698.0,22071.0,-2.170618648600464,57.31,56.95,57.74,54.78,54.41,54.85,-4.414587332053744,309.0238211514461,308.1315325390339,309.1618789588944,300.7081297688972,299.4208104286876,302.0210598768824,-2.6909548110446657,2788.0,2784.0,2796.0,2885.0,2867.0,2900.0,3.47919655667146,5636.0,5464.0,6648.0,4240.0,4132.0,4844.0,-24.7693399574166,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3068430566.0,3040302391.0,3081092936.0,3005204086.0,2971969639.0,3022154814.0,-2.0605478481601103,3068430566.0,3040302391.0,3081092936.0,3005204086.0,2971969639.0,3022154814.0,-2.0605478481601103,433336.0,428864.0,433660.0,433336.0,428864.0,433660.0,6935.043675115846,0.0
grpc,8192,matched,9999.0,9999.0,9999.0,9999.0,9999.0,10000.0,0.0,44.16,44.11,44.18,43.59,43.52,43.79,-1.2907608695651995,552.0,551.375,552.25,544.875,544.0,547.3886847171179,-1.2907608695652217,1709.0,1696.0,1713.0,1694.0,1670.0,1698.0,-0.8777062609713338,2295.0,2242.0,2416.0,2260.0,2224.0,2286.0,-1.525054466230935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319783173.0,1319774913.0,1319799608.0,1319766746.0,1319750149.0,1319791263.0,-0.0012446741507243786,1319783173.0,1319774913.0,1319799608.0,1319766746.0,1319750149.0,1319791263.0,-0.0012446741507243786,317727.0,317452.0,318593.0,317727.0,317452.0,318593.0,4153.7758704800035,
grpc,65536,capacity,12505.0,12433.0,12506.0,12905.0,12887.0,12993.0,3.1987205117952833,64.17,64.08,64.28,64.24,64.22,64.44,0.10908524232506878,619.0728860161112,618.8683604994849,620.8700707295804,599.5033699893579,597.5519287833828,600.2616333395626,-3.1611004889404826,5038.0,5030.0,5078.0,4866.0,4836.0,4887.0,-3.4140531957125853,8009.0,7987.0,8074.0,7610.0,7579.0,8036.0,-4.98189536771132,9.0,9.0,9.0,9.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13610824097.0,13552108246.0,13638795720.0,14065172949.0,14052067997.0,14158964844.0,3.3381435889700883,13610824097.0,13552108246.0,13638795720.0,14065172949.0,14052067997.0,14158964844.0,3.3381435889700883,1451044.0,1448910.0,1459754.0,1451044.0,1448910.0,1459754.0,9698.371877480313,0.0
grpc,65536,matched,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,0.0,16.23,16.15,16.26,15.88,15.84,15.93,-2.156500308071474,1014.375,1009.3749999999999,1016.2500000000001,992.5,990.0,995.625,-2.156500308071474,1449.0,1414.0,1474.0,1446.0,1427.0,1457.0,-0.20703933747412417,2587.0,2480.0,2693.0,2608.0,2534.0,2643.0,0.8117510630073488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100719707.0,2100717033.0,2100723680.0,2100715032.0,2100714352.0,2100721060.0,-0.0002225427782831524,2100719707.0,2100717033.0,2100723680.0,2100715032.0,2100714352.0,2100721060.0,-0.0002225427782831524,199740.0,199668.0,200642.0,199740.0,199668.0,200642.0,10517.247581856413,
opaque,64,capacity,133844.0,132829.0,140311.0,142393.0,140676.0,142593.0,6.387286691969751,25.52,25.24,26.87,25.62,25.28,25.66,0.39184952978057463,23.957360000570624,23.831577595673302,24.050876273697465,22.519770723770662,22.46116830061004,22.522127156103092,-6.000616415021187,446.0,432.0,448.0,423.0,422.0,425.0,-5.156950672645744,1112.0,1073.0,1121.0,1099.0,1077.0,1108.0,-1.1690647482014427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169773440.0,169455840.0,179452160.0,182026720.0,180079680.0,182291840.0,7.217430476757736,169773440.0,169455840.0,179452160.0,182026720.0,180079680.0,182291840.0,7.217430476757736,683241.0,675951.0,684237.0,683241.0,675951.0,684237.0,266.4162271259812,
opaque,64,matched,20000.0,19999.0,20000.0,19999.0,19999.0,20050.0,-0.004999999999999449,12.87,12.87,12.93,12.12,12.12,12.15,-5.82750582750583,80.4375,80.4375,80.8125,75.75,75.75,75.9375,-5.82750582750583,265.0,248.0,289.0,262.0,255.0,266.0,-1.132075471698113,487.0,478.0,494.0,485.0,484.0,500.0,-0.4106776180698102,26.0,24.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25600000.0,25600000.0,25600000.0,25600000.0,25600000.0,25600000.0,0.0,25600000.0,25600000.0,25600000.0,25600000.0,25600000.0,25600000.0,0.0,319224.0,317905.0,319310.0,319224.0,317905.0,319310.0,80.19447159361451,-100.0
