EVENT=commit
# event histogram
#
# trigger info: hist:keys=len,common_pid:vals=hitcount:sort=hitcount:size=4096 [paused]
#

{ len:        264, common_pid:    3361196 } hitcount:          1
{ len:      16011, common_pid:    3361202 } hitcount:          1
{ len:      16656, common_pid:    3361198 } hitcount:          1
{ len:      16094, common_pid:    3361198 } hitcount:          1
{ len:      16634, common_pid:    3361206 } hitcount:          1
{ len:      16081, common_pid:    3361200 } hitcount:          1
{ len:      16726, common_pid:    3361202 } hitcount:          1
{ len:      16713, common_pid:    3361200 } hitcount:          1
{ len:      16206, common_pid:    3361196 } hitcount:          1
{ len:      16094, common_pid:    3361200 } hitcount:          1
{ len:      16634, common_pid:    3361202 } hitcount:          1
{ len:      16610, common_pid:    3361196 } hitcount:          1
{ len:        182, common_pid:    3361206 } hitcount:          1
{ len:        178, common_pid:    3361196 } hitcount:          1
{ len:      16527, common_pid:    3361204 } hitcount:          1
{ len:      16557, common_pid:    3361206 } hitcount:          1
{ len:        307, common_pid:    3361196 } hitcount:          1
{ len:        155, common_pid:    3361202 } hitcount:          1
{ len:      16656, common_pid:    3361206 } hitcount:          1
{ len:      16623, common_pid:    3361200 } hitcount:          1
{ len:      16623, common_pid:    3361208 } hitcount:          1
{ len:      16623, common_pid:    3361202 } hitcount:          1
{ len:      16727, common_pid:    3361196 } hitcount:          1
{ len:      16520, common_pid:    3361204 } hitcount:          1
{ len:      16746, common_pid:    3361204 } hitcount:          1
{ len:        178, common_pid:    3361206 } hitcount:          1
{ len:      16253, common_pid:    3361206 } hitcount:          1
{ len:        195, common_pid:    3361196 } hitcount:          1
{ len:      16623, common_pid:    3361206 } hitcount:          1
{ len:         69, common_pid:    3361196 } hitcount:          1
{ len:      16747, common_pid:    3361200 } hitcount:          1
{ len:      16700, common_pid:    3361198 } hitcount:          1
{ len:      16590, common_pid:    3361196 } hitcount:          1
{ len:      16547, common_pid:    3361208 } hitcount:          1
{ len:      16520, common_pid:    3361200 } hitcount:          1
{ len:      16520, common_pid:    3361196 } hitcount:          1
{ len:      16726, common_pid:    3361204 } hitcount:          1
{ len:        242, common_pid:    3361202 } hitcount:          1
{ len:        182, common_pid:    3361196 } hitcount:          1
{ len:      16574, common_pid:    3361204 } hitcount:          1
{ len:      16626, common_pid:    3361204 } hitcount:          1
{ len:        231, common_pid:    3361206 } hitcount:          1
{ len:      16520, common_pid:    3361198 } hitcount:          1
{ len:      16537, common_pid:    3361204 } hitcount:          1
{ len:      16608, common_pid:    3361208 } hitcount:          1
{ len:        417, common_pid:    3361202 } hitcount:          1
{ len:      16094, common_pid:    3361206 } hitcount:          1
{ len:         43, common_pid:    3361200 } hitcount:          1
{ len:        231, common_pid:    3361208 } hitcount:          1
{ len:        145, common_pid:    3361202 } hitcount:          1
{ len:      16184, common_pid:    3361196 } hitcount:          1
{ len:      16554, common_pid:    3361200 } hitcount:          1
{ len:      16570, common_pid:    3361196 } hitcount:          1
{ len:      16747, common_pid:    3361196 } hitcount:          1
{ len:      16713, common_pid:    3361204 } hitcount:          1
{ len:      16081, common_pid:    3361202 } hitcount:          1
{ len:        211, common_pid:    3361204 } hitcount:          1
{ len:      16401, common_pid:    3361204 } hitcount:          1
{ len:      16590, common_pid:    3361200 } hitcount:          1
{ len:        231, common_pid:    3361198 } hitcount:          1
{ len:      16527, common_pid:    3361196 } hitcount:          1
{ len:        437, common_pid:    3361196 } hitcount:          1
{ len:      16011, common_pid:    3361196 } hitcount:          1
{ len:      16520, common_pid:    3361208 } hitcount:          1
{ len:        236, common_pid:    3361200 } hitcount:          1
{ len:        216, common_pid:    3361208 } hitcount:          1
{ len:      16608, common_pid:    3361202 } hitcount:          1
{ len:      16557, common_pid:    3361196 } hitcount:          1
{ len:      16504, common_pid:    3361198 } hitcount:          1
{ len:        178, common_pid:    3361208 } hitcount:          1
{ len:      16471, common_pid:    3361200 } hitcount:          1
{ len:        209, common_pid:    3361208 } hitcount:          1
{ len:      16504, common_pid:    3361202 } hitcount:          1
{ len:      16727, common_pid:    3361206 } hitcount:          1
{ len:        182, common_pid:    3361198 } hitcount:          1
{ len:      16214, common_pid:    3361204 } hitcount:          1
{ len:      16504, common_pid:    3361208 } hitcount:          1
{ len:      16557, common_pid:    3361202 } hitcount:          1
{ len:      16557, common_pid:    3361208 } hitcount:          2
{ len:      16581, common_pid:    3361204 } hitcount:          2
{ len:      16271, common_pid:    3361196 } hitcount:          2
{ len:        198, common_pid:    3361200 } hitcount:          2
{ len:        264, common_pid:    3361200 } hitcount:          2
{ len:        198, common_pid:    3361204 } hitcount:          2
{ len:        242, common_pid:    3361204 } hitcount:          2
{ len:      16094, common_pid:    3361196 } hitcount:          2
{ len:      16428, common_pid:    3361198 } hitcount:          2
{ len:      16428, common_pid:    3361206 } hitcount:          2
{ len:      16726, common_pid:    3361208 } hitcount:          2
{ len:      16500, common_pid:    3361204 } hitcount:          2
{ len:        231, common_pid:    3361204 } hitcount:          2
{ len:        209, common_pid:    3361202 } hitcount:          2
{ len:      16554, common_pid:    3361202 } hitcount:          2
{ len:      16206, common_pid:    3361204 } hitcount:          2
{ len:      16206, common_pid:    3361202 } hitcount:          2
{ len:        198, common_pid:    3361206 } hitcount:          2
{ len:        264, common_pid:    3361204 } hitcount:          2
{ len:        155, common_pid:    3361200 } hitcount:          2
{ len:        216, common_pid:    3361202 } hitcount:          2
{ len:      16557, common_pid:    3361200 } hitcount:          2
{ len:      16608, common_pid:    3361206 } hitcount:          2
{ len:      16557, common_pid:    3361204 } hitcount:          2
{ len:      16471, common_pid:    3361206 } hitcount:          2
{ len:      16500, common_pid:    3361196 } hitcount:          2
{ len:      16554, common_pid:    3361204 } hitcount:          2
{ len:      16581, common_pid:    3361198 } hitcount:          2
{ len:        216, common_pid:    3361204 } hitcount:          2
{ len:      16581, common_pid:    3361200 } hitcount:          2
{ len:      16428, common_pid:    3361208 } hitcount:          2
{ len:      16656, common_pid:    3361204 } hitcount:          3
{ len:      16656, common_pid:    3361200 } hitcount:          3
{ len:        145, common_pid:    3361196 } hitcount:          3
{ len:      16428, common_pid:    3361202 } hitcount:          3
{ len:      16581, common_pid:    3361208 } hitcount:          3
{ len:        198, common_pid:    3361202 } hitcount:          3
{ len:      16581, common_pid:    3361206 } hitcount:          3
{ len:        264, common_pid:    3361206 } hitcount:          3
{ len:      16713, common_pid:    3361208 } hitcount:          3
{ len:      16590, common_pid:    3361206 } hitcount:          3
{ len:      16623, common_pid:    3361196 } hitcount:          3
{ len:      16524, common_pid:    3361200 } hitcount:          3
{ len:        216, common_pid:    3361200 } hitcount:          3
{ len:      16081, common_pid:    3361204 } hitcount:          3
{ len:      16590, common_pid:    3361202 } hitcount:          3
{ len:        198, common_pid:    3361208 } hitcount:          3
{ len:      16590, common_pid:    3361198 } hitcount:          3
{ len:        198, common_pid:    3361198 } hitcount:          3
{ len:        216, common_pid:    3361206 } hitcount:          3
{ len:      16581, common_pid:    3361202 } hitcount:          3
{ len:      16557, common_pid:    3361198 } hitcount:          3
{ len:      16500, common_pid:    3361198 } hitcount:          3
{ len:        155, common_pid:    3361206 } hitcount:          3
{ len:      16473, common_pid:    3361196 } hitcount:          3
