EVENT=commit
# event histogram
#
# trigger info: hist:keys=len,common_pid:vals=hitcount:sort=hitcount:size=4096 [paused]
#

{ len:        129, common_pid:    3350414 } hitcount:          1
{ len:        233, common_pid:    3350406 } hitcount:          1
{ len:        233, common_pid:    3350402 } hitcount:          1
{ len:        234, common_pid:    3350408 } hitcount:          1
{ len:        653, common_pid:    3350406 } hitcount:          1
{ len:        548, common_pid:    3350408 } hitcount:          1
{ len:        758, common_pid:    3350402 } hitcount:          1
{ len:        339, common_pid:    3350412 } hitcount:          1
{ len:        234, common_pid:    3350402 } hitcount:          1
{ len:        129, common_pid:    3350402 } hitcount:          1
{ len:        443, common_pid:    3350410 } hitcount:          1
{ len:        338, common_pid:    3350412 } hitcount:          1
{ len:         30, common_pid:    3350412 } hitcount:          1
{ len:        128, common_pid:    3350402 } hitcount:          1
{ len:        653, common_pid:    3350402 } hitcount:          1
{ len:        129, common_pid:    3350404 } hitcount:          1
{ len:        549, common_pid:    3350400 } hitcount:          1
{ len:        233, common_pid:    3350412 } hitcount:          1
{ len:        338, common_pid:    3350400 } hitcount:          1
{ len:        128, common_pid:    3350406 } hitcount:          1
{ len:        443, common_pid:    3350408 } hitcount:          1
{ len:        653, common_pid:    3350414 } hitcount:          1
{ len:        338, common_pid:    3350408 } hitcount:          1
{ len:        129, common_pid:    3350410 } hitcount:          1
{ len:        233, common_pid:    3350410 } hitcount:          1
{ len:        443, common_pid:    3350412 } hitcount:          1
{ len:        339, common_pid:    3350402 } hitcount:          1
{ len:        548, common_pid:    3350402 } hitcount:          1
{ len:        653, common_pid:    3350410 } hitcount:          1
{ len:        234, common_pid:    3350406 } hitcount:          1
{ len:        840, common_pid:    3350412 } hitcount:          2
{ len:        234, common_pid:    3350410 } hitcount:          2
{ len:        840, common_pid:    3350410 } hitcount:          2
{ len:        233, common_pid:    3350400 } hitcount:          2
{ len:        129, common_pid:    3350412 } hitcount:          2
{ len:        129, common_pid:    3350408 } hitcount:          2
{ len:        128, common_pid:    3350414 } hitcount:          2
{ len:        338, common_pid:    3350410 } hitcount:          2
{ len:        233, common_pid:    3350414 } hitcount:          2
{ len:        128, common_pid:    3350404 } hitcount:          2
{ len:        128, common_pid:    3350408 } hitcount:          2
{ len:        128, common_pid:    3350412 } hitcount:          2
{ len:        129, common_pid:    3350406 } hitcount:          2
{ len:        128, common_pid:    3350400 } hitcount:          2
{ len:        339, common_pid:    3350414 } hitcount:          2
{ len:        443, common_pid:    3350406 } hitcount:          2
{ len:        840, common_pid:    3350406 } hitcount:          2
{ len:        129, common_pid:    3350400 } hitcount:          2
{ len:        339, common_pid:    3350404 } hitcount:          2
{ len:       1048, common_pid:    3350412 } hitcount:          3
{ len:        233, common_pid:    3350404 } hitcount:          3
{ len:       1048, common_pid:    3350400 } hitcount:          4
{ len:        840, common_pid:    3350404 } hitcount:          5
{ len:        840, common_pid:    3350408 } hitcount:          5
{ len:       1048, common_pid:    3350408 } hitcount:          6
{ len:        840, common_pid:    3350402 } hitcount:          6
{ len:        840, common_pid:    3350400 } hitcount:          6
{ len:        840, common_pid:    3350414 } hitcount:          7
{ len:       1048, common_pid:    3350402 } hitcount:          8
{ len:       1048, common_pid:    3350410 } hitcount:          9
{ len:       1048, common_pid:    3350404 } hitcount:          9
{ len:       1048, common_pid:    3350406 } hitcount:         11
{ len:         13, common_pid:    3350412 } hitcount:         11
{ len:         13, common_pid:    3350406 } hitcount:         12
{ len:         13, common_pid:    3350402 } hitcount:         13
{ len:       1048, common_pid:    3350414 } hitcount:         13
{ len:         13, common_pid:    3350404 } hitcount:         13
{ len:         13, common_pid:    3350414 } hitcount:         14
{ len:         13, common_pid:    3350410 } hitcount:         14
{ len:         13, common_pid:    3350408 } hitcount:         14
{ len:         13, common_pid:    3350400 } hitcount:         14
{ len:         17, common_pid:    3350400 } hitcount:         16
{ len:         17, common_pid:    3350402 } hitcount:         17
{ len:         17, common_pid:    3350414 } hitcount:         17
{ len:         17, common_pid:    3350410 } hitcount:         17
{ len:         17, common_pid:    3350412 } hitcount:         17
{ len:         17, common_pid:    3350406 } hitcount:         18
