arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_tx_publications_total,dmesh_tx_retries_total,dmesh_tx_budget_wait_total,dmesh_tx_errors_total,dmesh_worker_local_completions_total,dmesh_worker_drain_calls_total,dmesh_worker_drain_pending_total,dmesh_worker_cross_in_total,dmesh_worker_pe_progressed_total,dmesh_worker_cross_out_total,dmesh_worker_arms_total,dmesh_tx_arena_copy_bytes_total,dmesh_tx_accepted_bytes_total,dmesh_worker_maintenances_total,dmesh_tx_writer_wakes_total,dmesh_worker_data_progressed_total,dmesh_worker_drain_idle_total,dmesh_worker_notification_clears_total,dmesh_worker_drain_progressed_total,dmesh_tx_reserve_attempts_total
batch,grpc,1024,capacity,clean,1,True,8.537074915017001,53.35,290591,35046.0,1830.0,3216.0,183.59137068938819,218207.0,0.0,0.0,0.0,216343.0,2243625.0,80781.0,0.0,216343.0,0.0,457997.0,627984459.0,627984459.0,65398.0,0.0,1462254.0,700590.0,457997.0,1462254.0,218207.0
batch,grpc,1024,capacity,clean,2,True,8.548169195069931,52.78,287398,34632.0,1831.0,4443.0,183.64776372834885,216231.0,0.0,0.0,0.0,214395.0,2227863.0,80881.0,0.0,214395.0,0.0,457561.0,621077976.0,621077976.0,68268.0,0.0,1447406.0,699576.0,457561.0,1447406.0,216231.0
batch,grpc,1024,capacity,clean,3,True,8.547006106004119,52.23,284141,34245.0,1838.0,5167.0,183.81718935317326,213487.0,0.0,0.0,0.0,211676.0,2195289.0,78019.0,0.0,211676.0,0.0,448438.0,614045579.0,614045579.0,64818.0,0.0,1430124.0,687146.0,448438.0,1430124.0,213487.0
batch,grpc,1024,capacity,trace,1,True,12.541409655939788,70.37,350039,28456.0,1957.0,4432.0,201.03474184305176,263244.0,0.0,0.0,0.0,261030.0,2698632.0,106983.0,0.0,261030.0,0.0,553398.0,756459209.0,756459209.0,90698.0,0.0,1758975.0,832674.0,553398.0,1758975.0,263244.0
batch,grpc,1024,matched,clean,1,True,8.507520038983785,52.74,159999,19999.0,1003.0,2019.0,329.6270601691261,257753.0,0.0,0.0,0.0,256689.0,2521193.0,88812.0,0.0,256689.0,0.0,494735.0,345774675.0,345774675.0,65803.0,0.0,1678306.0,754075.0,494735.0,1678306.0,257753.0
batch,grpc,1024,matched,clean,2,True,8.525154390954413,53.03,159999,19999.0,987.0,2008.0,331.4395714973219,257843.0,0.0,0.0,0.0,256780.0,2522256.0,89256.0,0.0,256780.0,0.0,495134.0,345775683.0,345775683.0,65565.0,0.0,1675750.0,757250.0,495134.0,1675750.0,257843.0
batch,grpc,1024,matched,clean,3,True,8.481729059945792,52.97,159999,20000.0,991.0,2095.0,331.0645691535572,257562.0,0.0,0.0,0.0,256492.0,2518537.0,88075.0,0.0,256492.0,0.0,493633.0,345775761.0,345775761.0,65338.0,0.0,1675005.0,755457.0,493633.0,1675005.0,257562.0
batch,grpc,64,capacity,clean,1,True,8.482775148935616,52.52,297896,35937.0,1777.0,3224.0,176.30313935064586,218687.0,0.0,0.0,0.0,218432.0,2274551.0,79444.0,0.0,218432.0,0.0,465171.0,70312397.0,70312397.0,65154.0,0.0,1476650.0,718457.0,465171.0,1476650.0,218687.0
batch,grpc,64,capacity,clean,2,True,8.537664316012524,52.85,300388,36275.0,1772.0,2699.0,175.93911873976325,219776.0,0.0,0.0,0.0,219511.0,2287132.0,79011.0,0.0,219511.0,0.0,468199.0,70899939.0,70899939.0,65776.0,0.0,1483333.0,724788.0,468199.0,1483333.0,219776.0
batch,grpc,64,capacity,clean,3,True,8.541066505014896,53.03,300013,36163.0,1787.0,2628.0,176.7590071096919,220693.0,0.0,0.0,0.0,220421.0,2289730.0,79022.0,0.0,220421.0,0.0,469049.0,70811748.0,70811748.0,66314.0,0.0,1484478.0,726230.0,469049.0,1484478.0,220693.0
