arm,protocol,size,mode,kind,reps,rps,rps_min,rps_max,p50_us,p50_us_min,p50_us_max,p99_us,p99_us_min,p99_us_max,cpu_seconds,cpu_seconds_min,cpu_seconds_max,cpu_us_per_scheduled_rpc,cpu_us_per_scheduled_rpc_min,cpu_us_per_scheduled_rpc_max,dmesh_tx_budget_wait_total,dmesh_tx_budget_wait_total_min,dmesh_tx_budget_wait_total_max,dmesh_tx_writer_wakes_total,dmesh_tx_writer_wakes_total_min,dmesh_tx_writer_wakes_total_max,dmesh_tx_publications_total,dmesh_tx_publications_total_min,dmesh_tx_publications_total_max,dmesh_tx_reserve_attempts_total,dmesh_tx_reserve_attempts_total_min,dmesh_tx_reserve_attempts_total_max,dmesh_tx_arena_copy_bytes_total,dmesh_tx_arena_copy_bytes_total_min,dmesh_tx_arena_copy_bytes_total_max,dmesh_tx_retries_total,dmesh_tx_retries_total_min,dmesh_tx_retries_total_max,dmesh_tx_accepted_bytes_total,dmesh_tx_accepted_bytes_total_min,dmesh_tx_accepted_bytes_total_max,dmesh_worker_drain_calls_total,dmesh_worker_drain_calls_total_min,dmesh_worker_drain_calls_total_max,dmesh_worker_arms_total,dmesh_worker_arms_total_min,dmesh_worker_arms_total_max
batch,grpc,64,capacity,clean,3,36163.0,35937.0,36275.0,1777.0,1772.0,1787.0,2699.0,2628.0,3224.0,52.85,52.52,53.03,176.30313935064586,175.93911873976325,176.7590071096919,0.0,0.0,0.0,0.0,0.0,0.0,219776.0,218687.0,220693.0,219776.0,218687.0,220693.0,70811748.0,70312397.0,70899939.0,0.0,0.0,0.0,70811748.0,70312397.0,70899939.0,2287132.0,2274551.0,2289730.0,468199.0,465171.0,469049.0
batch,grpc,64,capacity,trace,1,33595.0,33595.0,33595.0,1880.0,1880.0,1880.0,5517.0,5517.0,5517.0,78.42,78.42,78.42,189.82561798623146,189.82561798623146,189.82561798623146,0.0,0.0,0.0,0.0,0.0,0.0,301693.0,301693.0,301693.0,301693.0,301693.0,301693.0,97505849.0,97505849.0,97505849.0,0.0,0.0,0.0,97505849.0,97505849.0,97505849.0,3119521.0,3119521.0,3119521.0,638330.0,638330.0,638330.0
batch,grpc,64,matched,clean,3,20000.0,19999.0,20000.0,970.0,955.0,970.0,2038.0,1917.0,2231.0,52.35,52.3,52.56,327.1895449346558,326.87908598857484,328.5020531378321,0.0,0.0,0.0,0.0,0.0,0.0,261569.0,261183.0,263934.0,261569.0,261183.0,263934.0,37768148.0,37768130.0,37768238.0,0.0,0.0,0.0,37768148.0,37768130.0,37768238.0,2572557.0,2571362.0,2594435.0,507617.0,506841.0,511924.0
batch,grpc,1024,capacity,clean,3,34632.0,34245.0,35046.0,1831.0,1830.0,1838.0,4443.0,3216.0,5167.0,52.78,52.23,53.35,183.64776372834885,183.59137068938819,183.81718935317326,0.0,0.0,0.0,0.0,0.0,0.0,216231.0,213487.0,218207.0,216231.0,213487.0,218207.0,621077976.0,614045579.0,627984459.0,0.0,0.0,0.0,621077976.0,614045579.0,627984459.0,2227863.0,2195289.0,2243625.0,457561.0,448438.0,457997.0
batch,grpc,1024,capacity,trace,1,28456.0,28456.0,28456.0,1957.0,1957.0,1957.0,4432.0,4432.0,4432.0,70.37,70.37,70.37,201.03474184305176,201.03474184305176,201.03474184305176,0.0,0.0,0.0,0.0,0.0,0.0,263244.0,263244.0,263244.0,263244.0,263244.0,263244.0,756459209.0,756459209.0,756459209.0,0.0,0.0,0.0,756459209.0,756459209.0,756459209.0,2698632.0,2698632.0,2698632.0,553398.0,553398.0,553398.0
batch,grpc,1024,matched,clean,3,19999.0,19999.0,20000.0,991.0,987.0,1003.0,2019.0,2008.0,2095.0,52.97,52.74,53.03,331.0645691535572,329.6270601691261,331.4395714973219,0.0,0.0,0.0,0.0,0.0,0.0,257753.0,257562.0,257843.0,257753.0,257562.0,257843.0,345775683.0,345774675.0,345775761.0,0.0,0.0,0.0,345775683.0,345774675.0,345775761.0,2521193.0,2518537.0,2522256.0,494735.0,493633.0,495134.0
batch,grpc,8192,capacity,clean,3,21949.0,21698.0,22071.0,2885.0,2867.0,2900.0,4240.0,4132.0,4844.0,54.78,54.41,54.85,300.7081297688972,299.4208104286876,302.0210598768824,2.0,2.0,2.0,1.0,1.0,1.0,433336.0,428864.0,433660.0,433336.0,428864.0,433660.0,3005204086.0,2971969639.0,3022154814.0,0.0,0.0,0.0,3005204086.0,2971969639.0,3022154814.0,1339801.0,1332681.0,1351151.0,137128.0,133426.0,137795.0
batch,grpc,8192,capacity,trace,1,15741.000000000002,15741.000000000002,15741.000000000002,3529.0,3529.0,3529.0,5022.0,5022.0,5022.0,71.43,71.43,71.43,368.90135258664765,368.90135258664765,368.90135258664765,1.0,1.0,1.0,1.0,1.0,1.0,456081.0,456081.0,456081.0,456081.0,456081.0,456081.0,3194152055.0,3194152055.0,3194152055.0,0.0,0.0,0.0,3194152055.0,3194152055.0,3194152055.0,1415506.0,1415506.0,1415506.0,151769.0,151769.0,151769.0
batch,grpc,8192,matched,clean,3,9999.0,9999.0,10000.0,1694.0,1670.0,1698.0,2260.0,2224.0,2286.0,43.59,43.52,43.79,544.875,544.0,547.3886847171179,0.0,0.0,0.0,0.0,0.0,0.0,317727.0,317452.0,318593.0,317727.0,317452.0,318593.0,1319766746.0,1319750149.0,1319791263.0,0.0,0.0,0.0,1319766746.0,1319750149.0,1319791263.0,2952445.0,2947689.0,2969783.0,575998.0,573757.0,578537.0
batch,grpc,65536,capacity,clean,3,12905.0,12887.0,12993.0,4866.0,4836.0,4887.0,7610.0,7579.0,8036.0,64.24,64.22,64.44,599.5033699893579,597.5519287833828,600.2616333395626,9.0,8.0,9.0,8.0,8.0,8.0,1451044.0,1448910.0,1459754.0,1451044.0,1448910.0,1459754.0,14065172949.0,14052067997.0,14158964844.0,0.0,0.0,0.0,14065172949.0,14052067997.0,14158964844.0,2829239.0,2821151.0,2832018.0,112139.0,110958.0,115316.0
