arm,protocol,size,mode,rep,write_calls,vectored_calls,commits,zero_returns,terminal_returns,bytes,mean_commit_bytes,commits_per_mib,full_64k_commits,histogram_dropped
batch,grpc,1024,capacity,1,,,170237,0,0,489102708,2873.069356250404,364.96717272724646,0,0
batch,grpc,64,capacity,1,,,194009,0,0,63010199,324.77977310330965,3228.5754435404974,0,0
batch,grpc,65536,capacity,1,,,884078,0,0,8393945332,9494.57551483014,110.43948182434981,0,0
batch,grpc,8192,capacity,1,,,288304,0,0,2023278000,7017.863088961652,149.41528307232124,0,0
batch,opaque,1024,capacity,1,,,516681,0,0,1782816880,3450.5175920926063,303.88948092975204,0,0
batch,opaque,64,capacity,1,,,580601,0,0,154611040,266.2948220895245,3937.6507277617434,0,0
direct,grpc,1024,capacity,1,,,593844,0,0,537958468,905.8918975353797,1157.5067652694706,0,0
direct,grpc,64,capacity,1,,,193459,0,0,61825385,319.5787479517624,3281.119306964283,0,0
direct,grpc,65536,capacity,1,,,1032834,0,0,8831269082,8550.521266728245,122.63299128676691,0,0
direct,grpc,8192,capacity,1,,,750427,0,0,2452760034,3268.485854053759,320.813993641581,0,0
direct,opaque,1024,capacity,1,,,519370,0,0,1792459760,3451.219284902863,303.82769492130745,0,0
direct,opaque,64,capacity,1,,,535817,0,0,142617040,266.16744149588385,3939.5351817146116,0,0
