transport,conc,batch,reply_batch,rep,mrps,gbps,p50,p95,p99,avg,fail,reorder,rcnt,dist
dpumesh,1,0,0,1,0.008512,0.0697,114.00,116.00,199.00,117.37,0,0,84078,0:85078
dpumesh,1,1,0,1,0.008316,0.0681,114.00,116.00,286.00,120.12,0,0,82191,1:83191
direct,1,0,0,1,0.040300,0.3301,23.00,24.00,29.00,23.46,0,0,401960,
envoy,1,0,0,1,0.015763,0.1291,62.00,63.00,66.00,62.44,0,0,156662,
dpumesh,1,0,0,2,0.008512,0.0697,114.00,116.00,223.00,117.36,0,0,84040,2:85040
dpumesh,1,1,0,2,0.008478,0.0694,114.00,116.00,228.00,117.84,0,0,83679,0:84679
direct,1,0,0,2,0.038954,0.3191,24.00,25.00,29.00,24.28,0,0,388382,
envoy,1,0,0,2,0.015691,0.1285,62.00,63.00,66.00,62.73,0,0,155948,
dpumesh,1,0,0,3,0.008300,0.0680,114.00,116.00,283.00,120.37,0,0,81996,1:82996
dpumesh,1,1,0,3,0.008429,0.0691,114.00,116.00,228.00,118.51,0,0,83320,2:84320
direct,1,0,0,3,0.039816,0.3262,23.00,24.00,29.00,23.75,0,0,397156,
envoy,1,0,0,3,0.015755,0.1291,62.00,64.00,67.00,62.47,0,0,156617,
dpumesh,8,0,0,1,0.064935,0.5319,115.00,168.00,280.00,122.46,0,0,648293,0:649293
dpumesh,8,1,0,1,0.068611,0.5621,115.00,118.00,166.00,116.13,0,0,684468,1:685468
direct,8,0,0,1,0.308847,2.5301,25.00,26.00,28.00,24.32,0,0,3086552,
envoy,8,0,0,1,0.123257,1.0097,64.00,66.00,68.00,63.78,0,0,1231376,
dpumesh,8,0,0,2,0.065438,0.5361,114.00,168.00,174.00,121.51,0,0,653289,2:654289
dpumesh,8,1,0,2,0.066970,0.5486,115.00,123.00,226.00,119.00,0,0,667981,0:668981
direct,8,0,0,2,0.299415,2.4528,25.00,26.00,30.00,25.18,0,0,2992952,
