transport,frame_bytes,rep,offered_rps,achieved_rps,p50_us,p95_us,p99_us,p999_us,p9999_us,drops,fail,reorder
native,64,1,8550000,8554840,663,1070,6720,23207,52636,28899,0,0
native,64,2,8550000,8540098,676,1058,1929,36382,87680,96400,0,0
native,64,3,8550000,8541252,710,1054,1572,18610,92772,83610,0,0
native,1024,1,1110000,1109996,180,270,710,7797,15175,0,0,0
native,1024,2,1110000,1109989,179,264,544,3873,8890,0,0,0
native,1024,3,1110000,1109990,189,398,912,7736,19692,0,0,0
native,8192,1,170000,169860,171,475,3190,27757,71069,1406,0,0
native,8192,2,170000,169965,172,346,834,16606,30408,342,0,0
native,8192,3,170000,169809,163,250,691,25725,61736,1946,0,0
preload,64,1,5100000,5085030,368,535,611,1241,3020,151420,0,0
preload,64,2,5100000,5076405,369,537,618,1695,10513,236567,0,0
preload,64,3,5100000,5072162,375,545,623,1181,4608,278781,0,0
preload,1024,1,550000,549998,264,361,406,707,9379,0,0,0
preload,1024,2,550000,549900,248,335,377,1125,9784,990,0,0
preload,1024,3,550000,549998,254,349,398,9183,18557,0,0,0
preload,8192,1,145000,144999,275,369,397,954,7231,646,0,0
preload,8192,2,145000,144991,275,373,397,1371,9606,578,0,0
preload,8192,3,145000,144996,275,373,397,713,7791,677,0,0
