work_us,transport,mrps,p50,p99
0,dpumesh,0.161605,175.00,854.00
0,tcp,0.407639,77.00,81.00
0,direct,0.929845,32.00,36.00
5,dpumesh,0.156888,181.00,246.00
5,tcp,0.131166,235.00,406.00
5,direct,0.155112,194.00,328.00
25,dpumesh,0.038840,811.00,919.00
25,tcp,0.031529,1040.00,1274.00
25,direct,0.033482,953.00,1170.00
50,dpumesh,0.019618,1621.00,1688.00
50,tcp,0.017135,1849.00,2105.00
50,direct,0.018171,1752.00,1938.00
100,dpumesh,0.009948,3205.00,3374.00
100,tcp,0.009148,3456.00,3673.00
100,direct,0.009548,3360.00,3545.00
