
Device #1:
----------

Device type:        BlueField3          
Name:               900-9D3B6-00CV-A_Ax 
Description:        NVIDIA BlueField-3 B3220 P-Series FHHL DPU; 200GbE (default mode) / NDR200 IB; Dual-port QSFP112; PCIe Gen5.0 x16 with x16 PCIe extension option; 16 Arm cores; 32GB on-board DDR; integrated BMC; Crypto Enabled
Device:             0000:94:00.0        

Configurations:                                          Default             Current         Next Boot
        ACCURATE_TX_SCHEDULER                       False(0)             False(0)             False(0)            
        ADVANCED_PCI_SETTINGS                       False(0)             False(0)             False(0)            
 RO     ADVANCED_TESTABILITY                        False(0)             False(0)             False(0)            
        AES_XTS_TWEAK_INC_64                        False(0)             False(0)             False(0)            
        ALLOW_RD_COUNTERS                           True(1)              True(1)              True(1)             
        ATS_ENABLED                                 False(0)             False(0)             False(0)            
        AUTO_POWER_SAVE_LINK_DOWN_P1                False(0)             False(0)             False(0)            
        AUTO_POWER_SAVE_LINK_DOWN_P2                False(0)             False(0)             False(0)            
        BAR_PAGE_ALIGNMENT                          DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        BOOT_DBG_LOG                                False(0)             False(0)             False(0)            
        BOOT_INTERRUPT_DIS                          False(0)             False(0)             False(0)            
        BOOT_LACP_DIS                               True(1)              True(1)              True(1)             
        BOOT_PKEY                                   0                    0                    0                   
        BOOT_UNDI_NETWORK_WAIT                      0                    0                    0                   
        BOOT_VLAN_EN                                False(0)             False(0)             False(0)            
        BOOT_VLAN                                   1                    1                    1                   
        CLAMP_TGT_RATE_AFTER_TIME_INC_P1            True(1)              True(1)              True(1)             
        CLAMP_TGT_RATE_AFTER_TIME_INC_P2            True(1)              True(1)              True(1)             
        CLAMP_TGT_RATE_P1                           False(0)             False(0)             False(0)            
        CLAMP_TGT_RATE_P2                           False(0)             False(0)             False(0)            
        CNP_802P_PRIO_P1                            6                    6                    6                   
        CNP_802P_PRIO_P2                            6                    6                    6                   
        CNP_DSCP_P1                                 48                   48                   48                  
        CNP_DSCP_P2                                 48                   48                   48                  
        CQE_COMPRESSION                             BALANCED(0)          BALANCED(0)          BALANCED(0)         
        CRYPTO_POLICY                               UNRESTRICTED(1)      UNRESTRICTED(1)      UNRESTRICTED(1)     
 RO     CUSTOMIZATION_NUMBER                        Array[0..15]         Array[0..15]         Array[0..15]        
        DCBX_CEE_P1                                 True(1)              True(1)              True(1)             
        DCBX_CEE_P2                                 True(1)              True(1)              True(1)             
        DCBX_IEEE_P1                                True(1)              True(1)              True(1)             
        DCBX_IEEE_P2                                True(1)              True(1)              True(1)             
        DCBX_WILLING_P1                             True(1)              True(1)              True(1)             
        DCBX_WILLING_P2                             True(1)              True(1)              True(1)             
        DCE_TCP_G_P1                                1019                 1019                 1019                
        DCE_TCP_G_P2                                1019                 1019                 1019                
        DCE_TCP_RTT_P1                              1                    1                    1                   
        DCE_TCP_RTT_P2                              1                    1                    1                   
        DCR_LIFO_SIZE                               16384                16384                16384               
        DELAY_HOST_OS_INIT                          DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        DO_NOT_CLEAR_PORT_STATS_P1                  False(0)             False(0)             False(0)            
        DO_NOT_CLEAR_PORT_STATS_P2                  False(0)             False(0)             False(0)            
        DPA_AUTHENTICATION                          False(0)             False(0)             False(0)            
        DUP_MAC_ACTION_P1                           LAST_CFG(0)          LAST_CFG(0)          LAST_CFG(0)         
        DUP_MAC_ACTION_P2                           LAST_CFG(0)          LAST_CFG(0)          LAST_CFG(0)         
        DYNAMIC_VF_MSIX_TABLE                       False(0)             False(0)             False(0)            
        ESWITCH_HAIRPIN_DESCRIPTORS                 Array[0..7]          Array[0..7]          Array[0..7]         
        ESWITCH_HAIRPIN_TOT_BUFFER_SIZE             Array[0..7]          Array[0..7]          Array[0..7]         
        ETH_ETS_GRANULARITY_P1                      DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ETH_ETS_GRANULARITY_P2                      DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ETS_SCHED_MODE_P1                           device_default(0)    device_default(0)    device_default(0)   
        ETS_SCHED_MODE_P2                           device_default(0)    device_default(0)    device_default(0)   
        EXP_ROM_NVME_UEFI_x86_ENABLE                True(1)              True(1)              True(1)             
        EXP_ROM_PXE_ENABLE                          True(1)              True(1)              True(1)             
        EXP_ROM_UEFI_ARM_ENABLE                     True(1)              True(1)              True(1)             
        EXP_ROM_UEFI_x86_ENABLE                     True(1)              True(1)              True(1)             
        EXP_ROM_VIRTIO_BLK_UEFI_ARM_ENABLE          True(1)              True(1)              True(1)             
        EXP_ROM_VIRTIO_BLK_UEFI_x86_ENABLE          True(1)              True(1)              True(1)             
        EXP_ROM_VIRTIO_NET_PXE_ENABLE               True(1)              True(1)              True(1)             
        EXP_ROM_VIRTIO_NET_UEFI_ARM_ENABLE          True(1)              True(1)              True(1)             
        EXP_ROM_VIRTIO_NET_UEFI_x86_ENABLE          True(1)              True(1)              True(1)             
        FLEX_IPV4_OVER_VXLAN_PORT                   0                    0                    0                   
        FLEX_PARSER_PROFILE_ENABLE                  0                    0                    0                   
        HAIRPIN_DATA_BUFFER_LOCK                    False(0)             False(0)             False(0)            
        HIDE_PORT2_PF                               False(0)             False(0)             False(0)            
        HOST_CHAINING_CACHE_DISABLE                 False(0)             False(0)             False(0)            
        HOST_CHAINING_DESCRIPTORS                   Array[0..7]          Array[0..7]          Array[0..7]         
        HOST_CHAINING_MODE                          DISABLED(0)          DISABLED(0)          DISABLED(0)         
        HOST_CHAINING_TOTAL_BUFFER_SIZE             Array[0..7]          Array[0..7]          Array[0..7]         
        IB_CC_SHAPER_COALESCE_P1                    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        IB_CC_SHAPER_COALESCE_P2                    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        IB_ETS_GRANULARITY_P1                       DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        IB_ETS_GRANULARITY_P2                       DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        IB_ROUTING_MODE_P1                          LID(1)               LID(1)               LID(1)              
        IB_ROUTING_MODE_P2                          LID(1)               LID(1)               LID(1)              
        ICM_CACHE_MODE                              DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        INITIAL_ALPHA_VALUE_P1                      1023                 1023                 1023                
        INITIAL_ALPHA_VALUE_P2                      1023                 1023                 1023                
        INTERNAL_CPU_ESWITCH_MANAGER                ECPF(0)              ECPF(0)              ECPF(0)             
        INTERNAL_CPU_IB_VPORT0                      ECPF(0)              ECPF(0)              ECPF(0)             
        INTERNAL_CPU_MODEL                          EMBEDDED_CPU(1)      EMBEDDED_CPU(1)      EMBEDDED_CPU(1)     
        INTERNAL_CPU_OFFLOAD_ENGINE                 ENABLED(0)           ENABLED(0)           ENABLED(0)          
        INTERNAL_CPU_PAGE_SUPPLIER                  ECPF(0)              ECPF(0)              ECPF(0)             
        INTERNAL_CPU_RSHIM                          ENABLED(0)           ENABLED(0)           ENABLED(0)          
        INT_CPU_AUTO_SHUTDOWN                       DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        INT_LOG_MAX_PAYLOAD_SIZE                    AUTOMATIC(0)         AUTOMATIC(0)         AUTOMATIC(0)        
        IP_OVER_VXLAN_EN                            False(0)             False(0)             False(0)            
        IP_VER                                      IPv4(0)              IPv4(0)              IPv4(0)             
        KEEP_ETH_LINK_UP_P1                         True(1)              True(1)              True(1)             
        KEEP_ETH_LINK_UP_P2                         True(1)              True(1)              True(1)             
        KEEP_IB_LINK_UP_P1                          False(0)             False(0)             False(0)            
        KEEP_IB_LINK_UP_P2                          False(0)             False(0)             False(0)            
        KEEP_LINK_UP_ON_BOOT_P1                     False(0)             False(0)             False(0)            
        KEEP_LINK_UP_ON_BOOT_P2                     False(0)             False(0)             False(0)            
        KEEP_LINK_UP_ON_STANDBY_P1                  False(0)             False(0)             False(0)            
        KEEP_LINK_UP_ON_STANDBY_P2                  False(0)             False(0)             False(0)            
        LAG_RESOURCE_ALLOCATION                     DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        LARGE_MTU_TWEAK_64                          False(0)             False(0)             False(0)            
        LEGACY_BOOT_PROTOCOL                        PXE(1)               PXE(1)               PXE(1)              
        LINK_TYPE_P1                                ETH(2)               ETH(2)               ETH(2)              
        LINK_TYPE_P2                                ETH(2)               ETH(2)               ETH(2)              
        LLDP_NB_DCBX_P1                             False(0)             False(0)             False(0)            
        LLDP_NB_DCBX_P2                             False(0)             False(0)             False(0)            
        LLDP_NB_RX_MODE_P1                          OFF(0)               OFF(0)               OFF(0)              
        LLDP_NB_RX_MODE_P2                          OFF(0)               OFF(0)               OFF(0)              
        LLDP_NB_TX_MODE_P1                          OFF(0)               OFF(0)               OFF(0)              
        LLDP_NB_TX_MODE_P2                          OFF(0)               OFF(0)               OFF(0)              
        LOAD_BALANCE_MODE_P1                        TRANSPORT(2)         TRANSPORT(2)         TRANSPORT(2)        
        LOAD_BALANCE_MODE_P2                        TRANSPORT(2)         TRANSPORT(2)         TRANSPORT(2)        
        LOG_DCR_HASH_TABLE_SIZE                     11                   11                   11                  
        LOG_MAX_OUTSTANDING_READ_ATOMIC             0                    0                    0                   
        LOG_MAX_OUTSTANDING_WQE                     7                    7                    7                   
        LOG_MAX_QUEUE                               17                   17                   17                  
        LOG_TX_PSN_WINDOW                           9                    9                    9                   
        LRO_LOG_TIMEOUT0                            6                    6                    6                   
        LRO_LOG_TIMEOUT1                            7                    7                    7                   
        LRO_LOG_TIMEOUT2                            8                    8                    8                   
        LRO_LOG_TIMEOUT3                            13                   13                   13                  
        MAX_PACKET_LIFETIME                         0                    0                    0                   
        MCTP_I3C_DISABLE                            False(0)             False(0)             False(0)            
