arm,protocol,size,mode,rep,event,length,count
after,grpc,1024,capacity,1,commit,10,31309
after,grpc,1024,capacity,1,commit,13,1452
after,grpc,1024,capacity,1,commit,17,136
after,grpc,1024,capacity,1,commit,20,19401
after,grpc,1024,capacity,1,commit,30,15765
after,grpc,1024,capacity,1,commit,40,11762
after,grpc,1024,capacity,1,commit,50,8495
after,grpc,1024,capacity,1,commit,60,4645
after,grpc,1024,capacity,1,commit,70,1500
after,grpc,1024,capacity,1,commit,1044,152457
after,grpc,1024,capacity,1,commit,1047,153838
after,grpc,1024,capacity,1,commit,1057,31248
after,grpc,1024,capacity,1,commit,1070,19391
after,grpc,1024,capacity,1,commit,1080,13
after,grpc,1024,capacity,1,commit,1081,13
after,grpc,1024,capacity,1,commit,1083,15755
after,grpc,1024,capacity,1,commit,1093,2
after,grpc,1024,capacity,1,commit,1094,31036
after,grpc,1024,capacity,1,commit,1096,11755
after,grpc,1024,capacity,1,commit,1106,5
after,grpc,1024,capacity,1,commit,1107,5
after,grpc,1024,capacity,1,commit,1109,8489
after,grpc,1024,capacity,1,commit,1119,1
after,grpc,1024,capacity,1,commit,1120,6
after,grpc,1024,capacity,1,commit,1122,4642
after,grpc,1024,capacity,1,commit,1132,1
after,grpc,1024,capacity,1,commit,1133,5
after,grpc,1024,capacity,1,commit,1135,1463
after,grpc,1024,capacity,1,commit,1141,17672
after,grpc,1024,capacity,1,commit,1145,1
after,grpc,1024,capacity,1,commit,1146,2
after,grpc,1024,capacity,1,commit,1148,35
after,grpc,1024,capacity,1,commit,1158,1
after,grpc,1024,capacity,1,commit,1159,1
after,grpc,1024,capacity,1,commit,1188,15624
after,grpc,1024,capacity,1,commit,1235,12253
after,grpc,1024,capacity,1,commit,1282,8557
after,grpc,1024,capacity,1,commit,1329,4094
after,grpc,1024,capacity,1,commit,1376,2187
after,grpc,1024,capacity,1,commit,1423,48
after,grpc,1024,capacity,1,write_vectored,0,626405
after,grpc,1024,matched,1,commit,10,48497
after,grpc,1024,matched,1,commit,13,944
after,grpc,1024,matched,1,commit,17,137
after,grpc,1024,matched,1,commit,20,43951
after,grpc,1024,matched,1,commit,30,7682
after,grpc,1024,matched,1,commit,40,81
after,grpc,1024,matched,1,commit,50,19
after,grpc,1024,matched,1,commit,60,7
after,grpc,1024,matched,1,commit,70,20
after,grpc,1024,matched,1,commit,1044,59839
after,grpc,1024,matched,1,commit,1047,34460
after,grpc,1024,matched,1,commit,1057,48462
after,grpc,1024,matched,1,commit,1067,1
after,grpc,1024,matched,1,commit,1070,43920
after,grpc,1024,matched,1,commit,1080,31
after,grpc,1024,matched,1,commit,1083,7672
after,grpc,1024,matched,1,commit,1084,3
after,grpc,1024,matched,1,commit,1087,1
after,grpc,1024,matched,1,commit,1093,30
after,grpc,1024,matched,1,commit,1094,91462
after,grpc,1024,matched,1,commit,1096,79
after,grpc,1024,matched,1,commit,1106,8
after,grpc,1024,matched,1,commit,1109,18
after,grpc,1024,matched,1,commit,1114,1
after,grpc,1024,matched,1,commit,1119,1
after,grpc,1024,matched,1,commit,1122,7
after,grpc,1024,matched,1,commit,1123,1
after,grpc,1024,matched,1,commit,1135,7
after,grpc,1024,matched,1,commit,1141,34058
after,grpc,1024,matched,1,commit,1148,15
after,grpc,1024,matched,1,commit,1158,3
after,grpc,1024,matched,1,commit,1180,1
after,grpc,1024,matched,1,commit,1188,64
after,grpc,1024,matched,1,commit,1227,1
after,grpc,1024,matched,1,commit,1235,12
after,grpc,1024,matched,1,commit,1282,8
after,grpc,1024,matched,1,commit,1329,8
after,grpc,1024,matched,1,commit,1376,9
after,grpc,1024,matched,1,commit,1423,16
after,grpc,1024,matched,1,write_vectored,0,421743
after,grpc,64,capacity,1,commit,13,108
after,grpc,64,capacity,1,commit,17,135
after,grpc,64,capacity,1,commit,105,31048
after,grpc,64,capacity,1,commit,128,19
after,grpc,64,capacity,1,commit,131,31621
after,grpc,64,capacity,1,commit,210,21534
after,grpc,64,capacity,1,commit,233,11
after,grpc,64,capacity,1,commit,262,18456
after,grpc,64,capacity,1,commit,315,17805
after,grpc,64,capacity,1,commit,338,13
after,grpc,64,capacity,1,commit,393,16783
after,grpc,64,capacity,1,commit,420,13205
after,grpc,64,capacity,1,commit,443,17
after,grpc,64,capacity,1,commit,524,13331
after,grpc,64,capacity,1,commit,525,8951
after,grpc,64,capacity,1,commit,548,3
after,grpc,64,capacity,1,commit,630,4703
after,grpc,64,capacity,1,commit,653,1
after,grpc,64,capacity,1,commit,655,9075
after,grpc,64,capacity,1,commit,735,1605
