arm,protocol,size,mode,rep,symbol,self_percent
after,grpc,1024,capacity,1,__aarch64_ldadd8_relax,3.16
after,grpc,1024,capacity,1,__memcpy_generic,3.07
after,grpc,1024,capacity,1,el0_svc_common.constprop.0,2.46
after,grpc,1024,capacity,1,__aarch64_ldadd8_rel,1.99
after,grpc,1024,capacity,1,"<linkerd_stack::map_err::ResponseFuture<W,F> as core::future::future::Future>::poll",1.66
after,grpc,1024,capacity,1,h2::hpack::encoder::Encoder::encode,1.52
after,grpc,1024,capacity,1,eventfd_write,1.44
after,grpc,1024,capacity,1,"h2::proto::connection::Connection<T,P,B>::poll",1.33
after,grpc,1024,capacity,1,core::hash::BuildHasher::hash_one,1.22
after,grpc,1024,capacity,1,px_worker_drain,1.2
after,grpc,1024,capacity,1,"tokio::runtime::task::core::Core<T,S>::poll",1.2
after,grpc,1024,capacity,1,__aarch64_cas1_acq,1.05
after,grpc,1024,capacity,1,h2::proto::connection::DynConnection<B>::recv_frame,0.99
after,grpc,1024,capacity,1,<dmesh_l7::ExternalBackend as dmesh_doca::runtime::RuntimeBackend>::drain,0.8
after,grpc,1024,capacity,1,__fget_files,0.74
after,grpc,1024,capacity,1,__aarch64_cas1_rel,0.72
after,grpc,1024,capacity,1,"<S as linkerd_stack::box_service::sealed::BoxCloneSyncService<Req,Rsp>>::box_clone_sync",0.68
after,grpc,1024,capacity,1,<tracing::instrument::Instrumented<T> as core::future::future::Future>::poll,0.64
after,grpc,1024,capacity,1,_rjem_malloc,0.64
after,grpc,1024,capacity,1,0x00000000000004c8,0.63
after,grpc,1024,capacity,1,__aarch64_cas4_acq,0.63
after,grpc,1024,capacity,1,get_random_u32,0.58
after,grpc,1024,capacity,1,http::header::map::hash_elem_using,0.56
after,grpc,1024,capacity,1,slab::Slab<T>::insert_at,0.55
after,grpc,1024,capacity,1,<linkerd_http_box::body::Inner<B> as http_body::Body>::poll_frame,0.55
after,grpc,1024,capacity,1,<core::hash::sip::Hasher<S> as core::hash::Hasher>::write,0.54
after,grpc,1024,capacity,1,tokio::runtime::task::raw::poll,0.54
after,grpc,1024,capacity,1,"<tower::util::map_future::MapFuture<S,F> as tower_service::Service<R>>::call",0.53
after,grpc,1024,capacity,1,"<futures_util::future::try_future::MapOk<Fut,F> as core::future::future::Future>::poll",0.52
after,grpc,1024,capacity,1,h2::frame::headers::HeaderBlock::load::{{closure}},0.51
after,grpc,1024,capacity,1,__aarch64_ldadd4_acq_rel,0.5
after,grpc,1024,capacity,1,"<linkerd_router::OneshotRoute<Sel,N> as tower_service::Service<Req>>::call",0.5
after,grpc,1024,capacity,1,epoll_pwait,0.49
after,grpc,1024,capacity,1,h2::proto::streams::prioritize::Prioritize::pop_frame,0.49
after,grpc,1024,capacity,1,__aarch64_swp4_rel,0.49
after,grpc,1024,capacity,1,"<futures_util::future::try_future::ErrInto<Fut,E> as core::future::future::Future>::poll",0.48
