EVENT=commit
# event histogram
#
# trigger info: hist:keys=len,common_pid:vals=hitcount:sort=hitcount:size=4096 [paused]
#

{ len:        233, common_pid:    3299676 } hitcount:          1
{ len:        338, common_pid:    3299674 } hitcount:          1
{ len:        548, common_pid:    3299682 } hitcount:          1
{ len:        233, common_pid:    3299684 } hitcount:          1
{ len:        653, common_pid:    3299676 } hitcount:          1
{ len:        548, common_pid:    3299680 } hitcount:          1
{ len:        233, common_pid:    3299680 } hitcount:          1
{ len:        548, common_pid:    3299684 } hitcount:          1
{ len:        128, common_pid:    3299684 } hitcount:          1
{ len:        338, common_pid:    3299684 } hitcount:          1
{ len:        338, common_pid:    3299676 } hitcount:          1
{ len:        443, common_pid:    3299672 } hitcount:          1
{ len:        233, common_pid:    3299670 } hitcount:          1
{ len:        443, common_pid:    3299678 } hitcount:          2
{ len:        840, common_pid:    3299674 } hitcount:          2
{ len:        233, common_pid:    3299678 } hitcount:          2
{ len:        443, common_pid:    3299682 } hitcount:          2
{ len:        128, common_pid:    3299682 } hitcount:          2
{ len:        128, common_pid:    3299674 } hitcount:          2
{ len:        443, common_pid:    3299676 } hitcount:          2
{ len:        338, common_pid:    3299670 } hitcount:          2
{ len:        128, common_pid:    3299670 } hitcount:          2
{ len:        840, common_pid:    3299684 } hitcount:          2
{ len:        338, common_pid:    3299678 } hitcount:          2
{ len:        128, common_pid:    3299678 } hitcount:          2
{ len:        233, common_pid:    3299674 } hitcount:          2
{ len:        338, common_pid:    3299672 } hitcount:          3
{ len:        128, common_pid:    3299680 } hitcount:          3
{ len:        338, common_pid:    3299680 } hitcount:          3
{ len:        443, common_pid:    3299674 } hitcount:          3
{ len:        128, common_pid:    3299676 } hitcount:          3
{ len:        233, common_pid:    3299682 } hitcount:          3
{ len:        443, common_pid:    3299670 } hitcount:          3
{ len:        443, common_pid:    3299684 } hitcount:          4
{ len:       1048, common_pid:    3299684 } hitcount:          4
{ len:        128, common_pid:    3299672 } hitcount:          4
{ len:        840, common_pid:    3299672 } hitcount:          4
{ len:       1048, common_pid:    3299674 } hitcount:          4
{ len:        840, common_pid:    3299676 } hitcount:          5
{ len:        840, common_pid:    3299680 } hitcount:          5
{ len:        840, common_pid:    3299682 } hitcount:          6
{ len:       1048, common_pid:    3299682 } hitcount:          6
{ len:        840, common_pid:    3299678 } hitcount:          8
{ len:       1048, common_pid:    3299670 } hitcount:         11
{ len:       1048, common_pid:    3299680 } hitcount:         12
{ len:        840, common_pid:    3299670 } hitcount:         12
{ len:         13, common_pid:    3299676 } hitcount:         12
{ len:         13, common_pid:    3299672 } hitcount:         13
{ len:       1048, common_pid:    3299676 } hitcount:         13
{ len:         13, common_pid:    3299674 } hitcount:         13
{ len:       1048, common_pid:    3299678 } hitcount:         14
{ len:       1048, common_pid:    3299672 } hitcount:         14
{ len:         13, common_pid:    3299684 } hitcount:         14
