EVENT=commit
# event histogram
#
# trigger info: hist:keys=len,common_pid:vals=hitcount:sort=hitcount:size=4096 [paused]
#

{ len:        945, common_pid:    3299678 } hitcount:          1
{ len:        945, common_pid:    3299670 } hitcount:          1
{ len:       1179, common_pid:    3299680 } hitcount:          1
{ len:       1441, common_pid:    3299680 } hitcount:          1
{ len:        630, common_pid:    3299682 } hitcount:          1
{ len:       1050, common_pid:    3299674 } hitcount:          1
{ len:        786, common_pid:    3299676 } hitcount:          1
{ len:       1365, common_pid:    3299672 } hitcount:          1
{ len:        525, common_pid:    3299672 } hitcount:          1
{ len:       1179, common_pid:    3299674 } hitcount:          1
{ len:       1703, common_pid:    3299684 } hitcount:          1
{ len:       1310, common_pid:    3299672 } hitcount:          1
{ len:       1965, common_pid:    3299680 } hitcount:          1
{ len:       1048, common_pid:    3299672 } hitcount:          1
{ len:        735, common_pid:    3299672 } hitcount:          1
{ len:        735, common_pid:    3299676 } hitcount:          1
{ len:        786, common_pid:    3299682 } hitcount:          1
{ len:       1365, common_pid:    3299674 } hitcount:          1
{ len:        630, common_pid:    3299674 } hitcount:          1
{ len:        655, common_pid:    3299674 } hitcount:          1
{ len:        630, common_pid:    3299676 } hitcount:          1
{ len:        840, common_pid:    3299670 } hitcount:          1
{ len:        917, common_pid:    3299672 } hitcount:          1
{ len:       1680, common_pid:    3299676 } hitcount:          1
{ len:       1680, common_pid:    3299680 } hitcount:          1
{ len:       1703, common_pid:    3299682 } hitcount:          1
{ len:       1834, common_pid:    3299670 } hitcount:          1
{ len:       1470, common_pid:    3299672 } hitcount:          1
{ len:       1048, common_pid:    3299670 } hitcount:          1
{ len:        524, common_pid:    3299674 } hitcount:          1
{ len:       1965, common_pid:    3299682 } hitcount:          1
{ len:        630, common_pid:    3299680 } hitcount:          1
{ len:       1834, common_pid:    3299684 } hitcount:          1
{ len:        786, common_pid:    3299670 } hitcount:          1
{ len:       1703, common_pid:    3299672 } hitcount:          1
{ len:       1834, common_pid:    3299678 } hitcount:          1
{ len:        524, common_pid:    3299678 } hitcount:          1
{ len:       1365, common_pid:    3299676 } hitcount:          1
