arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_tx_arena_copy_bytes_total,dmesh_worker_notification_clears_total,dmesh_tx_accepted_bytes_total,dmesh_worker_pe_progressed_total,dmesh_worker_drain_pending_total,dmesh_worker_cross_out_total,dmesh_worker_arms_total,dmesh_worker_local_completions_total,dmesh_tx_retries_total,dmesh_worker_drain_progressed_total,dmesh_worker_drain_calls_total,dmesh_worker_data_progressed_total,dmesh_tx_writer_wakes_total,dmesh_tx_budget_wait_total,dmesh_worker_cross_in_total,dmesh_tx_errors_total,dmesh_worker_drain_idle_total,dmesh_worker_maintenances_total
after,grpc,1024,capacity,clean,1,True,5.528820975101553,35.05,187201,35335.0,1831.0,2670.0,187.23190581246894,404545116.0,304452.0,404545116.0,139278.0,70042.0,0.0,304452.0,139278.0,0.0,1019603.0,1528996.0,1019603.0,30961.0,30961.0,0.0,0.0,439351.0,43555.0
after,grpc,1024,capacity,clean,2,True,5.5146257559536025,35.04,187017,35324.0,1834.0,2715.0,187.36264617655078,404133548.0,309094.0,404133548.0,139967.0,70950.0,0.0,309094.0,139967.0,0.0,1021916.0,1539659.0,1021916.0,30133.0,30133.0,0.0,0.0,446793.0,46355.0
after,grpc,1024,capacity,clean,3,True,5.540019819047302,34.25,182183,34397.0,1853.0,3283.0,187.99778244951506,393711608.0,299524.0,393711608.0,136903.0,67873.0,0.0,299524.0,136903.0,0.0,998352.0,1500197.0,998352.0,29553.0,29553.0,0.0,0.0,433972.0,43325.0
after,grpc,1024,capacity,profile,1,True,16.49335316894576,107.66,563888,34604.0,1863.0,2997.0,190.92443889566724,1218606570.0,901955.0,1218606570.0,423391.0,207792.0,0.0,901955.0,423391.0,0.0,3071581.0,4577346.0,3071581.0,91215.0,91215.0,0.0,0.0,1297973.0,124115.0
after,grpc,1024,capacity,trace,1,True,12.527226015925407,81.89,382003,31090.0,2016.0,5938.0,214.37004421431246,825535665.0,590148.0,825535665.0,287347.0,140693.0,0.0,590148.0,287347.0,0.0,2081612.0,3052168.0,2081612.0,63651.0,63651.0,0.0,0.0,829863.0,94438.0
after,grpc,1024,matched,clean,1,True,5.459687721915543,33.28,99998,19999.0,997.0,2061.0,332.80665613312266,216106500.0,315248.0,216106500.0,160715.0,58829.0,0.0,315248.0,160715.0,0.0,1046064.0,1585998.0,1046064.0,130.0,130.0,0.0,0.0,481105.0,45854.0
after,grpc,1024,matched,clean,2,True,5.531164441024885,33.09,99999,19999.0,1003.0,2269.0,330.90330903309035,216108550.0,311958.0,216108550.0,160191.0,59517.0,0.0,311958.0,160191.0,0.0,1044303.0,1576043.0,1044303.0,218.0,222.0,0.0,0.0,472223.0,43109.0
after,grpc,1024,matched,clean,3,True,5.45981705095619,33.24,99999,19999.0,991.0,1927.0,332.4033240332404,216109657.0,311489.0,216109657.0,160950.0,58494.0,0.0,311489.0,160950.0,0.0,1049767.0,1580222.0,1049767.0,67.0,67.0,0.0,0.0,471961.0,42839.0
after,grpc,1024,matched,trace,1,True,12.546376431011595,82.23,239999,20000.0,1222.0,2653.0,342.62642761011506,518663382.0,632306.0,518663382.0,343929.0,123654.0,0.0,632306.0,343929.0,0.0,2257059.0,3315593.0,2257059.0,612.0,630.0,0.0,0.0,934880.0,96468.0
after,grpc,64,capacity,clean,1,True,5.5431313359877095,33.5,193346,36544.0,1769.0,2577.0,173.26451025622458,45635663.0,304872.0,45635663.0,140828.0,55643.0,0.0,304872.0,140828.0,0.0,946181.0,1468949.0,946181.0,0.0,0.0,0.0,0.0,467125.0,43517.0
after,grpc,64,capacity,clean,2,True,5.4802078841021284,34.06,195479,36982.0,1753.0,2541.0,174.23866502284133,46139323.0,310575.0,46139323.0,143461.0,58259.0,0.0,310575.0,143461.0,0.0,966597.0,1497351.0,966597.0,0.0,0.0,0.0,0.0,472495.0,44053.0
after,grpc,64,capacity,clean,3,True,5.547333532944322,33.9,194039,36657.0,1752.0,2580.0,174.7071465014765,45799613.0,308690.0,45799613.0,143110.0,57878.0,0.0,308690.0,143110.0,0.0,963299.0,1489730.0,963299.0,0.0,0.0,0.0,0.0,468553.0,43643.0
after,grpc,64,capacity,profile,1,True,16.48859700700268,105.53,589918,36203.0,1785.0,2600.0,178.88926935608,139233656.0,918262.0,139233656.0,435444.0,172189.0,0.0,918262.0,435444.0,0.0,2913599.0,4475729.0,2913599.0,0.0,0.0,0.0,0.0,1389941.0,124788.0
after,grpc,64,capacity,trace,1,True,12.494605501997285,79.04,410974,33413.0,1899.0,4167.0,192.32360197968728,96999838.0,645552.0,96999838.0,303916.0,123520.0,0.0,645552.0,303916.0,0.0,2036820.0,3129747.0,2036820.0,0.0,0.0,0.0,0.0,969407.0,95081.0
after,grpc,64,matched,clean,1,True,5.51975648093503,32.63,99999,20000.0,958.0,2136.0,326.30326303263035,23606071.0,326404.0,23606071.0,166013.0,60534.0,0.0,326404.0,166013.0,0.0,1079055.0,1637308.0,1079055.0,0.0,0.0,0.0,0.0,497719.0,43037.0
after,grpc,64,matched,clean,2,True,5.517885384964757,32.67,100000,19998.0,956.0,2040.0,326.7,23606389.0,326275.0,23606389.0,165980.0,60925.0,0.0,326275.0,165980.0,0.0,1078192.0,1636499.0,1078192.0,0.0,0.0,0.0,0.0,497382.0,43042.0
after,grpc,64,matched,clean,3,True,5.463423348963261,32.75,100000,19999.0,961.0,1919.0,327.5,23606590.0,324646.0,23606590.0,165617.0,60324.0,0.0,324646.0,165617.0,0.0,1075536.0,1631100.0,1075536.0,0.0,0.0,0.0,0.0,495240.0,43002.0
