arm,protocol,size,mode,kind,reps,rps,rps_min,rps_max,p50_us,p50_us_min,p50_us_max,p99_us,p99_us_min,p99_us_max,cpu_seconds,cpu_seconds_min,cpu_seconds_max,cpu_us_per_scheduled_rpc,cpu_us_per_scheduled_rpc_min,cpu_us_per_scheduled_rpc_max,dmesh_tx_budget_wait_total,dmesh_tx_budget_wait_total_min,dmesh_tx_budget_wait_total_max,dmesh_tx_writer_wakes_total,dmesh_tx_writer_wakes_total_min,dmesh_tx_writer_wakes_total_max,dmesh_tx_retries_total,dmesh_tx_retries_total_min,dmesh_tx_retries_total_max,dmesh_tx_accepted_bytes_total,dmesh_tx_accepted_bytes_total_min,dmesh_tx_accepted_bytes_total_max,dmesh_worker_drain_calls_total,dmesh_worker_drain_calls_total_min,dmesh_worker_drain_calls_total_max,dmesh_worker_arms_total,dmesh_worker_arms_total_min,dmesh_worker_arms_total_max
after,grpc,64,capacity,clean,3,36657.0,36544.0,36982.0,1753.0,1752.0,1769.0,2577.0,2541.0,2580.0,33.9,33.5,34.06,174.23866502284133,173.26451025622458,174.7071465014765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45799613.0,45635663.0,46139323.0,1489730.0,1468949.0,1497351.0,308690.0,304872.0,310575.0
after,grpc,64,capacity,profile,1,36203.0,36203.0,36203.0,1785.0,1785.0,1785.0,2600.0,2600.0,2600.0,105.53,105.53,105.53,178.88926935608,178.88926935608,178.88926935608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139233656.0,139233656.0,139233656.0,4475729.0,4475729.0,4475729.0,918262.0,918262.0,918262.0
after,grpc,64,capacity,trace,1,33413.0,33413.0,33413.0,1899.0,1899.0,1899.0,4167.0,4167.0,4167.0,79.04,79.04,79.04,192.32360197968728,192.32360197968728,192.32360197968728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96999838.0,96999838.0,96999838.0,3129747.0,3129747.0,3129747.0,645552.0,645552.0,645552.0
after,grpc,64,matched,clean,3,19999.0,19998.0,20000.0,958.0,956.0,961.0,2040.0,1919.0,2136.0,32.67,32.63,32.75,326.7,326.30326303263035,327.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23606389.0,23606071.0,23606590.0,1636499.0,1631100.0,1637308.0,326275.0,324646.0,326404.0
after,grpc,64,matched,trace,1,20000.0,20000.0,20000.0,1087.0,1087.0,1087.0,3435.0,3435.0,3435.0,80.48,80.48,80.48,335.33473056137734,335.33473056137734,335.33473056137734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56650133.0,56650133.0,56650133.0,3509751.0,3509751.0,3509751.0,679466.0,679466.0,679466.0
after,grpc,1024,capacity,clean,3,35324.0,34397.0,35335.0,1834.0,1831.0,1853.0,2715.0,2670.0,3283.0,35.04,34.25,35.05,187.36264617655078,187.23190581246894,187.99778244951506,30133.0,29553.0,30961.0,30133.0,29553.0,30961.0,0.0,0.0,0.0,404133548.0,393711608.0,404545116.0,1528996.0,1500197.0,1539659.0,304452.0,299524.0,309094.0
after,grpc,1024,capacity,profile,1,34604.0,34604.0,34604.0,1863.0,1863.0,1863.0,2997.0,2997.0,2997.0,107.66,107.66,107.66,190.92443889566724,190.92443889566724,190.92443889566724,91215.0,91215.0,91215.0,91215.0,91215.0,91215.0,0.0,0.0,0.0,1218606570.0,1218606570.0,1218606570.0,4577346.0,4577346.0,4577346.0,901955.0,901955.0,901955.0
after,grpc,1024,capacity,trace,1,31090.0,31090.0,31090.0,2016.0,2016.0,2016.0,5938.0,5938.0,5938.0,81.89,81.89,81.89,214.37004421431246,214.37004421431246,214.37004421431246,63651.0,63651.0,63651.0,63651.0,63651.0,63651.0,0.0,0.0,0.0,825535665.0,825535665.0,825535665.0,3052168.0,3052168.0,3052168.0,590148.0,590148.0,590148.0
after,grpc,1024,matched,clean,3,19999.0,19999.0,19999.0,997.0,991.0,1003.0,2061.0,1927.0,2269.0,33.24,33.09,33.28,332.4033240332404,330.90330903309035,332.80665613312266,130.0,67.0,222.0,130.0,67.0,218.0,0.0,0.0,0.0,216108550.0,216106500.0,216109657.0,1580222.0,1576043.0,1585998.0,311958.0,311489.0,315248.0
after,grpc,1024,matched,trace,1,20000.0,20000.0,20000.0,1222.0,1222.0,1222.0,2653.0,2653.0,2653.0,82.23,82.23,82.23,342.62642761011506,342.62642761011506,342.62642761011506,630.0,630.0,630.0,612.0,612.0,612.0,0.0,0.0,0.0,518663382.0,518663382.0,518663382.0,3315593.0,3315593.0,3315593.0,632306.0,632306.0,632306.0
after,grpc,8192,capacity,clean,3,22756.0,22590.0,23007.0,2755.0,2730.0,2785.0,4703.0,4456.0,4778.0,36.74,36.73,36.96,304.63883751213,303.1844207832264,306.85965806112137,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1989081763.0,1975174470.0,2010900856.0,941205.0,906294.0,950959.0,97493.0,89252.0,98659.0
after,grpc,8192,capacity,profile,1,22311.0,22311.0,22311.0,2813.0,2813.0,2813.0,5202.0,5202.0,5202.0,112.55,112.55,112.55,309.4464331865147,309.4464331865147,309.4464331865147,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,6000289555.0,6000289555.0,6000289555.0,2816348.0,2816348.0,2816348.0,283657.0,283657.0,283657.0
after,grpc,8192,capacity,trace,1,18706.0,18706.0,18706.0,3380.0,3380.0,3380.0,5391.0,5391.0,5391.0,85.37,85.37,85.37,371.04324129328364,371.04324129328364,371.04324129328364,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,3795622474.0,3795622474.0,3795622474.0,1673449.0,1673449.0,1673449.0,162131.0,162131.0,162131.0
after,grpc,8192,matched,clean,3,9999.0,9999.0,9999.0,1700.0,1675.0,1709.0,2294.0,2245.0,2360.0,27.32,27.32,27.39,546.4,546.4,547.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824853658.0,824837172.0,824861908.0,1848398.0,1841569.0,1850133.0,360960.0,360652.0,361758.0
after,grpc,8192,matched,trace,1,10000.0,10000.0,10000.0,1753.0,1753.0,1753.0,3861.0,3861.0,3861.0,73.18,73.18,73.18,609.8333333333334,609.8333333333334,609.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979697245.0,1979697245.0,1979697245.0,4190407.0,4190407.0,4190407.0,781371.0,781371.0,781371.0
after,grpc,65536,capacity,clean,3,12682.0,12646.0,12684.0,4976.0,4956.0,4983.0,7840.0,7717.0,7868.0,40.85,40.83,40.89,607.9122251460684,607.2453211636515,608.9485458612976,9.0,0.0,9.0,9.0,0.0,9.0,0.0,0.0,0.0,8831865096.0,8804140201.0,8832308390.0,1802583.0,1801134.0,1807307.0,75856.0,75406.0,75889.0
after,grpc,65536,capacity,profile,1,12582.0,12582.0,12582.0,4989.0,4989.0,4989.0,7861.0,7861.0,7861.0,125.95,125.95,125.95,613.947004114103,613.947004114103,613.947004114103,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,26938345784.0,26938345784.0,26938345784.0,5420555.0,5420555.0,5420555.0,214106.0,214106.0,214106.0
after,grpc,65536,capacity,stat,3,12618.0,12591.0,12619.0,4985.0,4972.0,4993.0,7861.0,7842.0,8176.0,95.12,94.73,95.16,612.614237227006,610.0631766046922,614.1890845252233,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,20388785580.0,20344884834.0,20388981025.0,4097642.0,4091901.0,4105568.0,164283.0,161402.0,164312.0
after,grpc,65536,capacity,trace,1,10116.0,10116.0,10116.0,6264.0,6264.0,6264.0,9980.0,9980.0,9980.0,95.66,95.66,95.66,768.5015585333718,768.5015585333718,768.5015585333718,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,16344278570.0,16344278570.0,16344278570.0,3250372.0,3250372.0,3250372.0,125688.0,125688.0,125688.0
after,grpc,65536,matched,clean,3,1999.0,1999.0,1999.0,1444.0,1439.0,1583.0,2540.0,2503.0,2948.0,9.85,9.84,10.0,985.0,984.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312947891.0,1312947185.0,1312954396.0,768122.0,737313.0,768590.0,119830.0,111396.0,119997.0
after,grpc,65536,matched,trace,1,2000.0,2000.0,2000.0,1656.0,1656.0,1656.0,3054.0,3054.0,3054.0,27.96,27.96,27.96,1165.0,1165.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3151120067.0,3151120067.0,3151120067.0,1870698.0,1870698.0,1870698.0,286484.0,286484.0,286484.0
