arm,protocol,size,mode,rep,write_calls,vectored_calls,commits,cancel_commits,bytes,mean_commit_bytes,commits_per_mib,full_64k_commits,histogram_dropped
after,grpc,1024,capacity,1,0,626405,585065,0,530115886,906.0803261176109,1157.2660500123175,0,0
after,grpc,1024,matched,1,0,421743,421536,0,345989931,820.7838262924163,1277.5300467804655,0,0
after,grpc,64,capacity,1,0,195957,195954,0,62563396,319.2759321065148,3284.231270054458,0,0
after,grpc,64,matched,1,0,238326,238326,0,37784176,158.53988234603023,6613.957223150771,0,0
after,grpc,65536,capacity,1,0,1201713,1201730,0,10315432984,8583.819147395838,122.1572801097653,0,0
after,grpc,65536,matched,1,0,234698,234696,0,2101929087,8955.96468197157,117.08130137122937,0,0
after,grpc,8192,capacity,1,0,736666,736660,0,2407804482,3268.5424510629055,320.80843853167977,0,0
after,grpc,8192,matched,1,0,404084,404088,0,1320538214,3267.9471154797966,320.866881545618,0,0
after,opaque,1024,capacity,1,0,518936,518947,0,1791110880,3451.4331521330696,303.8088683108217,0,0
after,opaque,1024,matched,1,0,319818,319812,0,332960160,1041.1121533901166,1007.1691090970163,0,0
after,opaque,64,capacity,1,0,546218,546172,0,145397520,266.21196253194967,3938.8763375881513,0,0
after,opaque,64,matched,1,0,319247,319248,0,25612800,80.22853706209592,13069.863148425788,0,0
before,grpc,1024,capacity,1,1099882,0,189802,0,541952078,2855.3549383041272,367.2314029802465,0,0
before,grpc,1024,matched,1,743001,0,230069,0,345948014,1503.6706987903628,697.3441730583255,0,0
before,grpc,64,capacity,1,195251,0,195247,0,62488439,320.04813902390305,3276.307130539779,0,0
before,grpc,64,matched,1,240881,0,240876,0,37782979,156.85655274913233,6684.935896028738,0,0
before,grpc,65536,capacity,1,1793575,0,1057827,0,10103946399,9551.60569639459,109.78007607619337,0,0
before,grpc,65536,matched,1,362450,0,204641,0,2101925101,10271.280442335603,102.08814819991058,0,0
before,grpc,8192,capacity,1,992794,0,332050,0,2324104207,6999.259771118807,149.81241363933387,0,0
before,grpc,8192,matched,1,564176,0,314897,0,1320538024,4193.555429235591,250.0446262590921,0,0
before,opaque,1024,capacity,1,528613,0,528617,0,1825195840,3452.7755255695524,303.690753202681,0,0
before,opaque,1024,matched,1,319657,0,319658,0,332949760,1041.5811898967022,1006.7155687632873,0,0
before,opaque,64,capacity,1,537841,0,537841,0,143103600,266.0704557666671,3940.971187419464,0,0
before,opaque,64,matched,1,319608,0,319608,0,25611520,80.13416435133038,13085.255315108201,0,0
