protocol,size,mode,before_valid,after_valid,before_rps,after_rps,rps_change_pct,before_p99_us,after_p99_us,p99_us_change_pct,before_cpu_us_per_scheduled_rpc,after_cpu_us_per_scheduled_rpc,cpu_us_per_scheduled_rpc_change_pct
opaque,64,capacity,3,0,179368.0,,,831.0,,,20.17673658062474,,
opaque,64,matched,3,0,19999.0,,,392.0,,,67.8,,
opaque,1024,capacity,3,0,177997.0,,,824.0,,,21.735417343456433,,
opaque,1024,matched,3,0,19999.0,,,418.0,,,69.3,,
opaque,8192,capacity,0,0,,,,,,,,,
opaque,8192,matched,3,0,9999.0,,,1668.0,,,142.6,,
opaque,65536,capacity,1,0,,,,,,,,,
opaque,65536,matched,3,0,1999.0,,,2192.0,,,283.0,,
grpc,64,capacity,3,3,38737.0,38516.0,-0.5705139788832359,2371.0,2384.0,0.5482918599746922,168.18773809930295,169.68930334720852,0.8927911540251632
grpc,64,matched,3,3,19999.0,19999.0,0.0,1810.0,1799.0,-0.6077348066298338,334.1033410334103,334.60334603346035,0.14965579167915966
grpc,1024,capacity,3,3,37641.0,36359.0,-3.4058606306952566,2427.0,2496.0,2.8430160692212603,174.9113421890966,188.13532030272023,7.560389136644563
grpc,1024,matched,3,3,19999.0,19999.0,0.0,1870.0,1886.0,0.8556149732620311,337.2033720337203,339.60339603396034,0.7117437722419906
grpc,8192,capacity,3,3,22409.0,21860.0,-2.449908518898658,3618.0,3771.0,4.228855721393043,301.0602373112584,314.86417708306374,4.585108912119074
grpc,8192,matched,3,3,9999.0,9999.0,0.0,2052.0,2036.0,-0.7797270955165692,542.6,550.0,1.3638039071138808
grpc,65536,capacity,3,3,13326.0,12675.0,-4.885186852769019,6977.0,7421.0,6.36376666188907,584.2814286522896,615.0967492834761,5.274054440214804
grpc,65536,matched,3,3,1999.0,1999.0,0.0,3111.0,2880.0,-7.425265188042429,991.0,1008.0,1.7154389505549927
