protocol,size,mode,before_valid,after_valid,before_rps,before_rps_min,before_rps_max,after_rps,after_rps_min,after_rps_max,rps_change_pct,before_p50_us,before_p50_us_min,before_p50_us_max,after_p50_us,after_p50_us_min,after_p50_us_max,p50_us_change_pct,before_p99_us,before_p99_us_min,before_p99_us_max,after_p99_us,after_p99_us_min,after_p99_us_max,p99_us_change_pct,before_cpu_us_per_scheduled_rpc,before_cpu_us_per_scheduled_rpc_min,before_cpu_us_per_scheduled_rpc_max,after_cpu_us_per_scheduled_rpc,after_cpu_us_per_scheduled_rpc_min,after_cpu_us_per_scheduled_rpc_max,cpu_us_per_scheduled_rpc_change_pct
opaque,64,capacity,3,3,138770.0,137919.0,143102.0,139689.0,139235.0,139998.0,0.6622468833321404,430.0,420.0,432.0,427.0,426.0,429.0,-0.6976744186046546,1090.0,1085.0,1097.0,1102.0,1098.0,1105.0,1.1009174311926495,22.312080598014184,22.041744896794047,22.31325189117529,22.652332630412406,22.602592566067464,22.770185315606867,1.5249677451797394
opaque,64,matched,3,3,19999.0,19999.0,19999.0,19999.0,19999.0,19999.0,0.0,274.0,273.0,299.0,254.0,240.0,295.0,-7.299270072992703,492.0,487.0,587.0,481.0,481.0,495.0,-2.2357723577235755,74.9,74.1,75.8,75.7,75.4,76.4,1.0680907877169465
opaque,1024,capacity,3,3,124335.0,121729.0,125037.00000000001,126664.0,126497.0,126948.0,1.8731652390718612,469.0,468.0,479.0,462.0,462.0,463.0,-1.4925373134328401,1155.0,1154.0,1184.0,1148.0,1137.0,1151.0,-0.60606060606061,23.781653784265735,23.718533652574,23.868943193891923,23.818352968023504,23.785494638787412,23.868741019386192,0.15431720640912694
opaque,1024,matched,3,3,19999.0,19999.0,20000.0,19999.0,19997.0,19999.0,0.0,258.0,245.0,279.0,258.0,250.0,273.0,0.0,486.0,480.0,510.0,491.0,483.0,493.0,1.0288065843621297,75.8,75.4,76.6,76.8,76.6,76.8,1.3192612137203241
opaque,8192,capacity,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opaque,8192,matched,3,3,10000.0,9999.0,10000.0,10000.0,9999.0,10018.0,0.0,1411.0,1407.0,1411.0,1412.0,1404.0,1414.0,0.07087172218285254,1777.0,1760.0,1804.0,1788.0,1780.0,1794.0,0.6190208216094506,151.6,151.4,152.4,155.4,154.8,158.4,2.5065963060686203
opaque,65536,capacity,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opaque,65536,matched,3,3,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,0.0,1673.0,1546.0,1727.0,1615.0,1555.0,1621.0,-3.46682606096832,2842.0,2330.0,3568.0,2356.0,2293.0,2814.0,-17.100633356790993,293.0,290.0,304.0,303.0,300.0,305.0,3.412969283276457
grpc,64,capacity,3,3,35523.0,35215.0,35594.0,35784.0,35165.0,36077.0,0.7347352419559083,1798.0,1796.0,1799.0,1794.0,1789.0,1801.0,-0.22246941045606095,3456.0,2916.0,4206.0,2688.0,2562.0,5078.0,-22.22222222222222,178.71975563355753,178.62454321407324,179.24046321525884,179.03542683313265,178.30888271214087,179.44236284093526,0.17662915801113233
grpc,64,matched,3,3,19999.0,19999.0,20000.0,19999.0,19999.0,19999.0,0.0,978.0,974.0,981.0,977.0,973.0,984.0,-0.10224948875255935,2180.0,2084.0,2233.0,1927.0,1892.0,2110.0,-11.605504587155968,328.30328303283034,328.3,330.6033060330604,331.3033130331304,329.50329503295035,331.80331803318035,0.9137983551629869
grpc,1024,capacity,3,3,34877.0,34220.0,34906.0,34765.0,34181.0,34958.0,-0.32112853743154757,1843.0,1841.0,1848.0,1866.0,1854.0,1879.0,1.2479652740097658,3316.0,2816.0,4960.0,2734.0,2671.0,2834.0,-17.55126658624849,184.35748143979566,184.25830376407873,184.40446515660562,190.59458344416518,189.666165933579,192.1312417780431,3.383156439141488
grpc,1024,matched,3,3,19999.0,19999.0,20000.0,20000.0,19999.0,20001.0,0.0050002500125101434,1013.0,1006.0,1017.0,1024.0,1012.0,1030.0,1.0858835143139123,2045.0,1986.0,2078.0,2009.0,1943.0,2056.0,-1.760391198044009,331.6033160331603,331.2033120331203,331.7033170331703,334.1033410334103,333.1033310333104,335.8033580335803,0.7539203860072341
grpc,8192,capacity,3,3,21291.0,21277.0,21416.0,21898.0,21783.0,21953.0,2.8509698933821825,2961.0,2955.0,2974.0,2891.0,2888.0,2898.0,-2.3640661938534313,4586.0,4403.0,4964.0,5137.0,4659.0,5637.0,12.014827736589616,307.3703253726843,306.4081567964499,307.6281858006846,314.8665491898397,313.642320160011,315.34184406991045,2.438824830622899
grpc,8192,matched,3,3,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,1695.0,1693.0,1701.0,1707.0,1702.0,1715.0,0.707964601769917,2255.0,2242.0,2591.0,2305.0,2259.0,2383.0,2.2172949002217335,548.4109682193643,548.4,548.8,553.8,553.6,554.8,0.9826630196936526
grpc,65536,capacity,3,3,12795.0,12776.0,12820.0,12251.0,12233.0,12285.0,-4.251660805001956,4966.0,4953.0,4989.0,5176.0,5154.0,5197.0,4.22875553765607,7470.0,7462.0,7764.0,8119.0,7881.0,8154.0,8.688085676037494,604.4304263880086,602.606582725867,605.7743402019248,632.975693856503,629.4232333932054,634.3237578596967,4.722672159155983
grpc,65536,matched,3,3,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,0.0,1545.0,1504.0,1553.0,1510.0,1497.0,1518.0,-2.265372168284785,2718.0,2657.0,2759.0,2617.0,2589.0,2621.0,-3.715967623252392,996.0,990.0,998.0,1000.0,994.0,1010.0,0.40160642570281624
