size,direction,mode,rep,iterations,ns_per_message
64,tx,copy,1,4194304,41.47
64,tx,copy,2,4194304,41.41
64,tx,copy,3,4194304,41.18
64,tx,lease,1,4194304,40.19
64,tx,lease,2,4194304,39.69
64,tx,lease,3,4194304,40.06
64,rx,copy,1,4194304,39.75
64,rx,copy,2,4194304,57.65
64,rx,copy,3,4194304,45.79
64,rx,lease,1,4194304,41.39
64,rx,lease,2,4194304,41.70
64,rx,lease,3,4194304,41.67
1024,tx,copy,1,262144,90.36
1024,tx,copy,2,262144,90.25
1024,tx,copy,3,262144,90.14
1024,tx,lease,1,262144,86.26
1024,tx,lease,2,262144,86.35
1024,tx,lease,3,262144,87.50
1024,rx,copy,1,262144,58.54
1024,rx,copy,2,262144,59.79
1024,rx,copy,3,262144,59.30
1024,rx,lease,1,262144,41.39
1024,rx,lease,2,262144,41.78
1024,rx,lease,3,262144,41.92
8192,tx,copy,1,32768,339.56
8192,tx,copy,2,32768,339.33
8192,tx,copy,3,32768,339.60
8192,tx,lease,1,32768,278.02
8192,tx,lease,2,32768,277.91
8192,tx,lease,3,32768,277.89
8192,rx,copy,1,32768,132.11
8192,rx,copy,2,32768,132.16
8192,rx,copy,3,32768,132.33
8192,rx,lease,1,32768,42.07
8192,rx,lease,2,32768,41.65
8192,rx,lease,3,32768,38.42
65536,tx,copy,1,4096,4392.73
65536,tx,copy,2,4096,4390.12
65536,tx,copy,3,4096,4390.84
65536,tx,lease,1,4096,1938.67
65536,tx,lease,2,4096,1941.75
65536,tx,lease,3,4096,1939.92
65536,rx,copy,1,4096,1846.70
65536,rx,copy,2,4096,1841.77
65536,rx,copy,3,4096,1839.96
65536,rx,lease,1,4096,41.31
65536,rx,lease,2,4096,41.34
65536,rx,lease,3,4096,41.30
