size,direction,mode,rep,iterations,ns_per_message
64,tx,copy,1,2097152,39.51
64,tx,copy,2,2097152,39.48
64,tx,copy,3,2097152,39.51
64,tx,lease,1,2097152,36.34
64,tx,lease,2,2097152,36.37
64,tx,lease,3,2097152,36.34
64,rx,copy,1,2097152,45.27
64,rx,copy,2,2097152,45.26
64,rx,copy,3,2097152,45.26
64,rx,lease,1,2097152,44.23
64,rx,lease,2,2097152,44.23
64,rx,lease,3,2097152,44.24
1024,tx,copy,1,131072,100.46
1024,tx,copy,2,131072,100.49
1024,tx,copy,3,131072,100.46
1024,tx,lease,1,131072,56.53
1024,tx,lease,2,131072,56.64
1024,tx,lease,3,131072,56.61
1024,rx,copy,1,131072,80.78
1024,rx,copy,2,131072,80.74
1024,rx,copy,3,131072,80.77
1024,rx,lease,1,131072,44.24
1024,rx,lease,2,131072,44.14
1024,rx,lease,3,131072,44.17
8192,tx,copy,1,16384,416.94
8192,tx,copy,2,16384,417.17
8192,tx,copy,3,16384,417.45
8192,tx,lease,1,16384,164.44
8192,tx,lease,2,16384,164.42
8192,tx,lease,3,16384,164.41
8192,rx,copy,1,16384,315.78
8192,rx,copy,2,16384,315.23
8192,rx,copy,3,16384,316.00
8192,rx,lease,1,16384,44.05
8192,rx,lease,2,16384,44.07
8192,rx,lease,3,16384,44.09
65536,tx,copy,1,2048,3440.21
65536,tx,copy,2,2048,3439.57
65536,tx,copy,3,2048,3435.37
65536,tx,lease,1,2048,2380.05
65536,tx,lease,2,2048,2387.64
65536,tx,lease,3,2048,2377.57
65536,rx,copy,1,2048,2141.56
65536,rx,copy,2,2048,2144.46
65536,rx,copy,3,2048,2141.27
65536,rx,lease,1,2048,44.13
65536,rx,lease,2,2048,44.17
65536,rx,lease,3,2048,44.13
