size,direction,mode,rep,iterations,ns_per_message
64,tx,copy,1,2097152,44.51
64,tx,copy,2,2097152,44.09
64,tx,copy,3,2097152,44.61
64,tx,lease,1,2097152,40.69
64,tx,lease,2,2097152,40.56
64,tx,lease,3,2097152,40.59
64,rx,copy,1,2097152,38.74
64,rx,copy,2,2097152,38.41
64,rx,copy,3,2097152,38.06
64,rx,lease,1,2097152,34.21
64,rx,lease,2,2097152,34.47
64,rx,lease,3,2097152,34.60
1024,tx,copy,1,131072,74.32
1024,tx,copy,2,131072,74.23
1024,tx,copy,3,131072,74.57
1024,tx,lease,1,131072,69.61
1024,tx,lease,2,131072,70.83
1024,tx,lease,3,131072,69.45
1024,rx,copy,1,131072,46.68
1024,rx,copy,2,131072,48.94
1024,rx,copy,3,131072,49.67
1024,rx,lease,1,131072,34.55
1024,rx,lease,2,131072,34.29
1024,rx,lease,3,131072,32.72
8192,tx,copy,1,16384,301.05
8192,tx,copy,2,16384,300.41
8192,tx,copy,3,16384,300.21
8192,tx,lease,1,16384,243.27
8192,tx,lease,2,16384,243.15
8192,tx,lease,3,16384,242.86
8192,rx,copy,1,16384,115.36
8192,rx,copy,2,16384,115.21
8192,rx,copy,3,16384,115.34
8192,rx,lease,1,16384,31.85
8192,rx,lease,2,16384,31.80
8192,rx,lease,3,16384,31.70
65536,tx,copy,1,2048,3775.43
65536,tx,copy,2,2048,3776.00
65536,tx,copy,3,2048,3777.09
65536,tx,lease,1,2048,1701.71
65536,tx,lease,2,2048,1700.87
65536,tx,lease,3,2048,1702.34
65536,rx,copy,1,2048,2063.68
65536,rx,copy,2,2048,2064.36
65536,rx,copy,3,2048,2066.08
65536,rx,lease,1,2048,34.79
65536,rx,lease,2,2048,34.83
65536,rx,lease,3,2048,34.82
