size,direction,mode,rep,iterations,ns_per_message
64,tx,copy,1,2097152,51.28
64,tx,copy,2,2097152,50.38
64,tx,copy,3,2097152,50.62
64,tx,lease,1,2097152,46.03
64,tx,lease,2,2097152,45.85
64,tx,lease,3,2097152,45.84
64,rx,copy,1,2097152,49.89
64,rx,copy,2,2097152,49.87
64,rx,copy,3,2097152,49.88
64,rx,lease,1,2097152,43.86
64,rx,lease,2,2097152,38.41
64,rx,lease,3,2097152,38.26
1024,tx,copy,1,131072,74.95
1024,tx,copy,2,131072,75.00
1024,tx,copy,3,131072,74.88
1024,tx,lease,1,131072,69.22
1024,tx,lease,2,131072,68.76
1024,tx,lease,3,131072,69.73
1024,rx,copy,1,131072,54.14
1024,rx,copy,2,131072,53.88
1024,rx,copy,3,131072,55.03
1024,rx,lease,1,131072,39.05
1024,rx,lease,2,131072,38.65
1024,rx,lease,3,131072,38.63
8192,tx,copy,1,16384,303.05
8192,tx,copy,2,16384,302.80
8192,tx,copy,3,16384,302.91
8192,tx,lease,1,16384,246.17
8192,tx,lease,2,16384,245.51
8192,tx,lease,3,16384,244.77
8192,rx,copy,1,16384,120.05
8192,rx,copy,2,16384,119.85
8192,rx,copy,3,16384,119.96
8192,rx,lease,1,16384,35.45
8192,rx,lease,2,16384,35.48
8192,rx,lease,3,16384,35.41
65536,tx,copy,1,2048,3743.32
65536,tx,copy,2,2048,3742.40
65536,tx,copy,3,2048,3739.82
65536,tx,lease,1,2048,1700.15
65536,tx,lease,2,2048,1701.21
65536,tx,lease,3,2048,1709.96
65536,rx,copy,1,2048,2086.69
65536,rx,copy,2,2048,2087.80
65536,rx,copy,3,2048,2085.95
65536,rx,lease,1,2048,38.88
65536,rx,lease,2,2048,39.16
65536,rx,lease,3,2048,35.93
