size,direction,mode,rep,iterations,ns_per_message
64,tx,copy,1,2097152,25.54
64,tx,copy,2,2097152,25.56
64,tx,copy,3,2097152,25.55
64,rx,copy,1,2097152,35.86
64,rx,copy,2,2097152,35.87
64,rx,copy,3,2097152,35.86
1024,tx,copy,1,131072,79.12
1024,tx,copy,2,131072,79.23
1024,tx,copy,3,131072,79.18
1024,rx,copy,1,131072,70.44
1024,rx,copy,2,131072,70.42
1024,rx,copy,3,131072,70.44
8192,tx,copy,1,16384,397.80
8192,tx,copy,2,16384,397.58
8192,tx,copy,3,16384,397.53
8192,rx,copy,1,16384,312.01
8192,rx,copy,2,16384,311.25
8192,rx,copy,3,16384,312.35
65536,tx,copy,1,2048,3451.92
65536,tx,copy,2,2048,3451.26
65536,tx,copy,3,2048,3459.46
65536,rx,copy,1,2048,2115.57
65536,rx,copy,2,2048,2114.59
65536,rx,copy,3,2048,2114.89
