size,direction,mode,rep,iterations,ns_per_message
64,tx,copy,1,2097152,34.89
64,tx,copy,2,2097152,35.78
64,tx,copy,3,2097152,35.44
64,rx,copy,1,2097152,37.55
64,rx,copy,2,2097152,37.39
64,rx,copy,3,2097152,37.66
1024,tx,copy,1,131072,66.90
1024,tx,copy,2,131072,67.18
1024,tx,copy,3,131072,67.18
1024,rx,copy,1,131072,46.81
1024,rx,copy,2,131072,46.78
1024,rx,copy,3,131072,46.79
8192,tx,copy,1,16384,293.00
8192,tx,copy,2,16384,292.81
8192,tx,copy,3,16384,293.35
8192,rx,copy,1,16384,113.27
8192,rx,copy,2,16384,113.83
8192,rx,copy,3,16384,113.88
65536,tx,copy,1,2048,3720.54
65536,tx,copy,2,2048,3719.74
65536,tx,copy,3,2048,3725.12
65536,rx,copy,1,2048,2054.02
65536,rx,copy,2,2048,2054.52
65536,rx,copy,3,2048,2055.31
