size,direction,mode,rep,iterations,ns_per_message
64,tx,copy,1,2097152,42.01
64,tx,copy,2,2097152,39.84
64,tx,copy,3,2097152,41.18
64,rx,copy,1,2097152,47.71
64,rx,copy,2,2097152,47.87
64,rx,copy,3,2097152,47.67
1024,tx,copy,1,131072,79.62
1024,tx,copy,2,131072,80.25
1024,tx,copy,3,131072,79.87
1024,rx,copy,1,131072,57.81
1024,rx,copy,2,131072,57.77
1024,rx,copy,3,131072,57.83
8192,tx,copy,1,16384,329.24
8192,tx,copy,2,16384,332.12
8192,tx,copy,3,16384,329.52
8192,rx,copy,1,16384,134.17
8192,rx,copy,2,16384,134.14
8192,rx,copy,3,16384,134.11
65536,tx,copy,1,2048,4226.46
65536,tx,copy,2,2048,4224.35
65536,tx,copy,3,2048,4222.88
65536,rx,copy,1,2048,2336.21
65536,rx,copy,2,2048,2337.96
65536,rx,copy,3,2048,2336.60
