arm,channels,reactors,frame,rep,offered,achieved,ratio,p50_us,p99_us,p999_us,fail,drops,pending,worker_fail,credit_hold_dropped,eq_budget_exhausted,client_core,server_core,client_app_core,client_sidecar_core,server_app_core,server_sidecar_core,dpu_core_total,dpu_core_workers,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,window_s
base,1,8,64,1,100,100.0,1.0000,1681.00,2229.00,4152.00,0,0,0,0,0,0,0.0434,0.0473,0.0382,0.0000,0.0424,0.0000,0.115777,0.101884,0.004631,0.006175,0.004631,0.004631,0.067923,0.004631,0.004631,0.004631,0,0,0,0,0,0,0,0,6.4779
base,1,8,64,2,100,100.0,1.0000,1597.00,2143.00,2255.00,0,0,0,0,0,0,0.0423,0.0458,0.0376,0.0000,0.0411,0.0000,0.116103,0.102171,0.004644,0.006192,0.004644,0.004644,0.004644,0.068115,0.004644,0.004644,0,0,0,0,0,0,0,0,6.4597
base,1,8,64,1,500,500.0,1.0000,1158.00,1804.00,2188.00,0,0,0,0,0,0,0.1301,0.1602,0.1135,0.0000,0.1443,0.0000,0.363993,0.339210,0.004647,0.004647,0.004647,0.007744,0.003098,0.004647,0.305133,0.004647,0,0,0,0,0,0,0,0,6.4562
base,1,8,64,2,500,500.0,1.0000,1123.00,1862.00,7071.00,0,0,0,0,0,0,0.1247,0.1574,0.1077,0.0000,0.1413,0.0000,0.367228,0.342540,0.004629,0.006172,0.003086,0.004629,0.004629,0.004629,0.003086,0.311680,0,0,0,0,0,0,0,0,6.4810
base,1,8,64,1,1000,1000.0,1.0000,989.00,1784.00,7771.00,0,0,0,0,0,0,0.1842,0.2445,0.1634,0.0000,0.2229,0.0000,0.664551,0.634220,0.599752,0.005515,0.006894,0.005515,0.002757,0.004136,0.005515,0.004136,0,0,0,0,0,0,0,0,7.2530
base,1,8,64,2,1000,1000.0,1.0000,991.00,1788.00,2217.00,0,0,0,0,0,0,0.1777,0.2354,0.1565,0.0000,0.2147,0.0000,0.681855,0.654150,0.003078,0.624904,0.004618,0.004618,0.004618,0.004618,0.004618,0.003078,0,0,0,0,0,0,0,0,6.4970
base,8,8,64,1,10000,10000.0,1.0000,614.00,1228.00,2996.00,0,0,0,0,0,0,0.8957,0.9657,0.8391,0.0000,0.9125,0.0000,4.235757,4.098222,0.491416,0.553229,0.497597,0.577954,0.505324,0.486780,0.497597,0.488325,0,0,0,0,0,0,0,0,6.4711
base,8,8,64,2,10000,10000.0,1.0000,611.00,1170.00,2628.00,0,0,0,0,0,0,0.8984,0.9422,0.8413,0.0000,0.8903,0.0000,4.235585,4.097618,0.489016,0.553401,0.498214,0.580994,0.504346,0.487483,0.499747,0.484417,0,0,0,0,0,0,0,0,6.5233
base,8,8,64,1,90000,89992.0,0.9999,2881.00,15166.00,27721.00,0,0,0,0,0,0,3.7521,4.6048,3.6906,0.0000,4.5415,0.0000,7.954424,7.845836,0.977288,0.987994,0.981877,0.983406,0.978818,0.980347,0.977288,0.978818,0,0,0,0,0,0,0,0,6.5385
h2,1,8,64,1,100,100.0,1.0000,1598.00,2216.00,5160.00,0,0,0,0,0,0,0.0422,0.0453,0.0372,0.0000,0.0404,0.0000,0.110881,0.095481,0.004620,0.003080,0.066221,0.004620,0.003080,0.004620,0.004620,0.004620,0,0,0,0,0,0,0,0,6.4934
