stage,fixture,arm,expected,observed,verdict,rcnt,fail,admitted,denied,route_hits,target_mismatch,note
S0,no route,grpc-dpumesh,serve,serve,PASS,7971,0,1,0,0,0,baseline for the surfaces scope
S1,timeout 10s,grpc-dpumesh,serve,serve,PASS,7888,0,1,0,7989,0,a generous timeout changes nothing
S2,timeout 1ms,grpc-dpumesh,refuse,refuse,PASS,7968,4,1,0,8072,0,shorter than the round trip
S3a,1-in-50 failures, no retry policy,grpc-dpumesh,refuse,refuse,PASS,6483,134,1,0,6717,0,the failures reach the client
S3b,1-in-50 failures, retry limit 3,grpc-dpumesh,serve,refuse,FAIL,6465,134,1,0,6699,0,the retry policy absorbs them
S4,method POST,grpc-dpumesh,serve,serve,PASS,6618,0,1,0,6718,0,gRPC is POST
S5,method GET,grpc-dpumesh,refuse,refuse,PASS,0,23634,1,0,0,0,no rule matches
S6,header content-type: application/grpc,grpc-dpumesh,serve,serve,PASS,6609,0,1,0,6710,0,every gRPC request carries it
S7,header content-type: application/json,grpc-dpumesh,refuse,refuse,PASS,0,23718,1,0,0,0,no rule matches
S8,GRPCRoute on the called method,grpc-dpumesh,serve,serve,PASS,6561,0,1,0,0,0,grpc.testing.BenchmarkService/UnaryCall
S9,GRPCRoute on another method,grpc-dpumesh,refuse,refuse,PASS,0,23473,1,0,0,0,no rule matches
S10,Server on the protocol-aware Service, no authorization,grpc-dpumesh,refuse,refuse,PASS,0,293,0,586,0,0,deny by default
S11,AuthorizationPolicy targeting the HTTPRoute,grpc-dpumesh,serve,refuse,FAIL,0,408,0,570,0,0,the route authorizes the caller
S12,the same policy naming another identity,grpc-dpumesh,refuse,refuse,PASS,0,76,0,152,0,0,negative control for route authorization
S13,failure accrual with a failing backend,grpc-dpumesh,broken,broken,PASS,,,,,,,ready_endpoints=0
S14,the backend recovered,grpc-dpumesh,ready,broken,FAIL,,,,,,,ready_endpoints=0
S15,HTTP/1.1 request-response,http1,serve,serve,PASS,6791,0,1,0,0,0,the only HTTP/1 workload in the tree
R0,no route,grpc-dpumesh,serve,serve,PASS,6698,0,1,0,0,0,served by the default route
R1,HTTPRoute matching the method,grpc-dpumesh,serve,refuse,FAIL,0,0,0,0,0,0,route_hits must be > 0
R2,HTTPRoute matching nothing,grpc-dpumesh,refuse,refuse,PASS,0,0,0,0,0,0,no rule matches
R3,HTTPRoute to another Service,grpc-dpumesh,serve,refuse,FAIL,0,0,0,0,0,0,liveness guards the dial, not Service identity
R4,no route,grpc-dpumesh,serve,serve,PASS,6297,0,1,0,0,0,returned to the default route
X0,no route,grpc-dpumesh,serve,refuse,FAIL,0,0,0,0,0,0,baseline for the cross scope
X1,backendRef in another Service,grpc-dpumesh,serve,refuse,FAIL,0,0,0,0,0,0,target_mismatch must stay flat
X1b,attribution,grpc-dpumesh,served,none,FAIL,,,,,,,served: none
X2,Server on the destination Service, no authorization,grpc-dpumesh,refuse,refuse,PASS,0,0,0,0,0,0,graded by the callee
X2v,the destination refused,grpc-dpumesh,refused,silent,FAIL,,,0,0,,,denied+=0 admitted+=0
X2b,the destination Server withdrawn,grpc-dpumesh,serve,refuse,FAIL,0,0,0,0,0,0,the route works again
X3,weighted 50/50 across two Services,grpc-dpumesh,serve,refuse,FAIL,0,0,2,0,0,0,both destinations must serve
X3b,split,grpc-dpumesh,both,one,FAIL,,,,,,,A{none} B{none}
X4,no route,grpc-dpumesh,serve,serve,PASS,6495,0,1,0,0,0,returned to the default route
F1-1ch,one Service two backends,grpc-dpumesh,2,0,FAIL,,,,,,0,served: none
F1-4ch,one Service two backends,grpc-dpumesh,2,0,FAIL,,,,,,0,served: none
F1r,one backend restored,grpc-dpumesh,serve,refuse,FAIL,0,0,0,0,0,0,the Service is healthy again
I0,caBundle published,present,present,PASS,
I1,inject-echo,injected,injected,PASS,
I2,plain-echo,bare,bare,PASS,
I3,meshed traffic,serve,refuse,FAIL,rcnt=0 fail=1 admitted+=0
I3b,meshed verdict,yes,no,FAIL,
I4,unmeshed traffic,serve,serve,PASS,rcnt=424093 fail=0 admitted+=0
I4b,unmeshed verdict,no,no,PASS,
