stage,fixture,arm,expected,observed,verdict,rcnt,fail,admitted,denied,route_hits,target_mismatch,note
F1-1ch,one Service two backends,grpc-dpumesh,2,2,PASS,17220,0,,,,0,served: echo-grpc-dpumesh-84546996c7-tc5n8=8664 echo-grpc-dpumesh-84546996c7-v26cv=8664 
F1-4ch,one Service two backends,grpc-dpumesh,2,2,PASS,80664,0,,,,0,served: echo-grpc-dpumesh-84546996c7-tc5n8=40603 echo-grpc-dpumesh-84546996c7-v26cv=40493 
F1-1ch,one Service two backends,grpc-dpumesh,2,2,PASS,16978,0,,,,0,served: echo-grpc-dpumesh-84546996c7-5g47k=8542 echo-grpc-dpumesh-84546996c7-tc5n8=8544 
F1-4ch,one Service two backends,grpc-dpumesh,2,2,PASS,73606,0,,,,0,served: echo-grpc-dpumesh-84546996c7-5g47k=36991 echo-grpc-dpumesh-84546996c7-tc5n8=37047 
F1r,one backend restored,grpc-dpumesh,serve,serve,PASS,7973,0,1,0,0,0,the Service is healthy again
S0,no route,grpc-dpumesh,serve,serve,PASS,8045,0,1,0,0,0,baseline for the surfaces scope
S1,timeout 10s,grpc-dpumesh,serve,serve,PASS,8004,0,1,0,8105,0,a generous timeout changes nothing
S2,timeout 1ms,grpc-dpumesh,refuse,refuse,PASS,7859,4,1,0,7963,0,shorter than the proxy's own request
S2v,the route timed requests out,grpc-dpumesh,fired,fired,PASS,,,,,,,REQUEST_TIMEOUT+=4
S3a,1-in-50 failures; no retry policy,grpc-dpumesh,refuse,refuse,PASS,6699,138,1,0,0,0,the failures reach the client
S3b,1-in-50 failures; retry limit 3,grpc-dpumesh,serve,serve,PASS,4280,0,1,0,0,0,the retry policy absorbs them
S3v,the route retried the failures,grpc-dpumesh,fired,fired,PASS,,,,,,,retry_requests+=90
S4,method POST,grpc-dpumesh,serve,serve,PASS,6432,0,1,0,6533,0,gRPC is POST
S5,method GET,grpc-dpumesh,refuse,refuse,PASS,0,26574,1,0,0,0,no rule matches
S6,header content-type: application/grpc,grpc-dpumesh,serve,serve,PASS,6895,0,1,0,6996,0,every gRPC request carries it
S7,header content-type: application/json,grpc-dpumesh,refuse,refuse,PASS,0,25294,1,0,0,0,no rule matches
S8,GRPCRoute on the called method,grpc-dpumesh,serve,serve,PASS,6799,0,1,0,0,0,grpc.testing.BenchmarkService/UnaryCall
S9,GRPCRoute on another method,grpc-dpumesh,refuse,refuse,PASS,0,24519,1,0,0,0,no rule matches
S10,Server on the protocol-aware Service; no authorization,grpc-dpumesh,refuse,refuse,PASS,0,595,0,1029,0,0,deny by default
S11,AuthorizationPolicy targeting the GRPCRoute,grpc-dpumesh,serve,serve,PASS,6742,0,1,0,0,0,the route authorizes the caller
S12,the same policy naming another identity,grpc-dpumesh,refuse,refuse,PASS,0,130,0,260,0,0,negative control for route authorization
S13,a failing endpoint beside a healthy one,grpc-dpumesh,serve,serve,PASS,6384,3,2,0,0,0,the breaker ejects it and the client keeps serving
S13v,the breaker ejected the failing endpoint,grpc-dpumesh,ejected,ejected,PASS,,,,,,,healthy=6485 broken=3
S14,the failing endpoint withdrawn,grpc-dpumesh,serve,nodata,FAIL,,,,,,,the client did not answer
S15,HTTP/1.1 request-response,http1,serve,serve,PASS,6832,0,1,0,0,0,the only HTTP/1 workload in the tree
S0,no route,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S1,timeout 10s,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S2,timeout 1ms,grpc-dpumesh,refuse,error,FAIL,,,,,,,ERR connect failed on channel 0
S2v,the route timed requests out,grpc-dpumesh,fired,silent,FAIL,,,,,,,REQUEST_TIMEOUT+=0
S3a,1-in-50 failures; no retry policy,grpc-dpumesh,refuse,refuse,PASS,6128,127,1,0,0,0,the failures reach the client
S3b,1-in-50 failures; retry limit 3,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S3v,the route retried the failures,grpc-dpumesh,fired,silent,FAIL,,,,,,,retry_requests+=0
S4,method POST,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S5,method GET,grpc-dpumesh,refuse,error,FAIL,,,,,,,ERR connect failed on channel 0
S6,header content-type: application/grpc,grpc-dpumesh,serve,serve,PASS,6718,0,1,0,6819,0,every gRPC request carries it
S7,header content-type: application/json,grpc-dpumesh,refuse,error,FAIL,,,,,,,ERR connect failed on channel 0
S8,GRPCRoute on the called method,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S9,GRPCRoute on another method,grpc-dpumesh,refuse,error,FAIL,,,,,,,ERR connect failed on channel 0
S10,Server on the protocol-aware Service; no authorization,grpc-dpumesh,refuse,refuse,PASS,0,1,0,2,0,0,deny by default
S11,AuthorizationPolicy targeting the GRPCRoute,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S12,the same policy naming another identity,grpc-dpumesh,refuse,error,FAIL,,,,,,,ERR connect failed on channel 0
S13,a failing endpoint beside a healthy one,grpc-dpumesh,serve,serve,PASS,6657,3,2,0,0,0,the breaker ejects it and the client keeps serving
S13v,the breaker ejected the failing endpoint,grpc-dpumesh,ejected,ejected,PASS,,,,,,,healthy=6758 broken=3
S14,the failing endpoint withdrawn,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S15,HTTP/1.1 request-response,http1,serve,serve,PASS,7071,0,1,0,0,0,the only HTTP/1 workload in the tree
