stage,fixture,arm,expected,observed,verdict,rcnt,fail,admitted,denied,route_hits,target_mismatch,note
R0,no route,grpc-dpumesh,serve,serve,PASS,8632,0,1,0,0,0,served by the default route
R1,HTTPRoute matching the method,grpc-dpumesh,serve,serve,PASS,7822,0,1,0,7923,0,route_hits must be > 0
R2,HTTPRoute matching nothing,grpc-dpumesh,refuse,refuse,PASS,0,23714,1,0,0,0,no rule matches
R3,HTTPRoute to another Service,grpc-dpumesh,serve,serve,PASS,6936,0,2,0,7036,0,liveness guards the dial; not Service identity
R4,no route,grpc-dpumesh,serve,serve,PASS,8042,0,1,0,0,0,returned to the default route
X0,no route,grpc-dpumesh,serve,serve,PASS,8255,0,1,0,0,0,baseline for the cross scope
X1,backendRef in another Service,grpc-dpumesh,serve,serve,PASS,6807,0,2,0,6908,0,target_mismatch must stay flat
X1b,attribution,grpc-dpumesh,served,served,PASS,,,,,,,served: echo-grpc-alt-774bbbccb5-k6hnn=6908 
X2,Server on the destination Service; no authorization,grpc-dpumesh,refuse,refuse,PASS,0,591,974,513,0,0,graded by the callee
X2v,the destination refused,grpc-dpumesh,refused,refused,PASS,,,974,513,,,denied+=513 admitted+=974
X2b,the destination Server withdrawn,grpc-dpumesh,serve,serve,PASS,6667,0,2,0,6767,0,the route works again
X3,weighted 50/50 across two Services,grpc-dpumesh,serve,serve,PASS,36569,0,8,0,36972,0,both destinations must serve
X3b,split,grpc-dpumesh,both,both,PASS,,,,,,,A{echo-grpc-dpumesh-84546996c7-4znm9=18386 } B{echo-grpc-alt-774bbbccb5-k6hnn=18587 }
X4,no route,grpc-dpumesh,serve,serve,PASS,9100,0,1,0,0,0,returned to the default route
F1-1ch,one Service two backends,grpc-dpumesh,2,2,PASS,16594,0,,,,0,served: echo-grpc-dpumesh-84546996c7-4hv8n=8350 echo-grpc-dpumesh-84546996c7-4znm9=8352 
F1-4ch,one Service two backends,grpc-dpumesh,2,2,PASS,80909,0,,,,0,served: echo-grpc-dpumesh-84546996c7-4hv8n=40581 echo-grpc-dpumesh-84546996c7-4znm9=40760 
F1r,one backend restored,grpc-dpumesh,serve,serve,PASS,8338,0,1,0,0,0,the Service is healthy again
S0,no route,grpc-dpumesh,serve,serve,PASS,8282,0,1,0,0,0,baseline for the surfaces scope
S1,timeout 10s,grpc-dpumesh,serve,serve,PASS,8049,0,1,0,8150,0,a generous timeout changes nothing
S2,timeout 1ms,grpc-dpumesh,refuse,refuse,PASS,7708,4,1,0,7812,0,shorter than the proxy's own request
S2v,the route timed requests out,grpc-dpumesh,fired,fired,PASS,,,,,,,REQUEST_TIMEOUT+=4
S3a,1-in-50 failures; no retry policy,grpc-dpumesh,refuse,refuse,PASS,6575,136,1,0,0,0,the failures reach the client
S3b,1-in-50 failures; retry limit 3,grpc-dpumesh,serve,serve,PASS,4200,0,1,0,0,0,the retry policy absorbs them
S3v,the route retried the failures,grpc-dpumesh,fired,fired,PASS,,,,,,,retry_requests+=87
S4,method POST,grpc-dpumesh,serve,serve,PASS,6650,0,1,0,6751,0,gRPC is POST
S5,method GET,grpc-dpumesh,refuse,refuse,PASS,0,25053,1,0,0,0,no rule matches
S6,header content-type: application/grpc,grpc-dpumesh,serve,serve,PASS,6771,0,1,0,6871,0,every gRPC request carries it
S7,header content-type: application/json,grpc-dpumesh,refuse,refuse,PASS,0,23978,1,0,0,0,no rule matches
S8,GRPCRoute on the called method,grpc-dpumesh,serve,serve,PASS,6838,0,1,0,0,0,grpc.testing.BenchmarkService/UnaryCall
S9,GRPCRoute on another method,grpc-dpumesh,refuse,refuse,PASS,0,24052,1,0,0,0,no rule matches
S10,Server on the protocol-aware Service; no authorization,grpc-dpumesh,refuse,refuse,PASS,0,591,0,1027,0,0,deny by default
S11,AuthorizationPolicy targeting the GRPCRoute,grpc-dpumesh,serve,serve,PASS,6470,0,1,0,0,0,the route authorizes the caller
S12,the same policy naming another identity,grpc-dpumesh,refuse,refuse,PASS,0,136,0,272,0,0,negative control for route authorization
S13,a failing endpoint beside a healthy one,grpc-dpumesh,serve,serve,PASS,6664,3,2,0,0,0,the breaker ejects it and the client keeps serving
S13v,the breaker ejected the failing endpoint,grpc-dpumesh,ejected,ejected,PASS,,,,,,,healthy=6765 broken=3
S14,the failing endpoint withdrawn,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S15,HTTP/1.1 request-response,http1,serve,serve,PASS,6815,0,1,0,0,0,the only HTTP/1 workload in the tree
