stage,fixture,arm,expected,observed,verdict,rcnt,fail,admitted,denied,route_hits,target_mismatch,note
S0,no route,grpc-dpumesh,serve,serve,PASS,5836,0,1,0,0,0,baseline for the surfaces scope
S1,timeout 10s,grpc-dpumesh,serve,serve,PASS,5639,0,1,0,5740,0,a generous timeout changes nothing
S2,timeout 1ms,grpc-dpumesh,refuse,refuse,PASS,5631,7,1,0,5738,0,shorter than the proxy's own request
S2v,the route timed requests out,grpc-dpumesh,fired,fired,PASS,,,,,,,REQUEST_TIMEOUT+=7
S3a,1-in-50 failures, no retry policy,grpc-dpumesh,refuse,refuse,PASS,5445,113,1,0,5658,0,the failures reach the client
S3b,1-in-50 failures, retry limit 3,grpc-dpumesh,serve,refuse,FAIL,5562,115,1,0,5778,0,the retry policy absorbs them
S4,method POST,grpc-dpumesh,serve,serve,PASS,5424,0,1,0,5525,0,gRPC is POST
S5,method GET,grpc-dpumesh,refuse,refuse,PASS,0,15706,1,0,0,0,no rule matches
S6,header content-type: application/grpc,grpc-dpumesh,serve,serve,PASS,5750,0,1,0,5851,0,every gRPC request carries it
S7,header content-type: application/json,grpc-dpumesh,refuse,refuse,PASS,0,14922,1,0,0,0,no rule matches
S8,GRPCRoute on the called method,grpc-dpumesh,serve,serve,PASS,5688,0,1,0,0,0,grpc.testing.BenchmarkService/UnaryCall
S9,GRPCRoute on another method,grpc-dpumesh,refuse,refuse,PASS,0,17435,1,0,0,0,no rule matches
S10,Server on the protocol-aware Service, no authorization,grpc-dpumesh,refuse,refuse,PASS,0,511,0,1022,-23334,0,deny by default
S11,AuthorizationPolicy targeting the HTTPRoute,grpc-dpumesh,serve,refuse,FAIL,0,7,0,14,0,0,the route authorizes the caller
S12,the same policy naming another identity,grpc-dpumesh,refuse,refuse,PASS,0,7,0,14,0,0,negative control for route authorization
S0,no route,grpc-dpumesh,serve,serve,PASS,5572,0,1,0,0,0,baseline for the surfaces scope
S1,timeout 10s,grpc-dpumesh,serve,serve,PASS,5715,0,1,0,5815,0,a generous timeout changes nothing
S2,timeout 1ms,grpc-dpumesh,refuse,refuse,PASS,5662,4,1,0,5767,0,shorter than the proxy's own request
S2v,the route timed requests out,grpc-dpumesh,fired,fired,PASS,,,,,,,REQUEST_TIMEOUT+=4
S3a,1-in-50 failures, no retry policy,grpc-dpumesh,refuse,refuse,PASS,5112,106,1,0,5318,0,the failures reach the client
S3b,1-in-50 failures, retry limit 3,grpc-dpumesh,serve,refuse,FAIL,5385,112,1,0,5598,0,the retry policy absorbs them
S4,method POST,grpc-dpumesh,serve,serve,PASS,5621,0,1,0,5721,0,gRPC is POST
S5,method GET,grpc-dpumesh,refuse,refuse,PASS,0,15356,1,0,0,0,no rule matches
S6,header content-type: application/grpc,grpc-dpumesh,serve,serve,PASS,5768,0,1,0,5868,0,every gRPC request carries it
S7,header content-type: application/json,grpc-dpumesh,refuse,refuse,PASS,0,16528,1,0,0,0,no rule matches
S8,GRPCRoute on the called method,grpc-dpumesh,serve,serve,PASS,5695,0,1,0,0,0,grpc.testing.BenchmarkService/UnaryCall
S9,GRPCRoute on another method,grpc-dpumesh,refuse,refuse,PASS,0,15540,1,0,0,0,no rule matches
S10,Server on the protocol-aware Service, no authorization,grpc-dpumesh,refuse,refuse,PASS,0,506,0,1012,-30513,0,deny by default
S11,AuthorizationPolicy targeting the HTTPRoute,grpc-dpumesh,serve,refuse,FAIL,0,6,0,12,0,0,the route authorizes the caller
S12,the same policy naming another identity,grpc-dpumesh,refuse,refuse,PASS,0,7,0,14,0,0,negative control for route authorization
S13,a failing endpoint beside a healthy one,grpc-dpumesh,serve,refuse,FAIL,5849,3,2,0,0,0,the breaker ejects it and the client keeps serving
S13v,the breaker ejected the failing endpoint,grpc-dpumesh,ejected,ejected,PASS,,,,,,,healthy=5950 broken=3
S14,the failing endpoint withdrawn,grpc-dpumesh,serve,serve,PASS,5786,0,1,0,0,0,the Service is healthy again
S15,HTTP/1.1 request-response,http1,serve,serve,PASS,6909,0,1,0,0,0,the only HTTP/1 workload in the tree
