stage,fixture,arm,expected,observed,verdict,rcnt,fail,admitted,denied,route_hits,target_mismatch,note
S0,no route,grpc-dpumesh,serve,serve,PASS,5648,0,1,0,0,0,baseline for the surfaces scope
S1,timeout 10s,grpc-dpumesh,serve,serve,PASS,5602,0,1,0,5702,0,a generous timeout changes nothing
S2,timeout 1ms,grpc-dpumesh,refuse,refuse,PASS,5646,10,1,0,5756,0,shorter than the proxy's own request
S2v,the route timed requests out,grpc-dpumesh,fired,fired,PASS,,,,,,,REQUEST_TIMEOUT+=10
S3a,1-in-50 failures, no retry policy,grpc-dpumesh,refuse,refuse,PASS,5370,111,1,0,5581,0,the failures reach the client
S3b,1-in-50 failures, retry limit 3,grpc-dpumesh,serve,refuse,FAIL,5494,114,1,0,5708,0,the retry policy absorbs them
S4,method POST,grpc-dpumesh,serve,serve,PASS,5527,0,1,0,5627,0,gRPC is POST
S5,method GET,grpc-dpumesh,refuse,refuse,PASS,0,15140,1,0,0,0,no rule matches
S6,header content-type: application/grpc,grpc-dpumesh,serve,serve,PASS,5716,0,1,0,5816,0,every gRPC request carries it
S7,header content-type: application/json,grpc-dpumesh,refuse,refuse,PASS,0,15658,1,0,0,0,no rule matches
S8,GRPCRoute on the called method,grpc-dpumesh,serve,serve,PASS,5750,0,1,0,0,0,grpc.testing.BenchmarkService/UnaryCall
S9,GRPCRoute on another method,grpc-dpumesh,refuse,refuse,PASS,0,16146,1,0,0,0,no rule matches
S10,Server on the protocol-aware Service, no authorization,grpc-dpumesh,refuse,refuse,PASS,0,502,-1078,-6075,-30345,0,deny by default
S11,AuthorizationPolicy targeting the HTTPRoute,grpc-dpumesh,serve,refuse,FAIL,0,9,0,0,0,0,the route authorizes the caller
S12,the same policy naming another identity,grpc-dpumesh,refuse,nodata,FAIL,,,,,,,the client did not answer
S13,a failing endpoint beside a healthy one,grpc-dpumesh,serve,refuse,FAIL,5805,4,0,0,0,0,the breaker ejects it and the client keeps serving
S13v,the breaker ejected the failing endpoint,grpc-dpumesh,ejected,ejected,PASS,,,,,,,healthy=5906 broken=4
S14,the failing endpoint withdrawn,grpc-dpumesh,serve,serve,PASS,5735,0,0,0,0,0,the Service is healthy again
S15,HTTP/1.1 request-response,http1,serve,serve,PASS,6931,0,0,0,0,0,the only HTTP/1 workload in the tree
