build,frame_bytes,total_concurrency,achieved_rps,p50_us,p99_us,client_cores,server_cores,dpu_arm_cores,arm_us_per_request
forced-flush,64,64,25450,2508,3352,1.1399,1.8587,7.8097,306.864
native-coalescing,64,64,33578,1968,2803,1.5383,2.4599,7.2969,217.313
forced-flush,64,256,29294,8658,11877,1.0056,1.7643,7.9518,271.448
native-coalescing,64,256,58150,4063,6454,1.7769,3.1795,7.3210,125.899
native-coalescing,64,512,66747,6662,11455,1.7531,3.3433,7.2326,108.358
native-coalescing,64,1024,71915,12121,22477,1.6659,3.5417,7.3324,101.959
forced-flush,1024,64,24446,2601,3532,1.1349,1.8323,7.8088,319.430
native-coalescing,1024,64,32593,2022,2882,1.5606,2.4860,7.3560,225.691
forced-flush,1024,256,27852,9131,12173,0.9929,1.6953,7.9667,286.037
native-coalescing,1024,256,51031,4754,6985,1.6076,2.8747,7.5430,147.812
native-coalescing,1024,512,56263,8434,15198,1.5864,2.9790,7.7813,138.302
native-coalescing,1024,1024,58427,15052,24686,1.4549,2.8868,7.8337,134.077
forced-flush,8192,64,19420,3284,4184,1.1038,1.7208,8.0261,413.290
native-coalescing,8192,64,19297,3300,4074,0.9775,1.6329,7.4225,384.642
forced-flush,8192,256,19902,12696,15902,0.9029,1.4881,8.0056,402.251
native-coalescing,8192,256,22342,11211,14101,0.9582,1.6405,8.0002,358.079
