offered_rps,achieved_rps,ratio,p50_us,p99_us,p999_us,client_cores,server_cores,dpu_arm_cores,total_fail,total_drops,clean
8000,8000,1.0000,727,1032,1857,0.7987,0.8754,4.1830,0,0,yes
12000,12000,1.0000,731,1772,2100,1.0807,1.1143,6.0149,0,0,yes
16000,15999,0.9999,872,2080,2349,1.2518,1.4863,7.0078,0,0,yes
20000,20000,1.0000,1116,1984,4065,1.3680,1.7856,7.1058,0,0,yes
24000,23999,1.0000,1435,2066,2920,1.5254,2.1464,7.3040,0,0,yes
30000,29999,1.0000,1653,2579,3564,1.7501,2.4077,7.5837,0,0,yes
40000,40000,1.0000,2094,4961,10389,2.0795,2.8955,7.7043,0,0,yes
45000,44998,1.0000,2496,10863,15989,2.1926,3.2232,7.7143,0,0,yes
48000,36990,0.7706,2644,6011685,6011685,1.9141,2.8467,7.6329,0,15464,no
50000,39559,0.7912,2720,6734734,6734734,1.9736,2.6446,7.4149,0,62929,no
60000,47881,0.7980,3378,6757581,6757581,2.2260,2.8431,7.4570,1957,166350,no
70000,53180,0.7597,6290,7362625,7362625,2.3101,2.9637,7.5665,0,368189,no
