frame,window_per_worker,total_concurrency,achieved,p50_us,p99_us,p999_us,client_cores,server_cores,dpu_arm_cores
64,1,8,9167,803,1546,2446,0.8355,0.8490,5.3471
64,2,16,13124,1167,1895,2510,0.8745,0.9974,5.8870
64,4,32,18107,1714,2542,4620,0.9303,1.1778,6.5308
64,8,64,24588,2571,3668,4864,1.1350,1.6072,7.8045
64,16,128,27240,4657,6575,9197,1.0463,1.5520,7.9442
64,32,256,28323,8940,12000,17843,0.9522,1.3989,7.9562
1024,1,8,8870,837,1568,2363,0.8407,0.8954,5.2462
1024,2,16,12632,1212,1999,3362,0.8701,0.9800,5.8110
1024,4,32,17311,1796,2645,4497,0.9121,1.1249,6.4851
1024,8,64,23708,2660,3808,5624,1.1239,1.5794,7.7876
1024,16,128,26060,4885,6757,8161,1.0329,1.4978,7.9579
1024,32,256,26778,9471,12346,14935,0.9281,1.3458,7.9764
8192,1,8,8227,903,1668,3077,0.8715,0.8972,5.4962
8192,2,16,11457,1327,2189,3667,0.8937,1.0259,6.0878
8192,4,32,15268,2054,2855,4372,0.9724,1.2602,7.0251
8192,8,64,19210,3306,4647,7701,1.1066,1.4935,8.0282
8192,16,128,19736,6441,8137,14104,0.9626,1.3515,8.0272
8192,32,256,19791,12793,16006,20242,0.8700,1.2210,8.0131
