config,frame,threads,channels,window_per_worker,total_concurrency,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,drops,pending,worker_fail,credit_hold_dropped,eq_budget_exhausted,client_core,server_core,dpu_arm_cores,window_s
grpc-dpumesh,64,8,8,1,8,1,9466.0,788.00,1458.00,2410.00,844.92,0,0,0,0,0,0,0.8620,0.9239,5.4955,6.0261
grpc-dpumesh,64,8,8,1,8,2,9167.0,803.00,1546.00,2446.00,872.54,0,0,0,0,0,0,0.8298,0.8490,5.3471,6.0261
grpc-dpumesh,64,8,8,1,8,3,9070.0,812.00,1584.00,2838.00,881.87,0,0,0,0,0,0,0.8355,0.8422,5.2552,6.0254
grpc-dpumesh,64,8,8,2,16,1,13124.0,1167.00,1895.00,2510.00,1218.95,0,0,0,0,0,0,0.8656,0.9780,5.8870,6.0241
grpc-dpumesh,64,8,8,2,16,2,13213.0,1156.00,1888.00,2365.00,1210.70,0,0,0,0,0,0,0.9003,1.0314,5.9883,6.0263
grpc-dpumesh,64,8,8,2,16,3,12996.0,1175.00,1938.00,2711.00,1230.88,0,0,0,0,0,0,0.8745,0.9974,5.8414,6.0266
grpc-dpumesh,64,8,8,4,32,1,18162.0,1703.00,2542.00,5510.00,1761.63,0,0,0,0,0,0,0.9454,1.2155,6.5896,6.0139
grpc-dpumesh,64,8,8,4,32,2,16241.0,1760.00,3815.00,4620.00,1968.77,0,0,0,0,0,0,0.8850,1.1575,6.0317,6.0270
grpc-dpumesh,64,8,8,4,32,3,18107.0,1714.00,2526.00,3393.00,1767.02,0,0,0,0,0,0,0.9303,1.1778,6.5308,6.0272
grpc-dpumesh,64,8,8,8,64,1,24542.0,2578.00,3668.00,4620.00,2607.46,0,0,0,0,0,0,1.1236,1.6072,7.8045,6.0241
grpc-dpumesh,64,8,8,8,64,2,24694.0,2557.00,3668.00,5179.00,2591.37,0,0,0,0,0,0,1.1368,1.6255,7.8068,6.0257
grpc-dpumesh,64,8,8,8,64,3,24588.0,2571.00,3679.00,4864.00,2602.58,0,0,0,0,0,0,1.1350,1.6035,7.7884,6.0252
grpc-dpumesh,64,8,8,16,128,1,27240.0,4657.00,6575.00,9197.00,4699.02,0,0,0,0,0,0,1.0463,1.5691,7.9488,6.0274
grpc-dpumesh,64,8,8,16,128,2,27023.0,4677.00,6761.00,15443.00,4736.10,0,0,0,0,0,0,1.0460,1.5347,7.9260,6.0271
grpc-dpumesh,64,8,8,16,128,3,27362.0,4639.00,6496.00,8174.00,4678.06,0,0,0,0,0,0,1.0518,1.5520,7.9442,6.0209
grpc-dpumesh,64,8,8,32,256,1,28323.0,8940.00,12055.00,17843.00,9039.08,0,0,0,0,0,0,0.9539,1.3989,7.9500,6.0254
grpc-dpumesh,64,8,8,32,256,2,28425.0,8915.00,11978.00,17886.00,9005.20,0,0,0,0,0,0,0.9522,1.4100,7.9562,6.0234
grpc-dpumesh,64,8,8,32,256,3,28299.0,8968.00,12000.00,14997.00,9046.06,0,0,0,0,0,0,0.9522,1.3917,7.9687,6.0211
grpc-dpumesh,1024,8,8,1,8,1,8659.0,854.00,1625.00,2270.00,923.76,0,0,0,0,0,0,0.8203,0.8681,5.1105,6.0265
grpc-dpumesh,1024,8,8,1,8,2,9029.0,824.00,1511.00,2363.00,885.91,0,0,0,0,0,0,0.8579,0.9329,5.3462,6.0226
grpc-dpumesh,1024,8,8,1,8,3,8870.0,837.00,1568.00,2494.00,901.80,0,0,0,0,0,0,0.8407,0.8954,5.2462,6.0271
grpc-dpumesh,1024,8,8,2,16,1,12655.0,1205.00,1999.00,4256.00,1264.01,0,0,0,0,0,0,0.8701,0.9944,5.8194,6.0268
grpc-dpumesh,1024,8,8,2,16,2,12552.0,1217.00,2011.00,3362.00,1274.55,0,0,0,0,0,0,0.8768,0.9715,5.8110,6.0200
grpc-dpumesh,1024,8,8,2,16,3,12632.0,1212.00,1977.00,2796.00,1266.33,0,0,0,0,0,0,0.8691,0.9800,5.7977,6.0223
grpc-dpumesh,1024,8,8,4,32,1,17200.0,1810.00,2645.00,3475.00,1860.26,0,0,0,0,0,0,0.9121,1.1249,6.4237,6.0244
grpc-dpumesh,1024,8,8,4,32,2,17311.0,1796.00,2658.00,4663.00,1848.19,0,0,0,0,0,0,0.9061,1.1139,6.4851,6.0244
