channels,reactors,frame,rep,offered,achieved,ratio,p50_us,p99_us,p999_us,fail,drops,pending,worker_fail,credit_hold_dropped,eq_budget_exhausted,client_core,server_core,dpu_core_total,dpu_core_workers,w0,w1,w2,w3,w4,w5,w6,w7,window_s
8,8,64,1,8000,8000.0,1.0000,731.00,1281.00,3963.00,0,0,0,0,0,0,0.9522,1.0566,4.462803,4.238589,0.552860,0.526752,0.554395,0.562074,0.554395,0.543645,0.511395,0.433073,6.5116
8,8,64,2,8000,7999.0,0.9999,737.00,1223.00,2653.00,0,0,0,0,0,0,0.9566,1.0668,4.512386,4.280188,0.557276,0.527864,0.557276,0.568111,0.558824,0.555728,0.518576,0.436533,6.4600
8,8,64,3,8000,8000.0,1.0000,737.00,1199.00,2990.00,0,0,0,0,0,0,0.9575,1.0834,4.506882,4.276704,0.558565,0.529409,0.555496,0.564703,0.558565,0.555496,0.518667,0.435803,6.5167
8,8,64,1,12000,11999.0,0.9999,724.00,1503.00,10310.00,0,0,0,0,0,0,1.2671,1.3721,6.380483,6.127424,0.803926,0.765349,0.791581,0.802382,0.808555,0.786952,0.725230,0.643449,6.4807
8,8,64,2,12000,12000.0,1.0000,715.00,1441.00,4617.00,0,0,0,0,0,0,1.2797,1.4122,6.382309,6.126084,0.805667,0.759081,0.789225,0.807037,0.807037,0.786485,0.728937,0.642615,7.2983
8,8,64,3,12000,11999.0,0.9999,717.00,1427.00,3107.00,0,0,0,0,0,0,1.2691,1.3752,6.364474,6.117086,0.811309,0.760602,0.788261,0.805163,0.806699,0.782114,0.728334,0.634604,6.5080
8,8,64,1,16000,15999.0,0.9999,818.00,1874.00,6325.00,0,0,0,0,0,0,1.4547,1.6371,7.590191,7.347428,0.923422,0.920349,0.934177,0.938787,0.944933,0.935714,0.881937,0.868109,6.5084
8,8,64,2,16000,16000.0,1.0000,810.00,1587.00,3102.00,0,0,0,0,0,0,1.4634,1.6428,7.621936,7.375227,0.927075,0.917881,0.931672,0.948528,0.946996,0.940866,0.888766,0.873443,6.5259
8,8,64,3,16000,15999.0,0.9999,817.00,1790.00,4558.00,0,0,0,0,0,0,1.4547,1.6257,7.612929,7.366507,0.925626,0.917926,0.936407,0.945648,0.948729,0.941028,0.882502,0.868641,6.4929
8,8,64,1,20000,19999.0,1.0000,1225.00,2895.00,4106.00,0,0,0,0,0,0,1.4801,1.8324,7.900798,7.688882,0.968980,0.965909,0.967445,0.970516,0.972052,0.970516,0.941339,0.932125,6.5120
8,8,64,2,20000,19999.0,1.0000,1232.00,2942.00,5303.00,0,0,0,0,0,0,1.4862,1.8569,7.960401,7.749783,0.974680,0.974680,0.974680,0.977755,0.977755,0.977755,0.951620,0.940858,6.5047
8,8,64,3,20000,20000.0,1.0000,1224.00,2885.00,4104.00,0,0,0,0,0,0,1.4966,1.8479,7.965068,7.750214,0.975346,0.970709,0.976892,0.976892,0.978437,0.976892,0.952160,0.942886,6.4695
8,8,64,1,24000,23995.0,0.9998,2161.00,75646.00,393823.00,0,0,0,0,0,0,1.3866,1.7518,8.014693,7.867155,0.989734,0.989734,0.991271,0.975902,0.988197,0.988197,0.972828,0.971292,6.5068
8,8,64,2,24000,23970.0,0.9988,2195.00,24650.00,123475.00,0,0,0,0,0,0,1.3797,1.7545,8.019675,7.875480,0.990499,0.990499,0.991847,0.978371,0.989152,0.987804,0.974328,0.972980,7.4205
8,8,64,3,24000,23998.0,0.9999,2156.00,9313.00,19781.00,0,0,0,0,0,0,1.4034,1.7778,8.036359,7.888959,0.991878,0.988807,0.991878,0.987271,0.990342,0.990342,0.976524,0.971917,6.5129
8,8,64,1,28000,25320.0,0.9043,12186.00,5114273.90,5114273.90,0,0,0,0,0,0,1.1122,1.3352,7.791888,7.738077,0.997817,0.997817,0.997817,0.967067,0.902494,0.911719,0.970142,0.993204,6.5042
8,8,64,2,28000,26874.0,0.9598,11298.00,2698863.32,2698863.32,0,0,0,0,0,0,1.1325,1.3523,7.896599,7.839733,0.995912,0.997449,0.997449,0.969785,0.946731,0.965174,0.972858,0.994375,6.5066
8,8,64,3,28000,27866.0,0.9952,10162.00,415136.00,637936.00,0,0,0,0,0,0,1.1682,1.3976,7.943932,7.879521,0.998359,0.996825,0.996825,0.976889,0.969221,0.969221,0.978423,0.993758,6.5207
8,8,64,1,32000,30488.0,0.9527,150071.00,1473678.25,1473678.25,0,0,0,0,0,0,1.0884,1.1488,7.821144,7.798095,0.998771,0.998771,0.997234,0.944991,0.958820,0.952674,0.946527,1.000307,6.5080
8,8,64,2,32000,28729.0,0.8978,146036.00,3254283.71,3254283.71,0,0,0,0,0,0,1.0446,1.0731,7.744930,7.703422,0.997709,0.997709,1.000784,0.930068,0.940829,0.922382,0.916232,0.997709,6.5049
8,8,64,3,32000,30105.0,0.9408,131290.00,2627371.46,2627371.46,0,0,0,0,0,0,1.0854,1.1073,7.769529,7.746469,1.000784,0.999247,0.997709,0.953128,0.919307,0.917770,0.959277,0.999247,6.5049
