build,frame_bytes,total_concurrency,rep,achieved_rps,p50_us,p99_us,client_cores,server_cores,dpu_arm_cores
rust_global_jemalloc_no_lto,64,1024,1,97506,10783,14080,2.2722,4.4264,7.4036
rust_global_jemalloc_no_lto,64,1024,2,96450,10902,14237,2.2407,4.4633,7.3843
rust_global_jemalloc_no_lto,64,1024,3,96570,10894,14156,2.2393,4.4893,7.2847
rust_global_jemalloc_lto,64,1024,1,105461,10018,13155,2.4410,4.7381,7.2880
rust_global_jemalloc_lto,64,1024,2,104678,10104,12986,2.4100,4.7933,7.2811
rust_global_jemalloc_lto,64,1024,3,104566,10146,12884,2.4153,4.8201,7.2875
rust_global_jemalloc_no_lto,1024,1024,1,73952,13900,16919,1.8246,3.5613,7.9987
rust_global_jemalloc_no_lto,1024,1024,2,73932,13902,17432,1.8232,3.5870,8.0166
rust_global_jemalloc_no_lto,1024,1024,3,73883,13906,16950,1.8214,3.5583,8.0221
rust_global_jemalloc_lto,1024,1024,1,84845,12052,15888,2.1216,4.1301,8.0169
rust_global_jemalloc_lto,1024,1024,2,85240,12017,15783,2.1239,4.1697,8.0198
rust_global_jemalloc_lto,1024,1024,3,85178,12027,15444,2.1349,4.1589,8.0291
