transport,config,frame,threads,channels,window_per_worker,total_concurrency,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,drops,pending,worker_fail,credit_hold_dropped,eq_budget_exhausted,client_core,server_core,dpu_arm_cores,window_s
DPUmesh,grpc-dpumesh,64,8,8,128,1024,1,107075.0,9855.00,13092.00,20351.00,9568.04,0,0,0,0,0,0,2.4782,4.7594,7.2355,6.0264
DPUmesh,grpc-dpumesh,64,8,8,128,1024,2,106772.0,9924.00,12616.00,14477.00,9589.32,0,0,0,0,0,0,2.4631,4.8508,7.2719,6.0294
DPUmesh,grpc-dpumesh,64,8,8,128,1024,3,106600.0,9899.00,13117.00,16736.00,9606.21,0,0,0,0,0,0,2.4612,4.8885,7.2302,6.0259
DPUmesh,grpc-dpumesh,1024,8,8,128,1024,1,88713.0,11363.00,16110.00,22102.00,11542.81,0,0,0,0,0,0,2.1932,4.3611,7.9823,6.0255
DPUmesh,grpc-dpumesh,1024,8,8,128,1024,2,89403.0,11320.00,15078.00,17894.00,11453.79,0,0,0,0,0,0,2.2249,4.3631,8.0144,6.0266
DPUmesh,grpc-dpumesh,1024,8,8,128,1024,3,89120.0,11321.00,15867.00,22183.00,11489.31,0,0,0,0,0,0,2.2165,4.3618,7.9840,6.0270
DPUmesh,grpc-dpumesh,8192,8,8,128,1024,1,34276.0,29470.00,37383.00,43175.00,29857.96,0,0,0,0,0,0,1.2854,2.2267,8.0213,6.0228
DPUmesh,grpc-dpumesh,8192,8,8,128,1024,2,34278.0,29389.00,37593.00,40648.00,29869.95,0,0,0,0,0,0,1.2934,2.2277,8.0366,6.0224
DPUmesh,grpc-dpumesh,8192,8,8,128,1024,3,34308.0,29231.00,38627.00,48088.00,29837.25,0,0,0,0,0,0,1.2841,2.2013,8.0332,6.0239
direct-tcp,grpc-dpumesh,64,8,8,128,1024,1,272381.0,3608.00,8579.00,11525.00,3759.47,0,0,0,0,0,0,7.3124,8.1701,0.0522,6.0268
direct-tcp,grpc-dpumesh,64,8,8,128,1024,2,271735.0,3603.00,8700.00,11753.00,3768.34,0,0,0,0,0,0,7.2700,8.1649,0.0460,6.0273
direct-tcp,grpc-dpumesh,64,8,8,128,1024,3,272775.0,3605.00,8621.00,11718.00,3753.83,0,0,0,0,0,0,7.2918,8.1943,0.0445,6.0272
direct-tcp,grpc-dpumesh,1024,8,8,128,1024,1,259635.0,3725.00,9608.00,13442.00,3943.95,0,0,0,0,0,0,7.2460,8.1591,0.0475,6.0271
direct-tcp,grpc-dpumesh,1024,8,8,128,1024,2,259231.0,3737.00,9670.00,13617.00,3950.10,0,0,0,0,0,0,7.2287,8.1199,0.0474,6.0275
direct-tcp,grpc-dpumesh,1024,8,8,128,1024,3,258861.0,3732.00,9652.00,13504.00,3955.38,0,0,0,0,0,0,7.2286,8.1511,0.0591,6.0272
direct-tcp,grpc-dpumesh,8192,8,8,128,1024,1,204385.0,4759.00,11674.00,15861.00,5010.11,0,0,0,0,0,0,6.9549,8.2457,0.0445,6.0266
direct-tcp,grpc-dpumesh,8192,8,8,128,1024,2,204594.0,4754.00,11682.00,15451.00,5004.89,0,0,0,0,0,0,6.9630,8.2388,0.0444,6.0277
direct-tcp,grpc-dpumesh,8192,8,8,128,1024,3,206229.0,4703.00,11614.00,15806.00,4964.99,0,0,0,0,0,0,7.0026,8.2758,0.0430,6.0276
DPUmesh,grpc-dpumesh,64,8,8,256,2048,1,120830.0,16937.00,23266.00,28353.00,16944.80,0,0,0,0,0,0,2.7443,5.2556,7.6931,6.0228
DPUmesh,grpc-dpumesh,64,8,8,256,2048,2,119565.0,17093.00,23571.00,28777.00,17126.89,0,0,0,0,0,0,2.6925,5.1885,7.8624,6.0263
DPUmesh,grpc-dpumesh,64,8,8,256,2048,3,119392.0,17188.00,23197.00,25807.00,17145.70,0,0,0,0,0,0,2.7137,5.3173,7.8702,6.0234
DPUmesh,grpc-dpumesh,64,8,8,512,4096,1,116625.0,34930.00,47598.00,54045.00,35145.10,0,0,0,0,0,0,2.7276,5.3161,8.0275,6.0259
DPUmesh,grpc-dpumesh,64,8,8,512,4096,2,116923.0,34874.00,46519.00,53413.00,35038.86,0,0,0,0,0,0,2.7588,5.2214,8.0253,6.0263
DPUmesh,grpc-dpumesh,64,8,8,512,4096,3,116893.0,34894.00,46210.00,52541.00,35057.77,0,0,0,0,0,0,2.7565,5.3059,7.9531,6.0259
DPUmesh,grpc-dpumesh,64,8,8,1024,8192,1,103341.0,79155.00,108823.00,122747.00,79294.28,0,0,0,0,0,0,2.5775,4.4832,8.0307,6.0219
