config,frame,threads,channels,window_per_worker,total_concurrency,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,drops,pending,worker_fail,credit_hold_dropped,eq_budget_exhausted,client_core,server_core,dpu_arm_cores,dpu_worker_cores,dpu_nonworker_cores,window_s
grpc-dpumesh,64,8,8,1,8,1,12544.0,620.00,907.00,1313.00,637.59,0,0,0,0,0,0,0.9909,1.1513,6.0179,5.9352,0.0827,6.0265
grpc-dpumesh,64,8,8,1,8,2,12469.0,622.00,919.00,1448.00,641.45,0,0,0,0,0,0,0.9965,1.1664,5.9958,5.9154,0.0804,6.0206
grpc-dpumesh,64,8,8,1,8,3,12437.0,622.00,914.00,1542.00,643.07,0,0,0,0,0,0,0.9965,1.1450,6.0052,5.9233,0.0819,6.0109
grpc-dpumesh,64,8,8,2,16,1,15470.0,1139.00,1790.00,2118.00,1034.06,0,0,0,0,0,0,1.1575,1.3761,6.4245,6.3248,0.0997,6.0251
grpc-dpumesh,64,8,8,2,16,2,14886.0,1137.00,2343.00,4052.00,1074.65,0,0,0,0,0,0,1.1396,1.3324,6.0621,5.8491,0.2130,6.0151
grpc-dpumesh,64,8,8,2,16,3,14291.0,1139.00,2754.00,4542.00,1118.85,0,0,0,0,0,0,1.1843,1.3682,5.8871,5.6330,0.2541,6.0116
grpc-dpumesh,64,8,8,4,32,1,21454.0,1298.00,3861.00,6215.00,1490.81,0,0,0,0,0,0,1.3829,1.8214,6.0177,5.7665,0.2512,6.0105
grpc-dpumesh,64,8,8,4,32,2,22145.0,1297.00,3397.00,6121.00,1444.61,0,0,0,0,0,0,1.3621,1.7618,6.2828,6.1043,0.1785,6.0147
grpc-dpumesh,64,8,8,4,32,3,23715.0,1246.00,1998.00,3093.00,1349.16,0,0,0,0,0,0,1.3954,1.8864,6.5016,6.3798,0.1218,6.0204
grpc-dpumesh,64,8,8,8,64,1,40461.0,1668.00,2227.00,2795.00,1581.61,0,0,0,0,0,0,1.7611,2.8084,6.7122,6.5941,0.1181,6.0244
grpc-dpumesh,64,8,8,8,64,2,40020.0,1677.00,2279.00,3711.00,1599.03,0,0,0,0,0,0,1.7470,2.8331,6.6682,6.5548,0.1134,6.0185
grpc-dpumesh,64,8,8,8,64,3,40220.0,1677.00,2243.00,2591.00,1591.07,0,0,0,0,0,0,1.7636,2.8255,6.6727,6.5613,0.1114,6.0253
grpc-dpumesh,64,8,8,16,128,1,61071.0,2065.00,3995.00,4685.00,2095.92,0,0,0,0,0,0,2.1780,3.6965,7.0393,6.9220,0.1173,6.0248
grpc-dpumesh,64,8,8,16,128,2,58831.0,2094.00,3653.00,4373.00,2175.49,0,0,0,0,0,0,2.1076,3.5409,6.8198,6.6591,0.1607,6.0202
grpc-dpumesh,64,8,8,16,128,3,62259.0,2037.00,3389.00,4226.00,2055.76,0,0,0,0,0,0,2.2434,3.7769,7.2148,7.1096,0.1052,6.0231
grpc-dpumesh,64,8,8,32,256,1,85683.0,3059.00,4046.00,4746.00,2987.67,0,0,0,0,0,0,2.5786,4.4372,7.4676,7.3511,0.1165,6.0224
grpc-dpumesh,64,8,8,32,256,2,85729.0,3059.00,4086.00,6043.00,2986.03,0,0,0,0,0,0,2.5743,4.3913,7.4505,7.3357,0.1148,6.0252
grpc-dpumesh,64,8,8,32,256,3,85587.0,3061.00,4072.00,4883.00,2990.95,0,0,0,0,0,0,2.5679,4.4475,7.4477,7.3344,0.1133,6.0267
grpc-dpumesh,64,8,8,64,512,1,97502.0,5387.00,6773.00,7865.00,5250.60,0,0,0,0,0,0,2.4916,4.6710,7.0508,6.9575,0.0933,6.0286
grpc-dpumesh,64,8,8,64,512,2,97642.0,5375.00,6862.00,9203.00,5244.03,0,0,0,0,0,0,2.5079,4.6504,7.0813,6.9894,0.0919,6.0263
grpc-dpumesh,64,8,8,64,512,3,97170.0,5408.00,6748.00,8727.00,5269.35,0,0,0,0,0,0,2.4863,4.7190,7.0356,6.9423,0.0933,6.0262
