frame,total_concurrency,reps,achieved_med,achieved_min,achieved_max,p50_med_us,gain_from_previous_pct,p99_med_us,client_med_cores,server_med_cores,dpu_process_med_cores,dpu_worker_med_cores,dpu_nonworker_med_cores,fail_sum,drops_sum
64,8,3,12469.0000,12437.0000,12544.0000,622.0000,,914.0000,0.9965,1.1513,6.0052,5.9233,0.0819,0,0
64,16,3,14886.0000,14291.0000,15470.0000,1139.0000,19.3841,2343.0000,1.1575,1.3682,6.0621,5.8491,0.2130,0,0
64,32,3,22145.0000,21454.0000,23715.0000,1297.0000,48.7639,3397.0000,1.3829,1.8214,6.2828,6.1043,0.1785,0,0
64,64,3,40220.0000,40020.0000,40461.0000,1677.0000,81.6211,2243.0000,1.7611,2.8255,6.6727,6.5613,0.1134,0,0
64,128,3,61071.0000,58831.0000,62259.0000,2065.0000,51.8424,3653.0000,2.1780,3.6965,7.0393,6.9220,0.1173,0,0
64,256,3,85683.0000,85587.0000,85729.0000,3059.0000,40.3006,4072.0000,2.5743,4.4372,7.4505,7.3357,0.1148,0,0
64,512,3,97502.0000,97170.0000,97642.0000,5387.0000,13.7939,6773.0000,2.4916,4.6710,7.0508,6.9575,0.0933,0,0
64,1024,3,107026.0000,106132.0000,107252.0000,9903.0000,9.7680,12716.0000,2.4664,4.8530,7.2295,7.1591,0.0690,0,0
64,2048,3,118935.0000,118893.0000,119367.0000,17186.0000,11.1272,23442.0000,2.6676,5.1954,7.8660,7.8187,0.0473,0,0
64,4096,3,115801.0000,115715.0000,116025.0000,35174.0000,-2.6351,47348.0000,2.7345,5.0547,8.0225,7.9798,0.0413,0,0
64,8192,3,102136.0000,101596.0000,102233.0000,80018.0000,-11.8004,111070.0000,2.5360,4.3284,8.0158,7.9807,0.0351,0,0
1024,8,3,12153.0000,11831.0000,12190.0000,638.0000,,933.0000,1.0090,1.1898,5.9581,5.8692,0.0850,0,0
1024,16,3,13476.0000,13262.0000,13482.0000,1150.0000,10.8862,1816.0000,1.0545,1.2940,5.6188,5.5321,0.0863,0,0
1024,32,3,22581.0000,19566.0000,23473.0000,1354.0000,67.5646,2048.0000,1.4102,1.7893,6.6322,6.5283,0.0963,0,0
1024,64,3,39730.0000,35636.0000,39814.0000,1693.0000,75.9444,2259.0000,1.8017,2.8738,6.8296,6.7301,0.0995,0,0
1024,128,3,64504.0000,64368.0000,64538.0000,1964.0000,62.3559,2971.0000,2.2286,3.8343,7.2920,7.1850,0.1072,0,0
1024,256,3,72819.0000,72810.0000,73129.0000,3554.0000,12.8907,4573.0000,2.2433,3.9049,7.4510,7.3638,0.0858,0,0
1024,512,3,84914.0000,84837.0000,85367.0000,6014.0000,16.6097,8734.0000,2.3646,4.3266,7.8696,7.7997,0.0660,0,0
1024,1024,3,88689.0000,88375.0000,88887.0000,11399.0000,4.4457,15265.0000,2.2134,4.4566,8.0212,7.9765,0.0443,0,0
1024,2048,3,85795.0000,85161.0000,85799.0000,23627.0000,-3.2631,28895.0000,2.1889,4.2127,8.0262,7.9911,0.0366,0,0
1024,4096,3,81001.0000,80746.0000,81340.0000,50104.0000,-5.5877,60128.0000,2.0893,3.9018,8.0224,7.9902,0.0306,0,0
1024,8192,3,77410.0000,77187.0000,77588.0000,105298.0000,-4.4333,123968.0000,2.0496,3.6678,8.0187,7.9927,0.0260,0,0
