series,frame,workers,rps,p50_us,mean_inflight,dpu_worker_cores,arm_us_per_rpc,cores_per_inflight,worker_busy_fraction
closed,64,8,12469.0000,622.0000,8.0000,5.9233,475.0421,0.7404,0.7404
closed,64,8,14886.0000,1139.0000,16.0000,5.8491,392.9262,0.3656,0.7311
closed,64,8,22145.0000,1297.0000,32.0000,6.1043,275.6514,0.1908,0.7630
closed,64,8,40220.0000,1677.0000,64.0000,6.5613,163.1353,0.1025,0.8202
closed,64,8,61071.0000,2065.0000,128.0000,6.9220,113.3435,0.0541,0.8652
closed,64,8,85683.0000,3059.0000,256.0000,7.3357,85.6144,0.0287,0.9170
closed,64,8,97502.0000,5387.0000,512.0000,6.9575,71.3575,0.0136,0.8697
closed,64,8,102136.0000,80018.0000,8192.0000,7.9807,78.1380,0.0010,0.9976
closed,64,8,107026.0000,9903.0000,1024.0000,7.1591,66.8912,0.0070,0.8949
closed,64,8,115801.0000,35174.0000,4096.0000,7.9798,68.9096,0.0019,0.9975
closed,64,8,118935.0000,17186.0000,2048.0000,7.8187,65.7393,0.0038,0.9773
closed,1024,8,12153.0000,638.0000,8.0000,5.8692,482.9425,0.7337,0.7337
closed,1024,8,13476.0000,1150.0000,16.0000,5.5321,410.5150,0.3458,0.6915
closed,1024,8,22581.0000,1354.0000,32.0000,6.5283,289.1059,0.2040,0.8160
closed,1024,8,39730.0000,1693.0000,64.0000,6.7301,169.3959,0.1052,0.8413
closed,1024,8,64504.0000,1964.0000,128.0000,7.1850,111.3884,0.0561,0.8981
closed,1024,8,72819.0000,3554.0000,256.0000,7.3638,101.1247,0.0288,0.9205
closed,1024,8,77410.0000,105298.0000,8192.0000,7.9927,103.2515,0.0010,0.9991
closed,1024,8,81001.0000,50104.0000,4096.0000,7.9902,98.6432,0.0020,0.9988
closed,1024,8,84914.0000,6014.0000,512.0000,7.7997,91.8541,0.0152,0.9750
closed,1024,8,85795.0000,23627.0000,2048.0000,7.9911,93.1418,0.0039,0.9989
closed,1024,8,88689.0000,11399.0000,1024.0000,7.9765,89.9379,0.0078,0.9971
open,64,8,39999.0000,1310.0000,52.3987,7.3440,183.6046,0.1402,0.9180
open,64,8,50000.0000,1539.0000,76.9500,7.4794,149.5880,0.0972,0.9349
open,64,8,59997.0000,1743.0000,104.5748,7.5960,126.6063,0.0726,0.9495
open,64,8,69998.0000,1959.0000,137.1261,7.7080,110.1174,0.0562,0.9635
open,64,8,79998.0000,2204.0000,176.3156,7.8064,97.5824,0.0443,0.9758
open,64,8,84996.0000,2453.0000,208.4952,7.8390,92.2279,0.0376,0.9799
open,64,8,89995.0000,2846.0000,256.1258,7.8455,87.1771,0.0306,0.9807
open,64,8,92489.0000,2970.0000,274.6923,7.8632,85.0177,0.0286,0.9829
open,64,8,94861.0000,3406.0000,323.0966,7.8586,82.8433,0.0243,0.9823
open,64,8,97411.0000,3935.0000,383.3123,7.8789,80.8831,0.0206,0.9849
open,64,8,99185.0000,4832.0000,479.2619,7.8781,79.4283,0.0164,0.9848
open,1024,8,29999.0000,1146.0000,34.3789,7.0982,236.6146,0.2065,0.8873
open,1024,8,39999.0000,1400.0000,55.9986,7.3744,184.3646,0.1317,0.9218
open,1024,8,50000.0000,1610.0000,80.5000,7.5316,150.6320,0.0936,0.9415
open,1024,8,59999.0000,1763.0000,105.7782,7.6350,127.2521,0.0722,0.9544
open,1024,8,64999.0000,1872.0000,121.6781,7.6940,118.3711,0.0632,0.9617
open,1024,8,69997.0000,2028.0000,141.9539,7.7493,110.7090,0.0546,0.9687
open,1024,8,74998.0000,2248.0000,168.5955,7.7967,103.9588,0.0462,0.9746
open,8192,8,9999.0000,1556.0000,15.5584,5.3084,530.8931,0.3412,0.6635
open,8192,8,15000.0000,1239.0000,18.5850,6.6081,440.5400,0.3556,0.8260
open,8192,8,19999.0000,1291.0000,25.8187,7.5061,375.3238,0.2907,0.9383
open,8192,8,24990.0000,1586.0000,39.6341,7.9114,316.5826,0.1996,0.9889
open-low,64,8,500.0000,983.0000,0.4915,0.3461,692.1680,0.7041,0.0433
open-low,64,8,1000.0000,988.0000,0.9880,0.6929,692.9010,0.7013,0.0866
open-low,64,8,2500.0000,739.0000,1.8475,1.2482,499.2800,0.6756,0.1560
open-low,64,8,5000.0000,643.0000,3.2150,2.2539,450.7726,0.7010,0.2817
open-low,64,8,9999.0000,611.0000,6.1094,4.1116,411.2017,0.6730,0.5140
open-low,1024,8,10000.0000,625.0000,6.2500,4.2128,421.2839,0.6741,0.5266
open-low,8192,8,9999.0000,1552.0000,15.5184,5.2381,523.8648,0.3375,0.6548
scale-A12,64,12,79999.0000,1559.0000,124.7184,10.8116,135.1466,0.0867,0.9010
scale-A12,64,12,99997.0000,2006.0000,200.5940,11.0153,110.1567,0.0549,0.9179
