channels,reactors,frame,rep,offered,achieved,ratio,p50_us,p99_us,p999_us,fail,drops,pending,worker_fail,credit_hold_dropped,eq_budget_exhausted,client_core,server_core,client_app_core,client_sidecar_core,server_app_core,server_sidecar_core,dpu_core_total,dpu_core_workers,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,window_s
8,8,8192,1,25250,25233.0,0.9993,1572.00,39765.00,55686.00,0,0,0,0,0,0,1.8115,2.3114,1.7878,0.0000,2.2808,0.0000,7.966667,7.894937,0.982861,0.993544,0.985913,0.993544,0.987440,0.984387,0.984387,0.982861,0,0,0,0,0,0,0,0,6.5523
8,8,8192,2,25250,25243.0,0.9997,1592.00,50208.00,63938.00,0,0,0,0,0,0,1.8022,2.2669,1.7774,0.0000,2.2356,0.0000,7.982648,7.909594,0.984704,0.995358,0.989270,0.995358,0.987748,0.986226,0.984704,0.986226,0,0,0,0,0,0,0,0,6.5705
8,8,8192,3,25250,25242.0,0.9997,1591.00,43864.00,64517.00,0,0,0,0,0,0,1.8067,2.2346,1.7836,0.0000,2.2071,0.0000,7.974773,7.904363,0.984219,0.993403,0.987280,0.996464,0.987280,0.985749,0.984219,0.985749,0,0,0,0,0,0,0,0,6.5331
8,8,8192,1,25500,25483.0,0.9993,1607.00,52160.00,64762.00,0,0,0,0,0,0,1.7730,2.2901,1.7462,0.0000,2.2521,0.0000,7.994805,7.917724,0.985828,0.996646,0.988532,0.996646,0.988532,0.987180,0.985828,0.988532,0,0,0,0,0,0,0,0,7.3948
8,8,8192,2,25500,25489.0,0.9996,1625.00,122844.00,362967.00,0,0,0,0,0,0,1.7882,2.2829,1.7638,0.0000,2.2541,0.0000,7.973585,7.900209,0.985997,0.993641,0.987526,0.979883,0.987526,0.989055,0.987526,0.989055,0,0,0,0,0,0,0,0,6.5416
8,8,8192,3,25500,25490.0,0.9996,1605.00,48434.00,70871.00,0,0,0,0,0,0,1.7992,2.2881,1.7765,0.0000,2.2601,0.0000,7.989999,7.913304,0.986287,0.997024,0.987821,0.995490,0.986287,0.987821,0.984753,0.987821,0,0,0,0,0,0,0,0,6.5194
8,8,8192,1,25750,25732.0,0.9993,1626.00,57547.00,82679.00,0,0,0,0,0,0,1.8025,2.3077,1.7777,0.0000,2.2751,0.0000,7.995111,7.923317,0.986787,0.995952,0.988314,0.997480,0.988314,0.988314,0.988314,0.989842,0,0,0,0,0,0,0,0,6.5465
8,8,8192,2,25750,25736.0,0.9995,1639.00,46046.00,58682.00,0,0,0,0,0,0,1.8004,2.3344,1.7754,0.0000,2.3017,0.0000,7.994190,7.919307,0.987239,0.994880,0.988767,0.997937,0.987239,0.988767,0.985711,0.988767,0,0,0,0,0,0,0,0,6.5435
8,8,8192,3,25750,25735.0,0.9994,1636.00,56892.00,71267.00,0,0,0,0,0,0,1.7418,2.2366,1.7113,0.0000,2.1972,0.0000,7.815704,7.743762,0.965866,0.976580,0.967396,0.976580,0.965866,0.962804,0.964335,0.964335,0,0,0,0,0,0,0,0,6.5330
8,8,8192,1,26000,25991.0,0.9997,1659.00,58812.00,72887.00,0,0,0,0,0,0,1.7942,2.2868,1.7668,0.0000,2.2540,0.0000,8.000491,7.925420,0.986656,0.995848,0.988188,0.997380,0.989720,0.989720,0.988188,0.989720,0,0,0,0,0,0,0,0,6.5271
8,8,8192,2,26000,25985.0,0.9994,1713.00,62968.00,87086.00,0,0,0,0,0,0,1.7699,2.2997,1.7415,0.0000,2.2651,0.0000,8.015308,7.938767,0.988902,0.999617,0.991963,0.998086,0.991963,0.988902,0.988902,0.990432,0,0,0,0,0,0,0,0,6.5325
8,8,8192,3,26000,25985.0,0.9994,1653.00,56902.00,75374.00,0,0,0,0,0,0,1.8062,2.3232,1.7787,0.0000,2.2885,0.0000,7.995225,7.920232,0.988690,0.994812,0.988690,0.996342,0.987159,0.990220,0.985629,0.988690,0,0,0,0,0,0,0,0,6.5339
