series,frame,offered,reps,clean_reps,classification,achieved_med,achieved_min,achieved_max,ratio_med,p50_med_us,p99_med_us,drops_sum,fail_sum,dpu_worker_med_cores
aged-64,64,99000,2,1,mixed,98041.0,97944.0,98138.0,0.9903,4789.0,645238.0,0,0,7.886997
fresh-64,64,90000,3,3,clean,89999.0,89998.0,90000.0,1.0000,2792.0,15319.0,0,0,7.842716
fresh-64,64,92000,2,1,mixed,86629.5,81261.0,91998.0,0.9416,3154.0,15264.5,73587,0,7.470247
fresh-64,64,98000,1,0,bad,87558.0,87558.0,87558.0,0.8934,439190.0,3742021.6,5945,0,7.569540
fresh-64,64,99000,1,0,bad,97857.0,97857.0,97857.0,0.9885,19543.0,685324.0,0,0,7.895905
fresh-1k,1024,75250,2,1,mixed,74109.0,72974.0,75244.0,0.9849,2388.5,1240563.0,0,13921,7.793838
fresh-1k,1024,76000,1,0,bad,75009.0,75009.0,75009.0,0.9870,2411.0,536432.0,0,0,7.813456
fresh-8k,8192,25250,3,3,clean,25242.0,25233.0,25243.0,0.9997,1591.0,43864.0,0,0,7.904363
fresh-8k,8192,25500,3,3,clean,25489.0,25483.0,25490.0,0.9996,1607.0,52160.0,0,0,7.913304
fresh-8k,8192,25750,3,3,clean,25735.0,25732.0,25736.0,0.9994,1636.0,56892.0,0,0,7.919307
fresh-8k,8192,26000,3,3,clean,25985.0,25985.0,25991.0,0.9994,1659.0,58812.0,0,0,7.925420
fresh-8k,8192,27000,3,3,clean,26972.0,26971.0,26999.0,0.9990,1851.0,77898.0,0,0,7.936291
fresh-8k,8192,28000,3,3,clean,27953.0,27941.0,28009.0,0.9983,2066.0,111797.0,0,0,7.945360
fresh-8k,8192,29000,3,3,clean,28993.0,28992.0,29000.0,0.9998,2508.0,183438.0,0,0,7.951004
fresh-8k,8192,29250,3,3,clean,29220.0,29197.0,29235.0,0.9990,2611.0,146691.0,0,0,7.951931
fresh-8k,8192,29500,3,3,clean,29453.0,29436.0,29496.0,0.9984,2845.0,152257.0,0,0,7.950338
fresh-8k,8192,29750,3,3,clean,29709.0,29675.0,29711.0,0.9986,2849.0,317792.0,0,0,7.955847
fresh-8k,8192,30000,2,1,mixed,22338.0,14715.0,29961.0,0.7446,29554.5,289432.0,0,85911,6.733661
