build,config,frame,threads,channels,window_per_worker,total_concurrency,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,drops,pending,worker_fail,credit_hold_dropped,eq_budget_exhausted,client_core,server_core,client_app_core,client_sidecar_core,server_app_core,server_sidecar_core,dpu_arm_cores,dpu_worker_cores,dpu_nonworker_cores,window_s
baseline,grpc-dpumesh,64,1,1,1,1,1,1027.0,936.00,1588.00,1901.00,973.52,0,0,0,0,0,0,0.2017,0.2335,0.1768,0.0000,0.2111,0.0000,0.7052,0.6728,0.0324,6.0259
baseline,grpc-dpumesh,64,1,1,1,1,2,1034.0,930.00,1567.00,2107.00,966.83,0,0,0,0,0,0,0.2010,0.2336,0.1769,0.0000,0.2126,0.0000,0.7096,0.6772,0.0324,6.0275
baseline,grpc-dpumesh,64,1,1,1,1,3,994.0,951.00,1685.00,2630.00,1005.43,0,0,0,0,0,0,0.2064,0.2327,0.1825,0.0000,0.2098,0.0000,0.6821,0.6498,0.0323,6.0352
baseline,grpc-dpumesh,64,1,1,2,2,1,1316.0,1494.00,2295.00,3248.00,1520.15,0,0,0,0,0,0,0.2192,0.2721,0.1995,0.0000,0.2520,0.0000,0.8395,0.8104,0.0291,6.0195
baseline,grpc-dpumesh,64,1,1,2,2,2,1333.0,1485.00,2312.00,2795.00,1500.61,0,0,0,0,0,0,0.2147,0.2837,0.1962,0.0000,0.2635,0.0000,0.8442,0.8140,0.0302,6.0197
baseline,grpc-dpumesh,64,1,1,2,2,3,1314.0,1501.00,2268.00,2703.00,1521.51,0,0,0,0,0,0,0.2057,0.2849,0.1850,0.0000,0.2635,0.0000,0.8706,0.8400,0.0306,6.0360
baseline,grpc-dpumesh,64,1,1,4,4,1,1970.0,2064.00,2885.00,11288.00,2030.28,0,0,0,0,0,0,0.2322,0.3414,0.2157,0.0000,0.3237,0.0000,0.9137,0.8861,0.0276,6.0425
baseline,grpc-dpumesh,64,1,1,4,4,2,1919.0,2116.00,3040.00,3705.00,2084.76,0,0,0,0,0,0,0.2373,0.3182,0.2206,0.0000,0.3014,0.0000,0.9416,0.9170,0.0246,6.0400
baseline,grpc-dpumesh,64,1,1,4,4,3,1985.0,2064.00,2802.00,3266.00,2014.62,0,0,0,0,0,0,0.2411,0.3300,0.2242,0.0000,0.3116,0.0000,0.9237,0.8978,0.0259,6.0336
e5-1,grpc-dpumesh,64,1,1,1,1,1,1002.0,948.00,1668.00,2005.00,998.24,0,0,0,0,0,0,0.1976,0.2354,0.1728,0.0000,0.2136,0.0000,0.6918,0.6627,0.0291,6.0276
e5-1,grpc-dpumesh,64,1,1,1,1,2,1033.0,930.00,1577.00,1916.00,968.04,0,0,0,0,0,0,0.2013,0.2369,0.1769,0.0000,0.2153,0.0000,0.7006,0.6678,0.0328,6.0389
e5-1,grpc-dpumesh,64,1,1,1,1,3,1033.0,928.00,1613.00,2220.00,968.08,0,0,0,0,0,0,0.2054,0.2316,0.1820,0.0000,0.2104,0.0000,0.6926,0.6636,0.0290,6.0292
e5-1,grpc-dpumesh,64,1,1,2,2,1,1341.0,1481.00,2273.00,2876.00,1491.39,0,0,0,0,0,0,0.2164,0.2675,0.1981,0.0000,0.2496,0.0000,0.8360,0.8098,0.0262,6.0442
e5-1,grpc-dpumesh,64,1,1,2,2,2,1346.0,1475.00,2286.00,2667.00,1485.81,0,0,0,0,0,0,0.2185,0.2724,0.1998,0.0000,0.2532,0.0000,0.8376,0.8069,0.0307,6.0264
e5-1,grpc-dpumesh,64,1,1,2,2,3,1362.0,1466.00,2266.00,2687.00,1468.42,0,0,0,0,0,0,0.2081,0.2674,0.1915,0.0000,0.2492,0.0000,0.8357,0.8097,0.0260,6.0273
