build,channels,reactors,frame,rep,offered,achieved,ratio,p50_us,p99_us,p999_us,fail,drops,pending,worker_fail,credit_hold_dropped,eq_budget_exhausted,client_core,server_core,client_app_core,dpu_core_total,dpu_core_workers,w0,w1,w2,w3,w4,w5,w6,w15
baseline,1,8,64,1,100,100.0,1.0000,1684.00,2308.00,2614.00,0,0,0,0,0,0,0.0425,0.0465,0.0375,0.118578,0.104718,0.004620,0.004620,0.006160,0.073918,0.003080,0.004620,0.003080,0
baseline,1,8,64,2,100,100.0,1.0000,1570.00,2226.00,9341.00,0,0,0,0,0,0,0.0418,0.0452,0.0370,0.118836,0.104946,0.004630,0.006173,0.004630,0.004630,0.069450,0.006173,0.004630,0
baseline,1,8,64,3,100,100.0,1.0000,1552.00,2210.00,4212.00,0,0,0,0,0,0,0.0405,0.0432,0.0361,0.115860,0.100411,0.003090,0.006179,0.003090,0.004634,0.004634,0.069516,0.004634,0
baseline,1,8,64,1,500,500.0,1.0000,1199.00,1995.00,6701.00,0,0,0,0,0,0,0.1295,0.1651,0.1113,0.377631,0.354511,0.004624,0.320602,0.004624,0.004624,0.004624,0.004624,0.006165,0
baseline,1,8,64,2,500,500.0,1.0000,1146.00,1802.00,2288.00,0,0,0,0,0,0,0.1265,0.1603,0.1105,0.371339,0.348131,0.006189,0.004642,0.315638,0.004642,0.004642,0.004642,0.004642,0
baseline,1,8,64,3,500,500.0,1.0000,1254.00,2036.00,8280.00,0,0,0,0,0,0,0.1294,0.1702,0.1111,0.398688,0.372620,0.003067,0.006134,0.004600,0.340418,0.004600,0.006134,0.003067,0
baseline,1,8,64,1,1000,1000.0,1.0000,1008.00,1886.00,2339.00,0,0,0,0,0,0,0.1786,0.2371,0.1564,0.681826,0.652451,0.004638,0.004638,0.004638,0.006184,0.616893,0.004638,0.004638,0
baseline,1,8,64,2,1000,1000.0,1.0000,1015.00,1868.00,2340.00,0,0,0,0,0,0,0.1822,0.2381,0.1606,0.682280,0.651478,0.004620,0.004620,0.004620,0.004620,0.004620,0.619138,0.004620,0
baseline,1,8,64,3,1000,1000.0,1.0000,1035.00,1889.00,2735.00,0,0,0,0,0,0,0.1827,0.2409,0.1615,0.685953,0.655193,0.006152,0.006152,0.006152,0.006152,0.006152,0.006152,0.610591,0
e5-1,1,8,64,1,100,100.0,1.0000,1546.00,2141.00,2209.00,0,0,0,0,0,0,0.0417,0.0437,0.0369,0.110976,0.095562,0.004624,0.004624,0.066276,0.003083,0.003083,0.004624,0.004624,0
e5-1,1,8,64,2,100,100.0,1.0000,1605.00,2268.00,2489.00,0,0,0,0,0,0,0.0419,0.0449,0.0372,0.117902,0.103939,0.004654,0.004654,0.006205,0.071361,0.004654,0.004654,0.004654,0
e5-1,1,8,64,3,100,100.0,1.0000,1601.00,2107.00,3579.00,0,0,0,0,0,0,0.0425,0.0450,0.0377,0.118960,0.101966,0.004635,0.004635,0.004635,0.004635,0.067976,0.006180,0.004635,0
e5-1,1,8,64,1,500,500.0,1.0000,1187.00,1883.00,3073.00,0,0,0,0,0,0,0.1317,0.1657,0.1142,0.365396,0.339187,0.004625,0.004625,0.004625,0.006167,0.004625,0.308352,0.003084,0
e5-1,1,8,64,2,500,500.0,1.0000,1127.00,1807.00,4126.00,0,0,0,0,0,0,0.1261,0.1621,0.1101,0.356640,0.331758,0.002765,0.004147,0.002765,0.004147,0.004147,0.004147,0.304111,0
e5-1,1,8,64,3,500,500.0,1.0000,1155.00,1851.00,3004.00,0,0,0,0,0,0,0.1280,0.1654,0.1114,0.362261,0.339039,0.004644,0.004644,0.004644,0.006193,0.004644,0.003096,0.003096,0
e5-1,1,8,64,1,1000,1000.0,1.0000,989.00,1806.00,2540.00,0,0,0,0,0,0,0.1761,0.2421,0.1552,0.660276,0.632311,0.599686,0.006214,0.004661,0.004661,0.006214,0.003107,0.004661,0
e5-1,1,8,64,2,1000,1000.0,1.0000,1012.00,1896.00,3700.00,0,0,0,0,0,0,0.1821,0.2419,0.1605,0.684784,0.653937,0.006169,0.618464,0.003085,0.006169,0.004627,0.004627,0.006169,0
e5-1,1,8,64,3,1000,1000.0,1.0000,979.00,1799.00,2825.00,0,0,0,0,0,0,0.1745,0.2357,0.1536,0.655277,0.629066,0.003084,0.003084,0.601314,0.004625,0.004625,0.003084,0.004625,0
e5-1,8,8,64,1,10000,10000.0,1.0000,605.00,921.00,2141.00,0,0,0,0,0,0,0.8811,0.9770,0.8221,4.171130,4.033368,0.489821,0.552579,0.492882,0.555641,0.497474,0.477575,0.492882,0
e5-1,8,8,64,2,10000,10000.0,1.0000,608.00,1047.00,5297.00,0,0,0,0,0,0,0.8989,0.9610,0.8411,4.200624,4.064280,0.493290,0.554568,0.496354,0.557632,0.496354,0.482566,0.499418,0
e5-1,8,8,64,3,10000,10000.0,1.0000,609.00,1009.00,3082.00,0,0,0,0,0,0,0.8955,0.9820,0.8395,4.214736,4.075872,0.492889,0.558506,0.497467,0.555454,0.500519,0.483733,0.500519,0
e5-1,8,8,64,1,90000,90007.0,1.0001,2988.00,30667.00,58672.00,0,0,0,0,0,0,3.7306,4.6307,3.6593,7.969080,7.856348,0.982379,0.987747,0.982379,0.985063,0.981037,0.978353,0.981037,0
e5-1,8,8,64,2,90000,89995.0,0.9999,2847.00,11266.00,22579.00,0,0,0,0,0,0,3.7573,4.6634,3.6971,7.979074,7.868934,0.982087,0.988206,0.982087,0.986676,0.983617,0.980557,0.982087,0
e5-1,8,8,64,3,90000,89993.0,0.9999,2815.00,12581.00,22952.00,0,0,0,0,0,0,3.7563,4.6262,3.6972,7.955871,7.848463,0.978948,0.985086,0.980482,0.985086,0.980482,0.978948,0.977414,0
