build,channels,reactors,frame,rep,offered,achieved,ratio,p50_us,p99_us,p999_us,fail,drops,pending,worker_fail,credit_hold_dropped,eq_budget_exhausted,client_core,server_core,client_app_core,dpu_core_total,dpu_core_workers,w0,w1,w2,w3,w4,w5,w6,w15
baseline,1,8,64,1,100,100.0,1.0000,1684.00,2308.00,2614.00,0,0,0,0,0,0,0.0425,0.0465,0.0375,0.118578,0.104718,0.004620,0.004620,0.006160,0.073918,0.003080,0.004620,0.003080,0
baseline,1,8,64,2,100,100.0,1.0000,1570.00,2226.00,9341.00,0,0,0,0,0,0,0.0418,0.0452,0.0370,0.118836,0.104946,0.004630,0.006173,0.004630,0.004630,0.069450,0.006173,0.004630,0
baseline,1,8,64,3,100,100.0,1.0000,1552.00,2210.00,4212.00,0,0,0,0,0,0,0.0405,0.0432,0.0361,0.115860,0.100411,0.003090,0.006179,0.003090,0.004634,0.004634,0.069516,0.004634,0
baseline,1,8,64,1,200,200.0,1.0000,1471.00,2196.00,4056.00,0,0,0,0,0,0,0.0781,0.0800,0.0697,0.195327,0.175175,0.006201,0.007751,0.006201,0.007751,0.006201,0.004651,0.127118,0
baseline,1,8,64,2,200,200.0,1.0000,1424.00,2070.00,3019.00,0,0,0,0,0,0,0.0761,0.0779,0.0673,0.181774,0.163735,0.004163,0.005550,0.004163,0.004163,0.004163,0.006938,0.005550,0
baseline,1,8,64,3,200,200.0,1.0000,1397.00,2034.00,2747.00,0,0,0,0,0,0,0.0775,0.0778,0.0688,0.176405,0.159383,0.126888,0.004642,0.004642,0.006190,0.004642,0.004642,0.003095,0
baseline,1,8,64,1,500,500.0,1.0000,1199.00,1995.00,6701.00,0,0,0,0,0,0,0.1295,0.1651,0.1113,0.377631,0.354511,0.004624,0.320602,0.004624,0.004624,0.004624,0.004624,0.006165,0
baseline,1,8,64,2,500,500.0,1.0000,1146.00,1802.00,2288.00,0,0,0,0,0,0,0.1265,0.1603,0.1105,0.371339,0.348131,0.006189,0.004642,0.315638,0.004642,0.004642,0.004642,0.004642,0
baseline,1,8,64,3,500,500.0,1.0000,1254.00,2036.00,8280.00,0,0,0,0,0,0,0.1294,0.1702,0.1111,0.398688,0.372620,0.003067,0.006134,0.004600,0.340418,0.004600,0.006134,0.003067,0
baseline,1,8,64,1,1000,1000.0,1.0000,1008.00,1886.00,2339.00,0,0,0,0,0,0,0.1786,0.2371,0.1564,0.681826,0.652451,0.004638,0.004638,0.004638,0.006184,0.616893,0.004638,0.004638,0
baseline,1,8,64,2,1000,1000.0,1.0000,1015.00,1868.00,2340.00,0,0,0,0,0,0,0.1822,0.2381,0.1606,0.682280,0.651478,0.004620,0.004620,0.004620,0.004620,0.004620,0.619138,0.004620,0
baseline,1,8,64,3,1000,1000.0,1.0000,1035.00,1889.00,2735.00,0,0,0,0,0,0,0.1827,0.2409,0.1615,0.685953,0.655193,0.006152,0.006152,0.006152,0.006152,0.006152,0.006152,0.610591,0
baseline,1,8,64,1,2000,2000.0,1.0000,1785.00,2744.00,3426.00,0,0,0,0,0,0,0.2134,0.3322,0.1981,0.905192,0.878977,0.007710,0.006168,0.004626,0.007710,0.006168,0.006168,0.004626,0
baseline,1,8,64,2,2000,2000.0,1.0000,1793.00,2804.00,5753.00,0,0,0,0,0,0,0.2119,0.3310,0.1974,0.890237,0.861432,0.821651,0.006859,0.005487,0.005487,0.005487,0.005487,0.004115,0
baseline,1,8,64,3,2000,2000.0,1.0000,1853.00,2992.00,10758.00,0,0,0,0,0,0,0.2127,0.3207,0.1980,0.950326,0.908741,0.012322,0.837890,0.010782,0.012322,0.009241,0.007701,0.007701,0
tail50us,1,8,64,1,100,100.0,1.0000,1629.00,2443.00,4508.00,0,0,0,0,0,0,0.0416,0.0459,0.0368,0.136096,0.115990,0.004640,0.007733,0.069593,0.007733,0.006186,0.006186,0.006186,0
tail50us,1,8,64,2,100,100.0,1.0000,1605.00,2324.00,2674.00,0,0,0,0,0,0,0.0424,0.0453,0.0377,0.128180,0.112736,0.004633,0.006177,0.006177,0.075673,0.004633,0.003089,0.006177,0
tail50us,1,8,64,3,100,100.0,1.0000,1597.00,2143.00,4805.00,0,0,0,0,0,0,0.0421,0.0464,0.0373,0.117702,0.103764,0.006195,0.004646,0.006195,0.006195,0.066595,0.004646,0.003097,0
tail50us,1,8,64,1,500,500.0,1.0000,1098.00,1832.00,2745.00,0,0,0,0,0,0,0.1188,0.1549,0.1025,0.371446,0.346785,0.004624,0.003083,0.004624,0.006165,0.004624,0.312876,0.006165,0
tail50us,1,8,64,2,500,500.0,1.0000,1149.00,1950.00,11349.00,0,0,0,0,0,0,0.1278,0.1555,0.1113,0.377874,0.348450,0.006195,0.004646,0.004646,0.006195,0.006195,0.006195,0.309732,0
tail50us,1,8,64,3,500,500.0,1.0000,1102.00,1816.00,2421.00,0,0,0,0,0,0,0.1229,0.1579,0.1067,0.370902,0.346175,0.007727,0.004636,0.004636,0.006182,0.004636,0.006182,0.004636,0
tail50us,1,8,64,1,1000,1000.0,1.0000,985.00,1825.00,6690.00,0,0,0,0,0,0,0.1782,0.2314,0.1563,0.687698,0.656000,0.611899,0.004134,0.004134,0.008269,0.008269,0.005513,0.005513,0
tail50us,1,8,64,2,1000,1000.0,1.0000,987.00,1759.00,2093.00,0,0,0,0,0,0,0.1761,0.2286,0.1550,0.707746,0.675365,0.006168,0.630647,0.006168,0.009252,0.006168,0.006168,0.004626,0
tail50us,1,8,64,3,1000,1000.0,1.0000,988.00,1766.00,6406.00,0,0,0,0,0,0,0.1776,0.2270,0.1553,0.683184,0.650945,0.006141,0.004606,0.612564,0.006141,0.006141,0.003070,0.004606,0
tail50us,1,8,64,1,2000,2000.0,1.0000,1901.00,3651.00,4695.00,0,0,0,0,0,0,0.2580,0.3283,0.2355,1.038147,1.008707,0.004648,0.004648,0.006198,0.966872,0.006198,0.009297,0.004648,0
tail50us,1,8,64,2,2000,2000.0,1.0000,1704.00,2877.00,3608.00,0,0,0,0,0,0,0.2602,0.3292,0.2377,1.036718,1.007318,0.006189,0.006189,0.007737,0.007737,0.963993,0.006189,0.004642,0
tail50us,1,8,64,3,2000,2000.0,1.0000,1741.00,3243.00,14123.00,0,0,0,0,0,0,0.2604,0.3381,0.2377,1.045420,1.013088,0.007698,0.009238,0.004619,0.006159,0.004619,0.966898,0.006159,0
tail50us,8,8,64,1,500,500.0,1.0000,1186.00,1863.00,3286.00,0,0,0,0,0,0,0.1537,0.1675,0.1367,0.347213,0.321095,0.039945,0.041481,0.039945,0.044554,0.039945,0.038408,0.036872,0
tail50us,8,8,64,2,500,500.0,1.0000,1207.00,1940.00,11278.00,0,0,0,0,0,0,0.1563,0.1642,0.1402,0.361803,0.330519,0.040805,0.040805,0.038084,0.046245,0.043525,0.039445,0.039445,0
tail50us,8,8,64,3,500,500.0,1.0000,1171.00,578352.00,661000.00,0,0,0,0,0,0,0.1523,0.1539,0.1371,0.368811,0.336541,0.039955,0.044565,0.041491,0.044565,0.043028,0.039955,0.041491,0
tail50us,8,8,64,1,1000,1000.0,1.0000,958.00,1659.00,9495.00,0,0,0,0,0,0,0.2190,0.2508,0.1955,0.586702,0.551191,0.066390,0.072566,0.066390,0.075653,0.067934,0.067934,0.066390,0
tail50us,8,8,64,2,1000,999.0,0.9990,969.00,1632.00,2730.00,0,0,0,0,0,0,0.2238,0.2605,0.1983,0.593548,0.558090,0.066293,0.072459,0.067834,0.078626,0.067834,0.067834,0.067834,0
tail50us,8,8,64,3,1000,1000.0,1.0000,1020.00,1745.00,6274.00,0,0,0,0,0,0,0.2177,0.2358,0.1928,0.730541,0.686126,0.084234,0.087297,0.084234,0.091892,0.085766,0.084234,0.082703,0
tail50us,8,8,64,1,10000,9999.0,0.9999,1456.00,9486.00,21942.00,0,0,0,0,0,0,1.1148,1.1258,1.0489,4.557964,4.347506,0.554844,0.582807,0.554844,0.591638,0.470955,0.556316,0.547486,0
tail50us,8,8,64,2,10000,9998.0,0.9998,1453.00,8835.00,15113.00,0,0,0,0,0,0,1.1095,1.1651,1.0448,4.598691,4.386147,0.557372,0.585612,0.558859,0.597503,0.474138,0.561831,0.557372,0
