# sched:sched_switch on the DPU, 2 s window, 64 B single channel at 100 RPS (baseline build)
# per worker thread: total on-CPU time and switch count in the window
# dmesh-w0: on-cpu 8.6 ms, 980 on-CPU intervals
# dmesh-w1: on-cpu 8.1 ms, 982 on-CPU intervals
# dmesh-w2: on-cpu 7.8 ms, 991 on-CPU intervals
# dmesh-w3: on-cpu 152.7 ms, 1217 on-CPU intervals
# dmesh-w4: on-cpu 8.9 ms, 995 on-CPU intervals
# dmesh-w5: on-cpu 9.5 ms, 988 on-CPU intervals
# dmesh-w6: on-cpu 7.7 ms, 987 on-CPU intervals
# dmesh-w7: on-cpu 8.4 ms, 1000 on-CPU intervals
# dmesh-w3 carries the channel: 202 request clusters of >25 us runs; each line is one request
request,span_us,oncpu_us,runs,run_us_sequence,gap_us_sequence
0,35,35,1,35,
1,3145,776,3,430|310|36,322|2047
2,1537,767,2,430|337,770
3,3555,862,4,406|195|233|28,632|13|2048
4,1368,758,3,432|298|28,596|14
5,3209,753,3,416|301|36,407|2049
6,2268,742,3,412|300|30,396|1130
7,3179,843,3,60|416|367,1480|856
8,3573,730,3,392|306|32,694|2149
9,1343,709,2,407|302,634
10,1153,685,2,397|288,468
11,1253,677,2,384|293,576
12,988,666,2,383|283,322
13,2964,879,3,178|402|299,1702|383
14,1350,714,2,384|330,636
15,1111,685,2,397|288,426
16,2153,765,3,422|313|30,381|1007
17,1069,742,2,437|305,327
18,1349,714,2,399|315,635
19,1399,700,2,401|299,699
20,1072,701,2,391|310,371
21,1320,710,2,409|301,610
22,1303,697,2,403|294,606
23,1371,847,2,551|296,524
24,1317,845,2,547|298,472
25,1062,680,2,378|302,382
26,1450,682,2,383|299,768
27,1496,693,2,381|312,803
28,3435,708,3,382|298|28,679|2048
29,1414,873,2,394|479,541
30,1535,868,2,390|478,667
31,1141,676,2,382|294,465
32,3910,800,4,33|425|310|32,455|606|2049
33,3510,737,3,26|409|302,2333|440
34,1196,684,2,392|292,512
35,1330,702,2,398|304,628
36,1009,668,2,381|287,341
37,936,673,2,384|289,263
38,1209,673,2,382|291,536
39,1233,676,2,386|290,557
40,1218,684,2,387|297,534
41,1153,680,2,392|288,473
42,1359,683,2,377|306,676
43,3847,1085,6,383|173|68|65|78|318,522|38|119|29|2054
44,3578,772,4,421|50|274|27,636|9|2161
45,999,716,2,413|303,283
46,972,690,2,393|297,282
47,1079,673,2,382|291,406
48,1219,720,2,393|327,499
49,1219,704,2,405|299,515
50,1397,680,2,386|294,717
51,1203,670,2,379|291,533
52,1156,680,2,387|293,476
53,3163,709,3,381|297|31,407|2047
54,1207,719,2,416|303,488
55,1229,685,2,392|293,544
56,1163,689,2,392|297,474
57,1263,724,2,442|282,539
58,1392,689,2,387|302,703
59,1256,657,2,379|278,599
60,1265,679,2,383|296,586
61,1048,670,2,387|283,378
62,1019,668,2,384|284,351
63,1370,677,2,391|286,693
64,1270,677,2,379|298,593
65,1035,678,2,393|285,357
66,1295,678,2,387|291,617
67,1356,675,2,383|292,681
68,1278,686,2,382|304,592
69,1704,930,3,158|408|364,10|764
70,3546,895,4,152|405|308|30,9|586|2056
71,1313,711,2,410|301,602
72,1413,693,2,392|301,720
73,1455,695,2,386|309,760
74,3488,709,3,382|298|29,639|2140
75,993,700,2,405|295,293
76,1930,987,3,303|393|291,422|521
77,1264,679,2,389|290,585
78,973,679,2,393|286,294
