transport,frame,rep,threads,channels,window_per_worker,total_concurrency,achieved,p50_us,p99_us,client_pod_core,server_pod_core,dpu_process_core,fail
DPUmesh,64,1,8,8,128,1024,107075.0,9855.00,13092.00,2.4782,4.7594,7.2355,0
DPUmesh,64,2,8,8,128,1024,106772.0,9924.00,12616.00,2.4631,4.8508,7.2719,0
DPUmesh,64,3,8,8,128,1024,106600.0,9899.00,13117.00,2.4612,4.8885,7.2302,0
DPUmesh,1024,1,8,8,128,1024,88713.0,11363.00,16110.00,2.1932,4.3611,7.9823,0
DPUmesh,1024,2,8,8,128,1024,89403.0,11320.00,15078.00,2.2249,4.3631,8.0144,0
DPUmesh,1024,3,8,8,128,1024,89120.0,11321.00,15867.00,2.2165,4.3618,7.9840,0
DPUmesh,8192,1,8,8,128,1024,34276.0,29470.00,37383.00,1.2854,2.2267,8.0213,0
DPUmesh,8192,2,8,8,128,1024,34278.0,29389.00,37593.00,1.2934,2.2277,8.0366,0
DPUmesh,8192,3,8,8,128,1024,34308.0,29231.00,38627.00,1.2841,2.2013,8.0332,0
Linkerd,64,1,8,8,128,1024,25090.0,40779.00,49146.00,1.7361,1.8401,0.0430,0
Linkerd,64,2,8,8,128,1024,24818.0,41170.00,49883.00,1.7324,1.8112,0.0477,0
Linkerd,64,3,8,8,128,1024,24966.0,40881.00,49578.00,1.7352,1.8316,0.0429,0
Linkerd,1024,1,8,8,128,1024,19350.0,52956.00,59744.00,1.7006,1.8228,0.0429,0
Linkerd,1024,2,8,8,128,1024,19188.0,53367.00,59942.00,1.6962,1.8300,0.0544,0
Linkerd,1024,3,8,8,128,1024,19335.0,52961.00,60297.00,1.7099,1.8599,0.0431,0
Linkerd,8192,1,8,8,128,1024,15266.0,66553.00,87315.00,1.7759,1.8086,0.0477,0
Linkerd,8192,2,8,8,128,1024,15239.0,66817.00,88064.00,1.7668,1.8170,0.0430,0
Linkerd,8192,3,8,8,128,1024,15230.0,66817.00,87956.00,1.7653,1.8007,0.0492,0
