transport,frame,rep,offered,achieved,ratio,p50_us,p99_us,fail,drops,pending,restarts,client_pod_core,server_pod_core,client_app_core,client_sidecar_core,server_app_core,server_sidecar_core,dpu_worker_core
DPUmesh,64,1,10000,9999.0,0.9999,611.00,970.00,0,0,0,0,0.8919,0.9802,0.8344,0.0000,0.9262,0.0000,4.106525
DPUmesh,64,2,10000,10000.0,1.0000,611.00,918.00,0,0,0,0,0.8939,0.9718,0.8365,0.0000,0.9169,0.0000,4.111606
DPUmesh,64,3,10000,9999.0,0.9999,612.00,965.00,0,0,0,0,0.8937,0.9817,0.8372,0.0000,0.9265,0.0000,4.137170
DPUmesh,1024,1,10000,10000.0,1.0000,625.00,1331.00,0,0,0,0,0.8971,1.0033,0.8411,0.0000,0.9493,0.0000,4.203637
DPUmesh,1024,2,10000,10000.0,1.0000,623.00,944.00,0,0,0,0,0.9011,0.9857,0.8446,0.0000,0.9309,0.0000,4.212839
DPUmesh,1024,3,10000,10000.0,1.0000,625.00,1148.00,0,0,0,0,0.9076,1.0005,0.8510,0.0000,0.9444,0.0000,4.230501
DPUmesh,8192,1,10000,9999.0,0.9999,1550.00,1864.00,0,0,0,0,1.1658,1.2162,1.1582,0.0000,1.2055,0.0000,5.235217
DPUmesh,8192,2,10000,10000.0,1.0000,1552.00,1872.00,0,0,0,0,1.1764,1.1755,1.1690,0.0000,1.1659,0.0000,5.238124
DPUmesh,8192,3,10000,9999.0,0.9999,1554.00,1863.00,0,0,0,0,1.1680,1.2282,1.1610,0.0000,1.2181,0.0000,5.267436
Linkerd,64,1,10000,10000.0,1.0000,403.00,1155.00,0,0,0,0,1.5053,1.7303,0.7701,0.7347,1.0386,0.6918,0.033652
Linkerd,64,2,10000,9999.0,0.9999,402.00,1171.00,0,0,0,0,1.4992,1.7340,0.7654,0.7339,1.0415,0.6926,0.032134
Linkerd,64,3,10000,9999.0,0.9999,409.00,1162.00,0,0,0,0,1.5110,1.7432,0.7739,0.7353,1.0500,0.6913,0.032311
Linkerd,1024,1,10000,9999.0,0.9999,433.00,1200.00,0,0,0,0,1.7286,1.7957,0.9176,0.8106,1.0389,0.7564,0.033704
Linkerd,1024,2,10000,10000.0,1.0000,431.00,1220.00,0,0,0,0,1.7127,1.8067,0.9070,0.8061,1.0505,0.7548,0.036901
Linkerd,1024,3,10000,10000.0,1.0000,435.00,1230.00,0,0,0,0,1.7252,1.7946,0.9129,0.8137,1.0383,0.7565,0.036792
Linkerd,8192,1,10000,10000.0,1.0000,517.00,1691.00,0,0,0,0,1.8796,1.9237,0.9772,0.9025,1.0938,0.8298,0.035369
Linkerd,8192,2,10000,9999.0,0.9999,509.00,1502.00,0,0,0,0,1.8717,1.9194,0.9692,0.9025,1.0967,0.8222,0.035167
Linkerd,8192,3,10000,10000.0,1.0000,514.00,1725.00,0,0,0,0,1.8788,1.9288,0.9754,0.9038,1.0993,0.8300,0.042860
