source,channels,reactors,frame,rep,offered,achieved,ratio,p50_us,p99_us,p999_us,fail,drops,pending,worker_fail,credit_hold_dropped,eq_budget_exhausted,client_core,server_core,dpu_core_total,dpu_core_workers,w0,w1,w2,w3,w4,w5,w6,w7,window_s
open64-fresh,8,8,64,1,40000,39999.0,1.0000,1295.00,2050.00,2991.00,0,0,0,0,0,0,2.1320,2.7892,7.437510,7.343966,0.909370,0.938506,0.912437,0.936973,0.913970,0.909370,0.912437,0.910903,6.5210
open64-fresh,8,8,64,2,40000,40000.0,1.0000,1310.00,2058.00,2641.00,0,0,0,0,0,0,2.1287,2.7991,7.443748,7.351470,0.915089,0.938158,0.915089,0.936620,0.913551,0.908937,0.913551,0.910475,6.5021
open64-fresh,8,8,64,3,40000,39998.0,1.0000,1311.00,2078.00,5210.00,0,0,0,0,0,0,2.1290,2.8693,7.430188,7.337926,0.908783,0.931849,0.911859,0.938000,0.911859,0.908783,0.911859,0.914934,6.5032
open64-fresh,8,8,64,1,50000,49999.0,1.0000,1539.00,2486.00,6051.00,0,0,0,0,0,0,2.4567,3.2364,7.582194,7.491380,0.928149,0.954316,0.932767,0.952777,0.932767,0.928149,0.929688,0.932767,6.4968
open64-fresh,8,8,64,2,50000,50000.0,1.0000,1529.00,2405.00,3092.00,0,0,0,0,0,0,2.4749,3.3810,7.562055,7.474392,0.927378,0.948910,0.928916,0.948910,0.935068,0.928916,0.927378,0.928916,6.5022
open64-fresh,8,8,64,3,50000,50000.0,1.0000,1556.00,2714.00,18442.00,0,0,0,0,0,0,2.4651,3.2522,7.571345,7.479386,0.925727,0.950250,0.933391,0.953315,0.931858,0.930325,0.927260,0.927260,6.5246
open64-fresh,8,8,64,1,60000,59997.0,1.0000,1743.00,2897.00,5738.00,0,0,0,0,0,0,2.8198,3.6509,7.688528,7.596414,0.942643,0.964137,0.945714,0.964137,0.947249,0.944178,0.944178,0.944178,6.5136
open64-fresh,8,8,64,2,60000,59999.0,1.0000,1734.00,2966.00,7640.00,0,0,0,0,0,0,2.8122,3.8294,7.689595,7.596006,0.940487,0.963501,0.945090,0.965035,0.948158,0.945090,0.943555,0.945090,6.5179
open64-fresh,8,8,64,3,60000,59997.0,1.0000,1778.00,3380.00,12092.00,0,0,0,0,0,0,2.7446,3.4586,7.487908,7.399031,0.920141,0.939746,0.921448,0.939746,0.924062,0.918834,0.917527,0.917527,7.6510
open64-fresh,8,8,64,1,70000,69998.0,1.0000,1959.00,3500.00,11681.00,0,0,0,0,0,0,3.1640,4.0141,7.810486,7.710725,0.957702,0.976119,0.960771,0.976119,0.960771,0.959236,0.959236,0.960771,6.5156
open64-fresh,8,8,64,2,70000,69998.0,1.0000,1969.00,3938.00,13353.00,0,0,0,0,0,0,3.1559,3.9625,7.798316,7.699991,0.957122,0.972485,0.958658,0.975557,0.961731,0.958658,0.957122,0.958658,6.5091
open64-fresh,8,8,64,3,70000,69999.0,1.0000,1944.00,3502.00,10116.00,0,0,0,0,0,0,3.1594,3.9919,7.804933,7.708044,0.958123,0.975040,0.958123,0.976578,0.961198,0.958123,0.958123,0.962736,6.5023
open64-fresh,8,8,64,1,80000,79999.0,1.0000,2199.00,4973.00,13177.00,0,0,0,0,0,0,3.4845,4.3357,7.911406,7.802506,0.970904,0.981640,0.972437,0.981640,0.977039,0.972437,0.970904,0.975505,6.5197
open64-fresh,8,8,64,2,80000,79998.0,1.0000,2217.00,5991.00,29465.00,0,0,0,0,0,0,3.4955,4.3173,7.914034,7.806423,0.966963,0.982336,0.974650,0.985411,0.974650,0.973113,0.973113,0.976187,6.5049
open64-fresh,8,8,64,3,80000,79996.0,1.0000,2204.00,4750.00,16828.00,0,0,0,0,0,0,3.4774,4.3327,7.912708,7.808128,0.970441,0.984282,0.971979,0.987358,0.975055,0.975055,0.970441,0.973517,6.5022
open64-fresh,8,8,64,1,85000,84996.0,1.0000,2391.00,7573.00,17825.00,0,0,0,0,0,0,3.6304,4.5441,7.951025,7.839017,0.978918,0.983521,0.978918,0.986590,0.977384,0.977384,0.978918,0.977384,6.5174
open64-fresh,8,8,64,2,85000,85000.0,1.0000,2453.00,12169.00,27520.00,0,0,0,0,0,0,3.6410,4.4878,7.959467,7.844312,0.976509,0.982650,0.978044,0.987256,0.979579,0.981115,0.981115,0.978044,6.5130
open64-fresh,8,8,64,3,85000,84977.0,0.9997,2479.00,12718.00,26251.00,0,0,0,0,0,0,3.5390,4.4669,7.800577,7.691192,0.962058,0.968647,0.960740,0.966012,0.962058,0.959422,0.955469,0.956786,7.5879
open64-fresh,8,8,64,1,90000,89995.0,0.9999,2846.00,24219.00,57188.00,0,0,0,0,0,0,3.7472,4.5599,7.947154,7.836414,0.976668,0.985896,0.978206,0.979744,0.981282,0.976668,0.978206,0.979744,6.5017
open64-fresh,8,8,64,2,90000,90110.0,1.0012,2902.00,33700.00,85413.00,0,0,0,0,0,0,3.7480,4.7334,7.968272,7.856065,0.980663,0.986812,0.980663,0.982200,0.980663,0.982200,0.979126,0.983738,6.5058
open64-fresh,8,8,64,3,90000,89995.0,0.9999,2813.00,14790.00,25069.00,0,0,0,0,0,0,3.7521,4.6412,7.957577,7.845543,0.977624,0.985297,0.979158,0.985297,0.979158,0.979158,0.979158,0.980693,6.5158
open64-fresh,8,8,64,1,95000,94770.0,0.9976,3451.00,179052.00,199450.00,0,0,0,0,0,0,3.8050,4.7161,7.969193,7.867928,0.981957,0.983491,0.981957,0.991162,0.983491,0.981957,0.980422,0.983491,6.5176
open64-fresh,8,8,64,2,95000,94861.0,0.9985,3365.00,80585.00,110264.00,0,0,0,0,0,0,3.8322,4.7495,7.961397,7.858599,0.980407,0.983476,0.981941,0.986544,0.980407,0.985010,0.981941,0.978873,6.5177
open64-fresh,8,8,64,3,95000,94991.0,0.9999,3406.00,22382.00,40373.00,0,0,0,0,0,0,3.8319,4.7270,7.963853,7.857996,0.980332,0.983400,0.980332,0.984934,0.981866,0.983400,0.980332,0.983400,6.5182
open64-fresh,8,8,64,1,100000,99247.0,0.9925,4966.00,380270.00,428667.00,0,0,0,0,0,0,3.8104,4.7086,7.962482,7.878053,0.980919,0.990129,0.982454,0.997805,0.983989,0.982454,0.979384,0.980919,6.5143
open64-fresh,8,8,64,2,100000,99185.0,0.9919,4762.00,599995.00,650697.00,0,0,0,0,0,0,3.8282,4.8088,7.984179,7.889130,0.984225,0.987291,0.982692,0.994956,0.987291,0.984225,0.984225,0.984225,6.5229
open64-fresh,8,8,64,3,100000,99102.0,0.9910,4832.00,543338.00,618746.00,0,0,0,0,0,0,3.8111,4.7774,7.963730,7.875890,0.981108,0.989216,0.981108,0.995973,0.982459,0.981108,0.983810,0.981108,7.3998
open64-extension,8,8,64,1,105000,97825.0,0.9317,298266.00,1414897.96,1414897.96,0,0,0,0,0,0,3.6087,4.1986,8.016750,7.992211,0.999985,0.999985,0.999985,0.993850,0.998451,0.999985,0.999985,0.999985,6.5201
open1024,8,8,1024,1,30000,29999.0,1.0000,1105.00,1906.00,3161.00,0,0,0,0,0,0,1.8102,2.3464,7.189090,7.098167,0.879951,0.910772,0.875327,0.910772,0.876869,0.879951,0.883033,0.881492,6.4890
open1024,8,8,1024,2,30000,29999.0,1.0000,1146.00,1945.00,6228.00,0,0,0,0,0,0,1.8068,2.3733,7.172129,7.077800,0.881439,0.904635,0.879892,0.913913,0.876800,0.873707,0.873707,0.873707,6.4667
open1024,8,8,1024,3,30000,30000.0,1.0000,1149.00,1919.00,2324.00,0,0,0,0,0,0,1.8065,2.3467,7.199644,7.104305,0.884194,0.907260,0.878043,0.913411,0.874967,0.874967,0.884194,0.887269,6.5031
open1024,8,8,1024,1,40000,39999.0,1.0000,1400.00,2158.00,3362.00,0,0,0,0,0,0,2.1731,2.8209,7.475758,7.379340,0.918004,0.942448,0.916646,0.942448,0.915288,0.916646,0.912572,0.915288,7.3638
open1024,8,8,1024,2,40000,39998.0,1.0000,1406.00,2206.00,8779.00,0,0,0,0,0,0,2.1732,2.8247,7.469471,7.374240,0.916980,0.935412,0.913908,0.943092,0.915444,0.913908,0.916980,0.918516,6.5105
open1024,8,8,1024,3,40000,39999.0,1.0000,1393.00,2217.00,7978.00,0,0,0,0,0,0,2.1742,2.8700,7.469584,7.374352,0.915458,0.938498,0.918530,0.941570,0.918530,0.912386,0.913922,0.915458,6.5104
open1024,8,8,1024,1,50000,49998.0,1.0000,1614.00,2600.00,4363.00,0,0,0,0,0,0,2.5105,3.4249,7.620774,7.531624,0.934536,0.954518,0.940685,0.962204,0.934536,0.936073,0.932999,0.936073,6.5059
open1024,8,8,1024,2,50000,50000.0,1.0000,1598.00,2577.00,5177.00,0,0,0,0,0,0,2.5057,3.3991,7.611367,7.520738,0.937020,0.953917,0.933948,0.958525,0.933948,0.932412,0.932412,0.938556,6.5100
open1024,8,8,1024,3,50000,50000.0,1.0000,1610.00,2625.00,5936.00,0,0,0,0,0,0,2.5117,3.3126,7.631058,7.535574,0.936364,0.953305,0.936364,0.961005,0.937904,0.936364,0.937904,0.936364,6.4932
open1024,8,8,1024,1,60000,60000.0,1.0000,1770.00,3145.00,16948.00,0,0,0,0,0,0,2.8689,3.8892,7.725223,7.634411,0.949684,0.965076,0.949684,0.968154,0.951223,0.948144,0.951223,0.951223,6.4969
open1024,8,8,1024,2,60000,59998.0,1.0000,1761.00,2991.00,5158.00,0,0,0,0,0,0,2.8531,3.7912,7.731555,7.635025,0.949973,0.965295,0.949973,0.968360,0.949973,0.951505,0.949973,0.949973,6.5265
open1024,8,8,1024,3,60000,59999.0,1.0000,1763.00,3014.00,5602.00,0,0,0,0,0,0,2.8632,3.8094,7.740467,7.646634,0.949099,0.967558,0.952176,0.970635,0.952176,0.952176,0.950638,0.952176,6.5009
open1024,8,8,1024,1,65000,64999.0,1.0000,1872.00,3566.00,8632.00,0,0,0,0,0,0,3.0189,4.1156,7.791019,7.693990,0.956624,0.970290,0.956624,0.978490,0.957991,0.959357,0.955257,0.959357,7.3174
open1024,8,8,1024,2,65000,64999.0,1.0000,1878.00,3557.00,8471.00,0,0,0,0,0,0,3.0224,3.8951,7.798230,7.698450,0.956358,0.970173,0.957893,0.977849,0.959428,0.959428,0.957893,0.959428,6.5143
open1024,8,8,1024,3,65000,64999.0,1.0000,1865.00,3445.00,8462.00,0,0,0,0,0,0,3.0057,3.9260,7.787388,7.687707,0.955404,0.970740,0.955404,0.978408,0.958471,0.956938,0.955404,0.956938,6.5208
open1024,8,8,1024,1,70000,69998.0,1.0000,2033.00,4727.00,11906.00,0,0,0,0,0,0,3.1780,4.1173,7.858019,7.747623,0.964428,0.978228,0.964428,0.982827,0.965961,0.962895,0.962895,0.965961,6.5220
open1024,8,8,1024,2,70000,69996.0,0.9999,2028.00,5177.00,15402.00,0,0,0,0,0,0,3.1766,4.1615,7.855375,7.749303,0.963859,0.977694,0.962322,0.982306,0.965396,0.965396,0.963859,0.968471,6.5051
open1024,8,8,1024,3,70000,69997.0,1.0000,2023.00,4716.00,17558.00,0,0,0,0,0,0,3.1732,4.1037,7.859674,7.752342,0.964443,0.978243,0.964443,0.981309,0.964443,0.964443,0.967509,0.967509,6.5219
open1024,8,8,1024,1,75000,74998.0,1.0000,2248.00,11987.00,31901.00,0,0,0,0,0,0,3.3136,4.1826,7.915026,7.804434,0.969218,0.981507,0.972290,0.990723,0.973826,0.972290,0.970754,0.973826,6.5104
open1024,8,8,1024,2,75000,75000.0,1.0000,2233.00,7800.00,18553.00,0,0,0,0,0,0,3.3230,4.2505,7.910343,7.796657,0.969397,0.983224,0.969397,0.989369,0.970933,0.972470,0.969397,0.972470,6.5092
open1024,8,8,1024,3,75000,74997.0,1.0000,2265.00,10261.00,30805.00,0,0,0,0,0,0,3.3164,4.2022,7.908393,7.794802,0.970129,0.982409,0.971664,0.987014,0.971664,0.970129,0.970129,0.971664,6.5146
open1024-extension,8,8,1024,1,80000,76871.0,0.9609,2722.00,5186386.17,5186386.17,0,408,0,0,0,0,3.4396,4.2927,7.959485,7.856573,0.977671,0.985795,0.977671,0.995274,0.980379,0.979025,0.979025,0.981733,7.3849
open8192,8,8,8192,1,10000,9999.0,0.9999,1553.00,1895.00,4902.00,0,0,0,0,0,0,1.1276,1.0548,5.141577,5.105989,0.608077,0.690082,0.622002,0.705555,0.629739,0.620455,0.614266,0.615813,6.4630
open8192,8,8,8192,2,10000,9999.0,0.9999,1556.00,1874.00,3743.00,0,0,0,0,0,0,1.1695,1.2083,5.347619,5.310622,0.633575,0.712194,0.642824,0.732234,0.655156,0.644366,0.645907,0.644366,6.4870
open8192,8,8,8192,3,10000,9999.0,0.9999,1558.00,1876.00,2346.00,0,0,0,0,0,0,1.1772,1.2405,5.346835,5.308358,0.634110,0.709525,0.640266,0.734151,0.655657,0.644883,0.644883,0.644883,6.4973
open8192,8,8,8192,1,15000,15000.0,1.0000,1239.00,2091.00,2632.00,0,0,0,0,0,0,1.3006,1.6055,6.666978,6.595755,0.788084,0.882531,0.812857,0.896465,0.823695,0.789633,0.805116,0.797374,6.4587
open8192,8,8,8192,2,15000,15000.0,1.0000,1239.00,2087.00,3169.00,0,0,0,0,0,0,1.2987,1.6075,6.686304,6.614364,0.791335,0.884992,0.819839,0.897208,0.822554,0.794049,0.806266,0.798121,7.3673
open8192,8,8,8192,3,15000,14999.0,0.9999,1244.00,2098.00,2545.00,0,0,0,0,0,0,1.2951,1.6666,6.681957,6.608072,0.785026,0.886618,0.818890,0.898932,0.823508,0.791183,0.805036,0.798879,6.4966
open8192,8,8,8192,1,20000,19999.0,1.0000,1288.00,2293.00,5996.00,0,0,0,0,0,0,1.6389,2.0078,7.561174,7.506083,0.907463,0.982448,0.936539,0.988569,0.944190,0.913584,0.921236,0.912054,6.5347
open8192,8,8,8192,2,20000,20000.0,1.0000,1299.00,2353.00,7803.00,0,0,0,0,0,0,1.6307,2.0043,7.567726,7.509169,0.910716,0.981601,0.938453,0.986224,0.944617,0.916880,0.921503,0.909175,6.4894
open8192,8,8,8192,3,20000,19999.0,1.0000,1291.00,2248.00,3329.00,0,0,0,0,0,0,1.6340,2.0421,7.556590,7.499923,0.903605,0.983245,0.937299,0.986308,0.946488,0.917389,0.917389,0.908200,6.5294
open8192,8,8,8192,1,25000,24997.0,0.9999,1582.00,36258.00,48478.00,0,0,0,0,0,0,1.7980,2.2597,7.978201,7.907584,0.985570,0.994780,0.987105,0.993245,0.990175,0.984034,0.985570,0.987105,6.5140
open8192,8,8,8192,2,25000,24990.0,0.9996,1586.00,51544.00,70578.00,0,0,0,0,0,0,1.7879,2.2594,7.983898,7.911680,0.984926,0.994146,0.988000,0.994146,0.989536,0.986463,0.986463,0.988000,6.5081
open8192,8,8,8192,3,25000,24988.0,0.9995,1586.00,53596.00,69455.00,0,0,0,0,0,0,1.7807,2.2576,7.984972,7.911364,0.986045,0.993713,0.986045,0.996780,0.987579,0.986045,0.986045,0.989112,6.5210
open8192,8,8,8192,1,30000,25516.0,0.8505,5164.00,4964401.14,4964401.14,7765,0,0,0,64,0,1.5736,2.0050,7.240820,7.174333,0.995748,0.194820,1.000387,0.995748,0.997294,0.997294,0.995748,0.997294,6.4675
open64-knee-followup,8,8,64,1,92500,92353.0,0.9984,2990.00,19161.00,35153.00,0,0,0,0,0,0,3.8015,4.8408,7.979312,7.870343,0.983793,0.985328,0.980723,0.986862,0.983793,0.983793,0.983793,0.982258,6.5156
open64-knee-followup,8,8,64,2,92500,92498.0,1.0000,2877.00,12791.00,21577.00,0,0,0,0,0,0,3.8254,4.8692,7.973821,7.863201,0.983284,0.984821,0.983284,0.984821,0.981748,0.981748,0.980211,0.983284,6.5088
open64-knee-followup,8,8,64,3,92500,92489.0,0.9999,2970.00,16523.00,25785.00,0,0,0,0,0,0,3.7651,4.8031,7.916423,7.800417,0.974719,0.980052,0.974719,0.980052,0.974719,0.974719,0.969385,0.972052,7.4996
open64-knee-followup,8,8,64,1,97500,97482.0,0.9998,3660.00,63845.00,81366.00,0,0,0,0,0,0,3.8633,4.8880,7.997056,7.894372,0.986988,0.990053,0.983923,0.990053,0.986988,0.983923,0.985456,0.986988,6.5249
open64-knee-followup,8,8,64,2,97500,97411.0,0.9991,3935.00,44582.00,88364.00,0,0,0,0,0,0,3.8440,4.8414,7.974752,7.873398,0.982831,0.987438,0.981295,0.987438,0.984367,0.984367,0.982831,0.982831,6.5118
open64-knee-followup,8,8,64,3,97500,97156.0,0.9965,3966.00,130620.00,146673.00,0,0,0,0,0,0,3.8134,4.8576,7.973935,7.878880,0.981219,0.987351,0.982752,0.993484,0.984285,0.982752,0.984285,0.982752,6.5225
open64-knee-followup,8,8,64,1,102500,100869.0,0.9841,7544.00,616006.00,682200.00,0,0,0,0,0,0,3.7263,4.7682,7.998772,7.935753,0.989856,0.999078,0.991393,0.997541,0.988318,0.991393,0.986781,0.991393,6.5060
open64-overload-isolated-110k,8,8,64,1,110000,96933.0,0.8812,507527.00,2462659.63,2462659.63,0,0,0,0,0,0,3.7450,4.0914,8.020186,7.995645,1.000031,1.000031,0.998497,0.998497,0.998497,1.001564,0.998497,1.000031,6.5198
